bank,npl_rate,total_assets
Bank_001,8.88,7298.3
Bank_002,14.42,3000.2
Bank_003,9.36,9016.1
Bank_004,10.73,30706.9
Bank_005,15.43,2623.3
Bank_006,9.43,2623.4
Bank_007,11.93,33219.7
Bank_008,13.45,10661.7
Bank_009,15.14,1887.0
Bank_010,15.17,7782.1
Bank_011,12.26,1903.1
Bank_012,10.8,1896.9
Bank_013,9.54,5108.9
Bank_014,11.44,250.0
Bank_015,13.66,325.4
Bank_016,9.5,1657.1
Bank_017,9.73,881.9
Bank_018,9.7,5653.0
Bank_019,9.17,1021.2
Bank_020,12.15,504.1
Bank_021,6.84,28336.6
Bank_022,13.52,2654.2
Bank_023,9.52,4002.0
Bank_024,8.0,495.4
Bank_025,6.94,1699.1
Bank_026,9.23,4252.6
Bank_027,8.93,726.8
Bank_028,9.45,6160.9
Bank_029,9.76,1570.4
Bank_030,8.54,2420.3
Bank_031,7.39,1568.1
Bank_032,4.3,48688.1
Bank_033,7.66,3572.8
Bank_034,10.81,828.2
Bank_035,8.2,11516.8
Bank_036,7.15,659.1
Bank_037,8.6,4877.6
Bank_038,10.65,234.3
Bank_039,7.88,567.1
Bank_040,8.58,4796.3
Bank_041,7.99,10237.9
Bank_042,6.26,4628.2
Bank_043,9.18,3096.7
Bank_044,9.69,2388.6
Bank_045,11.54,459.5
Bank_046,10.9,1329.0
Bank_047,6.32,1910.5
Bank_048,5.95,15994.0
Bank_049,9.11,5890.3
Bank_050,10.73,308.5
Bank_051,9.13,5731.4
Bank_052,15.68,2123.6
Bank_053,10.0,1411.4
Bank_054,10.02,8572.8
Bank_055,9.37,15419.7
Bank_056,8.91,13410.5
Bank_057,8.53,1124.5
Bank_058,10.05,2361.6
Bank_059,6.8,5789.3
Bank_060,7.27,14267.8
Bank_061,7.95,1861.5
Bank_062,8.74,2807.6
Bank_063,13.47,773.7
Bank_064,6.01,682.2
Bank_065,9.06,11356.4
Bank_066,4.5,24312.3
Bank_067,7.66,3291.8
Bank_068,9.64,14838.0
Bank_069,8.29,6040.8
Bank_070,7.01,1475.6
Bank_071,6.88,6038.8
Bank_072,8.49,31358.8
Bank_073,7.16,3462.8
Bank_074,7.63,32549.0
Bank_075,10.55,93.0
Bank_076,6.64,11506.5
Bank_077,12.24,4112.8
Bank_078,9.82,2395.6
Bank_079,4.73,4140.1
Bank_080,10.32,225.3
Bank_081,7.43,2677.0
Bank_082,9.71,6002.7
Bank_083,5.89,28826.5
Bank_084,8.64,1762.4
Bank_085,9.98,1173.9
Bank_086,10.39,1803.6
Bank_087,5.58,13115.7
Bank_088,7.59,5769.0
Bank_089,8.0,1734.3
Bank_090,6.88,7469.4
Bank_091,11.55,4171.0
Bank_092,8.43,14130.7
Bank_093,6.72,1362.6
Bank_094,10.35,2301.4
Bank_095,12.57,2102.8
Bank_096,11.44,469.2
Bank_097,5.49,5511.4
Bank_098,7.38,5247.3
Bank_099,10.73,3667.1
Bank_100,7.36,2621.7
Bank_101,10.34,501.9
Bank_102,10.17,2020.5
Bank_103,7.05,2253.4
Bank_104,8.96,1184.2
Bank_105,2.74,2905.0
Bank_106,6.29,6410.4
Bank_107,6.54,51055.1
Bank_108,6.07,4649.0
Bank_109,11.19,5221.7
Bank_110,5.93,3280.6
Bank_111,9.14,248.1
Bank_112,8.71,3508.3
Bank_113,11.0,3961.3
Bank_114,3.97,114523.9
Bank_115,10.69,2781.4
Bank_116,8.24,5553.4
Bank_117,6.71,3468.2
Bank_118,10.18,709.0
Bank_119,7.93,18032.9
Bank_120,6.79,10432.8
Bank_121,7.97,11019.8
Bank_122,8.46,1019.3
Bank_123,7.57,25949.6
Bank_124,10.72,511.5
Bank_125,10.85,8280.0
Bank_126,4.54,78169.7
Bank_127,13.05,909.8
Bank_128,5.37,1647.8
Bank_129,8.1,4186.0
Bank_130,9.9,1799.3
Bank_131,10.15,415.3
Bank_132,7.28,4007.8
Bank_133,8.89,822.9
Bank_134,7.2,7065.9
Bank_135,8.1,1005.1
Bank_136,8.79,31885.5
Bank_137,9.7,1216.1
Bank_138,7.45,2319.5
Bank_139,9.44,11372.2
Bank_140,9.95,649.9
Bank_141,9.74,5006.3
Bank_142,8.58,22697.3
Bank_143,8.2,383.6
Bank_144,7.3,4714.9
Bank_145,9.59,5238.7
Bank_146,8.95,10878.6
Bank_147,9.36,644.4
Bank_148,9.68,573.3
Bank_149,10.35,7560.7
Bank_150,7.16,5518.0
Bank_151,9.24,5170.3
Bank_152,7.82,5913.7
Bank_153,8.58,1405.2
Bank_154,10.25,5040.0
Bank_155,9.71,5487.9
Bank_156,10.46,1339.3
Bank_157,9.36,49616.8
Bank_158,8.12,7068.2
