listing_id,rent,bedrooms,borough
2001,2800,1,Brooklyn
2002,2800,1,Brooklyn
2003,2800,1,Brooklyn
2004,2800,1,Brooklyn
2005,2800,1,Brooklyn
2006,2800,1,Brooklyn
2007,2800,1,Brooklyn
2008,2800,1,Brooklyn
2009,2800,1,Brooklyn
2010,2800,1,Brooklyn
2011,2800,1,Brooklyn
2012,2800,1,Brooklyn
2013,2800,1,Brooklyn
2014,2800,1,Brooklyn
2015,2800,1,Brooklyn
2016,2800,1,Brooklyn
2017,2800,1,Brooklyn
2018,2800,1,Brooklyn
2019,2800,1,Brooklyn
2020,2800,1,Brooklyn
2021,2800,1,Brooklyn
2022,2800,1,Brooklyn
2023,2800,1,Brooklyn
2024,2800,1,Brooklyn
2025,2800,1,Brooklyn
2026,2800,1,Brooklyn
2027,2800,1,Brooklyn
2028,2800,1,Brooklyn
2029,2800,1,Brooklyn
2030,2800,1,Brooklyn
2031,2800,1,Brooklyn
2032,2800,1,Brooklyn
2033,2800,1,Brooklyn
2034,2800,1,Brooklyn
2035,2800,1,Brooklyn
2036,2800,1,Brooklyn
2037,2800,1,Brooklyn
2038,2800,1,Brooklyn
2039,2800,1,Brooklyn
2040,2800,1,Brooklyn
2041,2800,1,Brooklyn
2042,2800,1,Brooklyn
2043,2800,1,Brooklyn
2044,2800,1,Brooklyn
2045,2800,1,Brooklyn
2046,2800,1,Brooklyn
2047,2800,1,Brooklyn
2048,2800,1,Brooklyn
2049,2800,1,Brooklyn
2050,2800,1,Brooklyn
2051,2800,1,Brooklyn
2052,2800,1,Brooklyn
2053,2800,1,Brooklyn
2054,2800,1,Brooklyn
2055,2800,1,Brooklyn
2056,2800,1,Brooklyn
2057,2800,1,Brooklyn
2058,2800,1,Brooklyn
2059,2800,1,Brooklyn
2060,2800,1,Brooklyn
2061,2800,1,Brooklyn
2062,2800,1,Brooklyn
2063,2800,1,Brooklyn
2064,2800,1,Brooklyn
2065,2800,1,Brooklyn
2066,2800,1,Brooklyn
2067,2800,1,Brooklyn
2068,2800,1,Brooklyn
2069,2800,1,Brooklyn
2070,2800,1,Brooklyn
2071,2800,1,Brooklyn
2072,2800,1,Brooklyn
2073,2800,1,Brooklyn
2074,2800,1,Brooklyn
2075,2800,1,Brooklyn
2076,2800,1,Brooklyn
2077,2800,1,Brooklyn
2078,2800,1,Brooklyn
2079,2800,1,Brooklyn
2080,2800,1,Brooklyn
2081,2800,1,Brooklyn
2082,2800,1,Brooklyn
2083,2800,1,Brooklyn
2084,2800,1,Brooklyn
2085,2800,1,Brooklyn
2086,2800,1,Brooklyn
2087,2800,1,Brooklyn
2088,2800,1,Brooklyn
2089,2800,1,Brooklyn
2090,2800,1,Brooklyn
2091,2800,1,Brooklyn
2092,2800,1,Brooklyn
2093,2800,1,Brooklyn
2094,2800,1,Brooklyn
2095,2800,1,Brooklyn
2096,2800,1,Brooklyn
2097,2800,1,Brooklyn
2098,2800,1,Brooklyn
2099,2800,1,Brooklyn
2100,2800,1,Brooklyn
2101,2800,1,Brooklyn
2102,2800,1,Brooklyn
2103,2800,1,Brooklyn
2104,2800,1,Brooklyn
2105,2800,1,Brooklyn
2106,2800,1,Brooklyn
2107,2800,1,Brooklyn
2108,2800,1,Brooklyn
2109,2800,1,Brooklyn
2110,2800,1,Brooklyn
2111,2650,1,Brooklyn
2112,3050,1,Brooklyn
2113,3750,1,Brooklyn
2114,3300,1,Brooklyn
2115,3000,1,Brooklyn
2116,3200,1,Brooklyn
2117,6100,1,Brooklyn
2118,2800,1,Brooklyn
2119,3000,1,Brooklyn
2120,3950,1,Brooklyn
2121,4050,1,Brooklyn
2122,4150,1,Brooklyn
2123,3500,1,Brooklyn
2124,1950,1,Brooklyn
2125,4800,1,Brooklyn
2126,1950,1,Brooklyn
2127,3100,1,Brooklyn
2128,2250,1,Brooklyn
2129,2800,1,Brooklyn
2130,3150,1,Brooklyn
2131,3150,1,Brooklyn
2132,3250,1,Brooklyn
2133,4750,1,Brooklyn
2134,3300,1,Brooklyn
2135,2600,1,Brooklyn
2136,3850,1,Brooklyn
2137,4150,1,Brooklyn
2138,1900,1,Brooklyn
2139,3450,1,Brooklyn
2140,3550,1,Brooklyn
2141,2600,1,Brooklyn
2142,4400,1,Brooklyn
2143,2700,1,Brooklyn
2144,2950,1,Brooklyn
2145,2700,1,Brooklyn
2146,2850,1,Brooklyn
