listing_id,rent,bedrooms,borough
1001,3500,1,Manhattan
1002,3500,1,Manhattan
1003,3500,1,Manhattan
1004,3500,1,Manhattan
1005,3500,1,Manhattan
1006,3500,1,Manhattan
1007,3500,1,Manhattan
1008,3500,1,Manhattan
1009,3500,1,Manhattan
1010,3500,1,Manhattan
1011,3500,1,Manhattan
1012,3500,1,Manhattan
1013,3500,1,Manhattan
1014,3500,1,Manhattan
1015,3500,1,Manhattan
1016,3500,1,Manhattan
1017,3500,1,Manhattan
1018,3500,1,Manhattan
1019,3500,1,Manhattan
1020,3500,1,Manhattan
1021,3500,1,Manhattan
1022,3500,1,Manhattan
1023,3500,1,Manhattan
1024,3500,1,Manhattan
1025,3500,1,Manhattan
1026,3500,1,Manhattan
1027,3500,1,Manhattan
1028,3500,1,Manhattan
1029,3500,1,Manhattan
1030,3500,1,Manhattan
1031,3500,1,Manhattan
1032,3500,1,Manhattan
1033,3500,1,Manhattan
1034,3500,1,Manhattan
1035,3500,1,Manhattan
1036,3500,1,Manhattan
1037,3500,1,Manhattan
1038,3500,1,Manhattan
1039,3500,1,Manhattan
1040,3500,1,Manhattan
1041,3500,1,Manhattan
1042,3500,1,Manhattan
1043,3500,1,Manhattan
1044,3500,1,Manhattan
1045,3500,1,Manhattan
1046,3500,1,Manhattan
1047,3500,1,Manhattan
1048,3500,1,Manhattan
1049,3500,1,Manhattan
1050,3500,1,Manhattan
1051,3500,1,Manhattan
1052,3500,1,Manhattan
1053,3500,1,Manhattan
1054,3500,1,Manhattan
1055,3500,1,Manhattan
1056,3500,1,Manhattan
1057,3500,1,Manhattan
1058,3500,1,Manhattan
1059,3500,1,Manhattan
1060,3500,1,Manhattan
1061,3500,1,Manhattan
1062,3500,1,Manhattan
1063,3500,1,Manhattan
1064,3500,1,Manhattan
1065,3500,1,Manhattan
1066,3500,1,Manhattan
1067,3500,1,Manhattan
1068,3500,1,Manhattan
1069,3500,1,Manhattan
1070,3500,1,Manhattan
1071,3500,1,Manhattan
1072,3500,1,Manhattan
1073,3500,1,Manhattan
1074,3500,1,Manhattan
1075,3500,1,Manhattan
1076,3500,1,Manhattan
1077,3500,1,Manhattan
1078,3500,1,Manhattan
1079,3500,1,Manhattan
1080,3500,1,Manhattan
1081,3500,1,Manhattan
1082,3500,1,Manhattan
1083,3500,1,Manhattan
1084,3500,1,Manhattan
1085,3500,1,Manhattan
1086,3500,1,Manhattan
1087,3500,1,Manhattan
1088,3500,1,Manhattan
1089,3500,1,Manhattan
1090,3500,1,Manhattan
1091,3500,1,Manhattan
1092,3500,1,Manhattan
1093,3500,1,Manhattan
1094,3500,1,Manhattan
1095,3500,1,Manhattan
1096,3500,1,Manhattan
1097,3500,1,Manhattan
1098,3500,1,Manhattan
1099,3500,1,Manhattan
1100,3500,1,Manhattan
1101,3500,1,Manhattan
1102,3500,1,Manhattan
1103,3500,1,Manhattan
1104,3500,1,Manhattan
1105,3500,1,Manhattan
1106,3500,1,Manhattan
1107,3500,1,Manhattan
1108,3500,1,Manhattan
1109,3500,1,Manhattan
1110,3500,1,Manhattan
1111,3500,1,Manhattan
1112,3500,1,Manhattan
1113,3500,1,Manhattan
1114,3500,1,Manhattan
1115,3500,1,Manhattan
1116,3500,1,Manhattan
1117,3500,1,Manhattan
1118,3500,1,Manhattan
1119,3500,1,Manhattan
1120,3500,1,Manhattan
1121,4800,1,Manhattan
1122,2650,1,Manhattan
1123,5950,1,Manhattan
1124,2250,1,Manhattan
1125,4450,1,Manhattan
1126,7850,1,Manhattan
1127,2550,1,Manhattan
1128,3000,1,Manhattan
1129,3750,1,Manhattan
1130,3050,1,Manhattan
1131,2100,1,Manhattan
1132,3750,1,Manhattan
1133,2500,1,Manhattan
1134,4300,1,Manhattan
1135,2650,1,Manhattan
1136,6250,1,Manhattan
1137,2750,1,Manhattan
1138,3250,1,Manhattan
1139,4850,1,Manhattan
1140,2350,1,Manhattan
1141,3950,1,Manhattan
1142,5750,1,Manhattan
1143,2050,1,Manhattan
1144,3900,1,Manhattan
1145,4000,1,Manhattan
1146,4800,1,Manhattan
1147,2350,1,Manhattan
1148,2300,1,Manhattan
1149,4350,1,Manhattan
1150,4050,1,Manhattan
1151,3950,1,Manhattan
1152,4100,1,Manhattan
1153,2850,1,Manhattan
1154,3950,1,Manhattan
1155,4050,1,Manhattan
1156,2850,1,Manhattan
1157,7000,1,Manhattan
1158,4300,1,Manhattan
1159,2400,1,Manhattan
1160,4600,1,Manhattan
1161,2600,1,Manhattan
1162,4800,1,Manhattan
1163,5450,1,Manhattan
1164,2750,1,Manhattan
1165,5100,1,Manhattan
1166,4200,1,Manhattan
1167,4850,1,Manhattan
1168,7050,1,Manhattan
1169,3350,1,Manhattan
1170,2800,1,Manhattan
1171,2650,1,Manhattan
1172,2750,1,Manhattan
1173,3550,1,Manhattan
1174,4100,1,Manhattan
1175,4000,1,Manhattan
1176,4850,1,Manhattan
1177,3650,1,Manhattan
1178,6050,1,Manhattan
1179,3300,1,Manhattan
1180,9450,1,Manhattan
1181,4550,1,Manhattan
1182,2700,1,Manhattan
1183,2500,1,Manhattan
1184,4300,1,Manhattan
1185,3350,1,Manhattan
1186,4650,1,Manhattan
1187,4300,1,Manhattan
1188,3550,1,Manhattan
1189,2700,1,Manhattan
1190,2150,1,Manhattan
1191,3100,1,Manhattan
1192,4900,1,Manhattan
1193,3900,1,Manhattan
1194,2350,1,Manhattan
1195,3850,1,Manhattan
1196,4150,1,Manhattan
1197,2650,1,Manhattan
1198,3850,1,Manhattan
1199,3700,1,Manhattan
1200,2450,1,Manhattan
1201,4150,1,Manhattan
1202,4450,1,Manhattan
1203,5300,1,Manhattan
1204,5250,1,Manhattan
1205,2250,1,Manhattan
1206,2600,1,Manhattan
1207,4350,1,Manhattan
1208,4350,1,Manhattan
1209,4350,1,Manhattan
1210,14000,1,Manhattan
1211,4450,1,Manhattan
1212,5400,1,Manhattan
1213,5100,1,Manhattan
1214,4550,1,Manhattan
1215,3250,1,Manhattan
1216,4750,1,Manhattan
1217,2800,1,Manhattan
1218,3350,1,Manhattan
1219,3050,1,Manhattan
1220,3750,1,Manhattan
1221,8200,1,Manhattan
1222,1900,1,Manhattan
1223,4650,1,Manhattan
1224,2050,1,Manhattan
1225,3100,1,Manhattan
1226,5350,1,Manhattan
1227,3700,1,Manhattan
1228,2500,1,Manhattan
1229,2850,1,Manhattan
1230,4600,1,Manhattan
1231,2800,1,Manhattan
1232,3950,1,Manhattan
1233,3700,1,Manhattan
1234,2900,1,Manhattan
1235,7700,1,Manhattan
1236,4550,1,Manhattan
1237,1800,1,Manhattan
1238,3900,1,Manhattan
1239,2900,1,Manhattan
1240,4900,1,Manhattan
1241,2750,1,Manhattan
1242,3500,1,Manhattan
1243,4350,1,Manhattan
1244,4950,1,Manhattan
1245,2400,1,Manhattan
1246,3250,1,Manhattan
1247,3100,1,Manhattan
1248,2900,1,Manhattan
1249,6750,1,Manhattan
1250,4200,1,Manhattan
1251,2350,1,Manhattan
1252,5000,1,Manhattan
1253,7650,1,Manhattan
1254,5250,1,Manhattan
1255,2150,1,Manhattan
1256,3050,1,Manhattan
1257,5650,1,Manhattan
1258,2850,1,Manhattan
1259,4250,1,Manhattan
1260,4750,1,Manhattan
1261,2650,1,Manhattan
1262,3550,1,Manhattan
1263,1150,1,Manhattan
1264,2550,1,Manhattan
1265,3350,1,Manhattan
1266,2350,1,Manhattan
1267,6450,1,Manhattan
1268,2200,1,Manhattan
1269,3100,1,Manhattan
1270,3800,1,Manhattan
1271,6050,1,Manhattan
1272,2200,1,Manhattan
1273,5450,1,Manhattan
1274,3650,1,Manhattan
1275,2600,1,Manhattan
1276,4300,1,Manhattan
1277,3900,1,Manhattan
1278,2950,1,Manhattan
1279,3750,1,Manhattan
1280,3200,1,Manhattan
1281,3800,1,Manhattan
1282,4600,1,Manhattan
1283,6350,1,Manhattan
1284,2350,1,Manhattan
1285,7700,1,Manhattan
1286,1850,1,Manhattan
1287,3450,1,Manhattan
1288,4450,1,Manhattan
1289,4000,1,Manhattan
1290,2950,1,Manhattan
1291,3400,1,Manhattan
1292,3050,1,Manhattan
1293,2950,1,Manhattan
1294,4900,1,Manhattan
1295,4150,1,Manhattan
1296,2850,1,Manhattan
1297,5000,1,Manhattan
1298,4050,1,Manhattan
1299,4850,1,Manhattan
1300,4550,1,Manhattan
1301,2700,1,Manhattan
1302,3000,1,Manhattan
1303,4750,1,Manhattan
1304,4500,1,Manhattan
1305,3600,1,Manhattan
1306,3800,1,Manhattan
1307,5700,1,Manhattan
1308,2950,1,Manhattan
1309,4400,1,Manhattan
1310,3400,1,Manhattan
1311,3350,1,Manhattan
1312,5350,1,Manhattan
1313,4850,1,Manhattan
1314,4850,1,Manhattan
1315,5750,1,Manhattan
1316,3650,1,Manhattan
1317,4600,1,Manhattan
1318,3250,1,Manhattan
1319,4100,1,Manhattan
1320,3500,1,Manhattan
1321,3750,1,Manhattan
1322,4500,1,Manhattan
1323,2750,1,Manhattan
1324,7550,1,Manhattan
1325,2550,1,Manhattan
1326,2400,1,Manhattan
1327,5450,1,Manhattan
1328,4800,1,Manhattan
1329,4550,1,Manhattan
1330,4550,1,Manhattan
1331,3650,1,Manhattan
1332,2650,1,Manhattan
1333,3750,1,Manhattan
1334,2850,1,Manhattan
1335,5100,1,Manhattan
1336,3450,1,Manhattan
1337,2750,1,Manhattan
1338,3250,1,Manhattan
1339,4200,1,Manhattan
1340,3000,1,Manhattan
1341,2750,1,Manhattan
1342,3950,1,Manhattan
1343,3950,1,Manhattan
1344,3050,1,Manhattan
1345,3100,1,Manhattan
1346,3950,1,Manhattan
1347,2200,1,Manhattan
1348,2200,1,Manhattan
