listing_id,rent,bedrooms,borough
3001,2200,1,Queens
3002,2200,1,Queens
3003,2200,1,Queens
3004,2200,1,Queens
3005,2200,1,Queens
3006,2200,1,Queens
3007,2200,1,Queens
3008,2200,1,Queens
3009,2200,1,Queens
3010,2200,1,Queens
3011,2200,1,Queens
3012,2200,1,Queens
3013,2200,1,Queens
3014,2200,1,Queens
3015,2200,1,Queens
3016,2200,1,Queens
3017,2200,1,Queens
3018,2200,1,Queens
3019,2200,1,Queens
3020,2200,1,Queens
3021,2200,1,Queens
3022,2200,1,Queens
3023,2200,1,Queens
3024,2200,1,Queens
3025,2200,1,Queens
3026,2200,1,Queens
3027,2200,1,Queens
3028,2200,1,Queens
3029,2200,1,Queens
3030,2200,1,Queens
3031,2200,1,Queens
3032,2200,1,Queens
3033,2200,1,Queens
3034,2200,1,Queens
3035,2200,1,Queens
3036,2200,1,Queens
3037,2200,1,Queens
3038,2200,1,Queens
3039,2200,1,Queens
3040,2200,1,Queens
3041,2200,1,Queens
3042,2200,1,Queens
3043,2200,1,Queens
3044,2200,1,Queens
3045,2200,1,Queens
3046,2200,1,Queens
3047,2200,1,Queens
3048,2200,1,Queens
3049,2200,1,Queens
3050,2200,1,Queens
3051,2200,1,Queens
3052,2200,1,Queens
3053,2200,1,Queens
3054,2200,1,Queens
3055,2200,1,Queens
3056,2200,1,Queens
3057,2200,1,Queens
3058,2200,1,Queens
3059,2200,1,Queens
3060,2200,1,Queens
3061,2200,1,Queens
3062,2200,1,Queens
3063,2200,1,Queens
3064,2200,1,Queens
3065,2200,1,Queens
3066,2200,1,Queens
3067,2200,1,Queens
3068,2200,1,Queens
3069,2200,1,Queens
3070,2200,1,Queens
3071,2200,1,Queens
3072,2200,1,Queens
3073,2200,1,Queens
3074,2200,1,Queens
3075,2200,1,Queens
3076,2200,1,Queens
3077,2200,1,Queens
3078,2200,1,Queens
3079,2200,1,Queens
3080,2200,1,Queens
3081,2200,1,Queens
3082,2200,1,Queens
3083,2200,1,Queens
3084,2200,1,Queens
3085,2200,1,Queens
3086,2200,1,Queens
3087,2200,1,Queens
3088,2200,1,Queens
3089,2200,1,Queens
3090,2200,1,Queens
3091,2400,1,Queens
3092,2400,1,Queens
3093,2600,1,Queens
3094,1650,1,Queens
3095,2850,1,Queens
3096,2150,1,Queens
3097,2600,1,Queens
3098,1700,1,Queens
3099,1500,1,Queens
3100,2700,1,Queens
3101,2450,1,Queens
3102,1750,1,Queens
3103,1800,1,Queens
3104,2950,1,Queens
3105,1650,1,Queens
3106,3350,1,Queens
3107,1750,1,Queens
3108,2600,1,Queens
3109,2050,1,Queens
3110,2550,1,Queens
3111,1950,1,Queens
3112,2100,1,Queens
3113,2250,1,Queens
3114,1700,1,Queens
3115,2650,1,Queens
3116,1950,1,Queens
3117,2100,1,Queens
3118,1700,1,Queens
3119,1150,1,Queens
3120,2100,1,Queens
3121,4050,1,Queens
3122,2700,1,Queens
3123,2200,1,Queens
3124,2050,1,Queens
3125,2200,1,Queens
3126,2550,1,Queens
3127,1650,1,Queens
3128,2900,1,Queens
3129,2650,1,Queens
3130,2650,1,Queens
3131,2450,1,Queens
3132,2200,1,Queens
3133,2600,1,Queens
3134,2550,1,Queens
3135,2000,1,Queens
3136,1900,1,Queens
3137,2250,1,Queens
3138,3250,1,Queens
3139,1600,1,Queens
