State,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,male_pop,female_pop
Alabama,4830620,0.03751615646258497,0.61878656462585,0.3125297619047618,0.004532312925170065,0.010502551020408146,0.00034353741496598653,43296.35860306644,2341093.0,2489527.0
Alaska,733375,0.059095808383233514,0.6091017964071858,0.028485029940119776,0.1639101796407186,0.054502994011976044,0.010586826347305378,70354.74390243902,384160.0,349215.0
Arizona,6641928,0.295659210526315,0.5712000000000003,0.03850986842105266,0.0435506578947368,0.028765789473684193,0.0016763157894736833,54207.82095490716,3299088.0,3342840.0
Arkansas,2958208,0.06215474452554738,0.7113781021897814,0.18968759124087572,0.0052291970802919654,0.011423357664233578,0.0014686131386861315,41935.63396778917,1451913.0,1506295.0
California,38421464,0.3729187468796805,0.4021578881677474,0.05677396405391911,0.004052920619071369,0.13052234148776776,0.0035141038442336354,67264.78230266465,19087135.0,19334329.0
Colorado,5278906,0.2078438003220608,0.6989557165861504,0.03546376811594201,0.005738325281803548,0.02661996779388082,0.0011964573268921084,64657.801787164906,2648667.0,2630239.0
Connecticut,3593222,0.15604830917874388,0.676770531400966,0.1034806763285027,0.00126207729468599,0.040219806763285015,0.00018599033816425124,76146.5605875153,1751607.0,1841615.0
Delaware,926454,0.0882476635514019,0.6463271028037383,0.20743925233644833,0.0025981308411214964,0.032686915887850485,0.000191588785046729,61827.97663551402,448413.0,478041.0
District of Columbia,647484,0.09165921787709498,0.33103910614525134,0.5177653631284915,0.0020055865921787715,0.03383240223463686,0.00029608938547486034,75466.36363636363,306674.0,340810.0
Florida,19645772,0.213385426653884,0.5908374880153398,0.15165675934803444,0.0021045062320230153,0.022831735378715256,0.000515100671140939,50690.194986743794,9600009.0,10045763.0
Georgia,10006693,0.08418242207460397,0.5428630556974963,0.32088298415942773,0.0018758303525804798,0.030976494634644896,0.0004660194174757282,50811.08205128205,4883331.0,5123362.0
Hawaii,1406299,0.09186708860759486,0.2503227848101266,0.02052848101265823,0.001449367088607596,0.3659208860759495,0.08758860759493672,73264.42628205128,709871.0,696428.0
Idaho,1616547,0.1150536912751678,0.8313624161073829,0.005667785234899323,0.01468120805369128,0.01135906040268457,0.001271812080536914,48017.31543624161,810464.0,806083.0
Illinois,12873761,0.15601733547351515,0.6085980738362764,0.17108410914927716,0.00118426966292135,0.044753772070626044,0.00020032102728731948,59587.04887459807,6316899.0,6556862.0
Indiana,6568645,0.06536744186046502,0.7843189368770771,0.1118697674418606,0.001940863787375415,0.015782724252491685,0.0003262458471760798,48616.22784810127,3235263.0,3333382.0
Iowa,3093526,0.0530364520048603,0.8771968408262464,0.03256986634264887,0.002897934386391251,0.01699392466585662,0.0005516403402187123,53017.75304136253,1534595.0,1558931.0
Kansas,2892987,0.11644342105263147,0.7595828947368425,0.065678947368421,0.007339473684210529,0.023310526315789462,0.0006144736842105263,53885.612648221344,1439862.0,1453125.0
Kentucky,4397353,0.03222993688007212,0.8523074842200189,0.08272317403065832,0.001666366095581602,0.011298467087466181,0.0004643823264201984,45285.80253623189,2164208.0,2233145.0
Louisiana,4625253,0.04866489361702128,0.5497854609929079,0.36326241134751747,0.004843085106382982,0.01669060283687941,0.00039184397163120557,44957.99376114082,2261156.0,2364097.0
Maine,1329100,0.014319088319088317,0.9370740740740736,0.011344729344729356,0.007883190883190888,0.00965811965811967,0.0001566951566951567,49181.97435897436,650081.0,679019.0
Maryland,5930538,0.08472498200143991,0.52679049676026,0.306777537796976,0.0020309575233981277,0.05325413966882652,0.00036285097192224625,78765.40072463769,2872643.0,3057895.0
Massachusetts,6705586,0.11461065573770476,0.7304105191256844,0.0683312841530056,0.0012827868852459006,0.05835655737704914,0.00019808743169398902,72838.93672627235,3249650.0,3455936.0
Michigan,9900571,0.04634992732558134,0.7238172238372084,0.17633103197674424,0.0048441133720930315,0.024231104651162797,0.0001954941860465116,51201.83003663004,4861973.0,5038598.0
Minnesota,5419171,0.051529235382308955,0.8142706146926535,0.0565982008995502,0.010690404797601189,0.04156071964017996,0.00032908545727136445,62820.833959429,2692166.0,2727005.0
Mississippi,2988081,0.028424012158054728,0.5328632218844981,0.41491945288753806,0.0038996960486322157,0.008764437689969606,0.00015045592705167175,38909.91920731707,1451723.0,1536358.0
Missouri,6045448,0.04037247838616718,0.7750806916426499,0.14122118155619595,0.0036332853025936645,0.016244956772334295,0.0010165706051873192,49763.98772563177,2964003.0,3081445.0
Montana,1014699,0.0326888888888889,0.8641555555555555,0.004292592592592591,0.07060740740740742,0.005703703703703706,0.0007222222222222222,47645.682835820895,510163.0,504536.0
Nebraska,1869365,0.09203759398496235,0.8113947368421056,0.04956203007518794,0.008644736842105262,0.01859022556390979,0.0005714285714285715,55916.469696969696,929606.0,939759.0
Nevada,2798636,0.27100883652430047,0.5323932253313698,0.07739617083946994,0.010871870397643592,0.07095729013254787,0.0057452135493372665,55526.525073746314,1407735.0,1390901.0
New Hampshire,1324201,0.0332191780821918,0.9131917808219184,0.012277397260273975,0.0014280821917808228,0.02191438356164382,0.00016095890410958903,68728.8595890411,653484.0,670717.0
New Jersey,8904413,0.18749500499500488,0.5648876123876129,0.14387862137862117,0.0011533466533466513,0.08159990009990019,0.00031318681318681326,76581.08341708542,4343027.0,4561386.0
New Mexico,2084117,0.4528293172690762,0.40697991967871466,0.017550200803212852,0.09248594377510046,0.0123433734939759,0.0004277108433734938,47329.96787148595,1032414.0,1051703.0
New York,19673174,0.17241424747786685,0.564701050030883,0.15668046119003515,0.0032163887173152117,0.07897158739962935,0.00023450689726168416,64290.74911292006,9541801.0,10131373.0
North Carolina,9845333,0.08464762782128062,0.645976508521419,0.21395117457392898,0.010854905573468434,0.02317457392906495,0.0005232611699677568,49937.46413697362,4795408.0,5049925.0
