user_id,purchase_time
12,2023-06-04 17:00:00
21,2023-06-23 20:18:00
23,2023-06-22 08:15:00
41,2023-06-09 11:01:00
42,2023-07-03 17:31:00
60,2023-06-12 14:47:00
68,2023-06-27 19:00:00
70,2023-06-10 09:37:00
72,2023-06-29 22:06:00
75,2023-06-20 03:41:00
92,2023-06-05 18:58:00
93,2023-06-05 08:42:00
118,2023-06-09 07:39:00
119,2023-06-11 04:52:00
144,2023-06-23 22:21:00
156,2023-06-04 10:49:00
166,2023-06-25 16:19:00
171,2023-06-23 22:44:00
174,2023-06-30 08:24:00
193,2023-06-26 21:17:00
196,2023-06-28 00:39:00
199,2023-06-30 23:25:00
215,2023-07-03 00:39:00
229,2023-06-10 00:39:00
237,2023-06-21 01:02:00
