user_id,cart_time
user_0001,2024-01-01 02:49:00
user_0002,2024-01-01 04:08:00
user_0003,2024-01-01 04:25:00
user_0012,2024-01-01 13:49:00
user_0018,2024-01-01 17:22:00
user_0030,2024-01-02 05:29:00
user_0033,2024-01-02 09:20:00
user_0036,2024-01-02 13:05:00
user_0040,2024-01-02 15:09:00
user_0043,2024-01-02 18:44:00
user_0046,2024-01-03 00:15:00
user_0048,2024-01-03 01:06:00
user_0050,2024-01-03 04:14:00
user_0053,2024-01-03 04:24:00
user_0058,2024-01-03 16:07:00
user_0060,2024-01-03 16:54:00
user_0061,2024-01-03 17:12:00
user_0063,2024-01-03 17:50:00
user_0075,2024-01-04 08:38:00
user_0077,2024-01-04 11:03:00
user_0085,2024-01-04 22:52:00
user_0086,2024-01-04 23:06:00
user_0089,2024-01-05 01:19:00
user_0090,2024-01-05 03:24:00
user_0096,2024-01-05 10:03:00
user_0097,2024-01-05 11:00:00
user_0103,2024-01-05 15:41:00
user_0104,2024-01-05 17:01:00
user_0106,2024-01-05 18:20:00
user_0108,2024-01-05 16:47:00
user_0110,2024-01-05 23:13:00
user_0112,2024-01-05 22:23:00
user_0113,2024-01-06 00:33:00
user_0115,2024-01-06 02:37:00
user_0119,2024-01-06 05:14:00
user_0121,2024-01-06 06:55:00
user_0129,2024-01-06 23:59:00
user_0135,2024-01-07 02:29:00
user_0139,2024-01-07 12:07:00
user_0145,2024-01-08 00:52:00
user_0148,2024-01-08 03:37:00
user_0151,2024-01-08 03:57:00
user_0157,2024-01-08 16:42:00
user_0160,2024-01-08 18:22:00
user_0163,2024-01-08 18:02:00
user_0164,2024-01-08 19:27:00
user_0165,2024-01-08 20:11:00
user_0169,2024-01-09 00:28:00
user_0175,2024-01-09 03:25:00
user_0179,2024-01-09 05:28:00
user_0182,2024-01-09 10:19:00
user_0184,2024-01-09 12:48:00
user_0185,2024-01-09 13:16:00
user_0187,2024-01-09 13:29:00
user_0188,2024-01-09 14:28:00
user_0192,2024-01-09 16:58:00
user_0193,2024-01-09 20:39:00
user_0195,2024-01-09 22:31:00
user_0196,2024-01-10 01:42:00
user_0200,2024-01-10 05:45:00
user_0203,2024-01-10 09:41:00
user_0207,2024-01-10 13:18:00
user_0208,2024-01-10 12:21:00
user_0209,2024-01-10 13:48:00
user_0212,2024-01-10 14:57:00
user_0214,2024-01-10 15:02:00
user_0216,2024-01-10 17:44:00
user_0218,2024-01-10 20:51:00
user_0220,2024-01-10 23:25:00
user_0223,2024-01-10 23:50:00
user_0231,2024-01-11 11:09:00
user_0240,2024-01-11 18:51:00
user_0242,2024-01-11 19:07:00
user_0243,2024-01-11 21:29:00
user_0247,2024-01-11 20:35:00
user_0248,2024-01-11 22:13:00
user_0251,2024-01-12 02:44:00
user_0252,2024-01-12 03:39:00
user_0254,2024-01-12 04:54:00
user_0256,2024-01-12 05:15:00
user_0260,2024-01-12 08:54:00
user_0265,2024-01-12 13:04:00
user_0270,2024-01-12 19:44:00
user_0273,2024-01-12 23:53:00
user_0275,2024-01-12 23:53:00
user_0281,2024-01-13 06:13:00
user_0284,2024-01-13 11:56:00
user_0286,2024-01-13 11:10:00
user_0287,2024-01-13 13:22:00
user_0288,2024-01-13 15:15:00
user_0292,2024-01-13 17:54:00
user_0295,2024-01-13 17:35:00
user_0303,2024-01-14 02:13:00
user_0307,2024-01-14 04:44:00
user_0309,2024-01-14 10:35:00
user_0315,2024-01-14 10:56:00
user_0317,2024-01-14 13:53:00
user_0325,2024-01-14 21:32:00
user_0327,2024-01-14 20:01:00
user_0328,2024-01-14 23:14:00
user_0329,2024-01-15 00:08:00
user_0336,2024-01-15 05:26:00
user_0341,2024-01-15 12:19:00
user_0345,2024-01-15 15:32:00
user_0348,2024-01-15 19:47:00
user_0349,2024-01-15 19:51:00
user_0361,2024-01-16 03:41:00
user_0362,2024-01-16 04:41:00
user_0363,2024-01-16 06:24:00
user_0366,2024-01-16 10:17:00
user_0373,2024-01-16 21:30:00
user_0374,2024-01-16 20:48:00
user_0376,2024-01-17 01:34:00
user_0377,2024-01-16 23:35:00
user_0378,2024-01-17 02:19:00
user_0381,2024-01-17 07:07:00
user_0384,2024-01-17 08:04:00
user_0385,2024-01-17 07:02:00
user_0386,2024-01-17 11:28:00
user_0388,2024-01-17 10:37:00
user_0392,2024-01-17 14:32:00
user_0394,2024-01-17 20:02:00
user_0396,2024-01-17 20:14:00
user_0397,2024-01-17 19:27:00
user_0398,2024-01-17 23:43:00
user_0400,2024-01-17 23:12:00
user_0404,2024-01-18 08:19:00
user_0405,2024-01-18 08:20:00
user_0409,2024-01-18 13:01:00
user_0412,2024-01-18 17:59:00
user_0418,2024-01-18 23:59:00
user_0420,2024-01-19 04:58:00
user_0423,2024-01-19 05:13:00
user_0425,2024-01-19 06:19:00
user_0426,2024-01-19 07:07:00
user_0434,2024-01-19 22:14:00
user_0438,2024-01-20 04:15:00
user_0445,2024-01-21 01:22:00
user_0446,2024-01-21 02:38:00
user_0449,2024-01-21 13:32:00
user_0450,2024-01-21 12:25:00
user_0451,2024-01-21 15:56:00
user_0454,2024-01-21 19:12:00
user_0457,2024-01-21 22:10:00
user_0459,2024-01-22 02:00:00
user_0460,2024-01-22 01:41:00
user_0464,2024-01-22 02:17:00
user_0466,2024-01-22 05:41:00
user_0467,2024-01-22 06:45:00
user_0468,2024-01-22 05:43:00
user_0475,2024-01-22 13:37:00
user_0476,2024-01-22 12:17:00
user_0479,2024-01-22 15:32:00
user_0481,2024-01-22 19:22:00
user_0483,2024-01-22 18:07:00
user_0484,2024-01-22 19:17:00
user_0489,2024-01-23 01:42:00
user_0490,2024-01-23 00:34:00
user_0491,2024-01-23 03:03:00
user_0494,2024-01-23 00:58:00
user_0496,2024-01-23 05:07:00
user_0498,2024-01-23 06:26:00
user_0503,2024-01-23 11:58:00
user_0512,2024-01-23 19:39:00
user_0514,2024-01-23 23:50:00
user_0515,2024-01-23 22:46:00
user_0518,2024-01-24 01:38:00
user_0519,2024-01-24 02:18:00
user_0520,2024-01-24 06:44:00
user_0526,2024-01-24 18:39:00
user_0527,2024-01-24 19:06:00
user_0530,2024-01-24 20:39:00
user_0531,2024-01-25 01:09:00
user_0533,2024-01-24 23:40:00
user_0537,2024-01-25 02:33:00
user_0538,2024-01-25 06:45:00
user_0539,2024-01-25 06:10:00
user_0547,2024-01-25 20:05:00
user_0550,2024-01-26 00:50:00
user_0553,2024-01-26 00:55:00
user_0557,2024-01-26 07:01:00
user_0566,2024-01-26 13:52:00
user_0568,2024-01-26 17:45:00
user_0570,2024-01-26 17:23:00
user_0571,2024-01-26 16:33:00
user_0572,2024-01-26 21:09:00
user_0576,2024-01-27 02:19:00
user_0579,2024-01-27 01:57:00
user_0581,2024-01-27 05:55:00
user_0585,2024-01-27 13:16:00
