user_id,checkout_time
user_0568,2024-01-26 19:42:00
user_0944,2024-02-12 12:18:00
user_0460,2024-01-22 02:40:00
user_0907,2024-02-11 01:05:00
user_1630,2024-03-14 14:57:00
user_0110,2024-01-05 23:26:00
user_0412,2024-01-18 19:32:00
user_1500,2024-03-08 23:12:00
user_0626,2024-01-29 06:10:00
user_1921,2024-03-27 14:09:00
user_0418,2024-01-19 00:01:00
user_1748,2024-03-19 18:12:00
user_1387,2024-03-03 20:58:00
user_1009,2024-02-15 10:35:00
user_0426,2024-01-19 10:05:00
user_1804,2024-03-22 13:20:00
user_0725,2024-02-03 02:31:00
user_0275,2024-01-13 02:23:00
user_1424,2024-03-05 20:36:00
user_1080,2024-02-18 02:31:00
user_0187,2024-01-09 14:23:00
user_0604,2024-01-28 04:32:00
user_1151,2024-02-21 14:31:00
user_1991,2024-03-30 14:28:00
user_0514,2024-01-24 01:28:00
user_0096,2024-01-05 12:36:00
user_1308,2024-02-28 22:03:00
user_0826,2024-02-07 16:26:00
user_0920,2024-02-11 12:48:00
user_1332,2024-03-01 00:15:00
user_1978,2024-03-30 02:07:00
user_0248,2024-01-11 23:30:00
user_0806,2024-02-07 05:23:00
user_1213,2024-02-24 12:41:00
user_0836,2024-02-08 12:17:00
user_0434,2024-01-19 23:42:00
user_0721,2024-02-02 20:45:00
user_0381,2024-01-17 08:37:00
user_0160,2024-01-08 21:02:00
user_0840,2024-02-08 15:55:00
user_1010,2024-02-15 14:00:00
user_0061,2024-01-03 17:39:00
user_1234,2024-02-25 14:38:00
user_0729,2024-02-03 05:36:00
user_1768,2024-03-20 16:09:00
user_0446,2024-01-21 02:48:00
user_0384,2024-01-17 08:57:00
user_1908,2024-03-27 02:10:00
user_0377,2024-01-16 23:53:00
user_1806,2024-03-22 15:41:00
user_1704,2024-03-17 14:39:00
user_1840,2024-03-24 03:17:00
user_0494,2024-01-23 03:43:00
user_1062,2024-02-17 18:57:00
user_1209,2024-02-24 05:49:00
user_1986,2024-03-30 11:17:00
user_0571,2024-01-26 19:02:00
user_0284,2024-01-13 13:11:00
user_1809,2024-03-22 17:20:00
user_0182,2024-01-09 11:25:00
user_1542,2024-03-10 21:02:00
user_1306,2024-02-28 20:58:00
user_0292,2024-01-13 18:42:00
user_1855,2024-03-24 15:37:00
user_1931,2024-03-27 18:23:00
user_0771,2024-02-05 09:00:00
user_1821,2024-03-23 15:05:00
user_0260,2024-01-12 09:49:00
user_1338,2024-03-01 09:57:00
user_0608,2024-01-28 06:53:00
user_1113,2024-02-19 23:32:00
user_1326,2024-02-29 19:31:00
user_0515,2024-01-23 22:54:00
user_1121,2024-02-20 01:07:00
user_1025,2024-02-16 07:15:00
user_0647,2024-01-29 22:59:00
user_0697,2024-02-01 02:48:00
user_0476,2024-01-22 14:05:00
user_1867,2024-03-25 06:27:00
user_0992,2024-02-14 18:30:00
user_0550,2024-01-26 02:11:00
user_0303,2024-01-14 04:18:00
user_1826,2024-03-23 20:14:00
user_1741,2024-03-19 00:21:00
user_1317,2024-02-29 05:21:00
user_1192,2024-02-23 10:44:00
user_0520,2024-01-24 08:03:00
user_1553,2024-03-11 03:53:00
user_0820,2024-02-07 17:28:00
user_1501,2024-03-09 00:34:00
user_0336,2024-01-15 05:47:00
user_0961,2024-02-13 06:26:00
user_0603,2024-01-28 01:49:00
user_1130,2024-02-20 07:59:00
user_0635,2024-01-29 12:11:00
user_0786,2024-02-06 08:26:00
user_1740,2024-03-18 20:39:00
user_1627,2024-03-14 11:36:00
user_0108,2024-01-05 17:48:00
user_0115,2024-01-06 04:51:00
user_1287,2024-02-27 18:17:00
user_1595,2024-03-12 18:18:00
user_1429,2024-03-06 04:19:00
user_1050,2024-02-17 06:10:00
user_1434,2024-03-06 04:46:00
user_1808,2024-03-22 20:21:00
user_1684,2024-03-17 02:31:00
user_0490,2024-01-23 01:39:00
user_1410,2024-03-05 06:24:00
user_0769,2024-02-05 04:51:00
