user_id,purchase_time
user_1511,2024-03-09 16:18:00
user_0260,2024-01-12 10:57:00
user_0040,2024-01-02 18:02:00
user_0110,2024-01-05 23:58:00
user_1234,2024-02-25 15:36:00
user_0348,2024-01-15 22:31:00
user_1387,2024-03-03 21:56:00
user_1850,2024-03-24 10:06:00
user_0115,2024-01-06 05:16:00
user_1679,2024-03-16 21:23:00
user_0050,2024-01-03 06:28:00
user_1725,2024-03-18 08:28:00
user_1254,2024-02-26 16:26:00
user_0696,2024-02-01 03:53:00
user_1804,2024-03-22 14:31:00
user_1917,2024-03-27 12:05:00
user_0825,2024-02-07 18:54:00
user_1238,2024-02-25 15:23:00
user_0374,2024-01-17 00:16:00
user_1933,2024-03-27 21:48:00
user_0519,2024-01-24 04:34:00
user_0157,2024-01-08 19:52:00
user_1991,2024-03-30 14:47:00
user_1954,2024-03-29 04:48:00
user_1687,2024-03-17 04:21:00
user_1535,2024-03-10 18:50:00
user_0514,2024-01-24 01:49:00
user_0388,2024-01-17 14:20:00
user_1551,2024-03-11 06:05:00
user_0951,2024-02-12 22:15:00
user_0483,2024-01-22 20:28:00
user_1308,2024-02-28 23:07:00
user_1157,2024-02-21 18:18:00
user_1779,2024-03-21 07:37:00
user_1880,2024-03-25 15:26:00
user_0216,2024-01-10 18:43:00
user_1736,2024-03-18 19:00:00
user_0077,2024-01-04 12:28:00
user_0046,2024-01-03 03:14:00
user_0603,2024-01-28 02:26:00
user_0381,2024-01-17 09:06:00
user_0086,2024-01-05 02:44:00
user_1474,2024-03-07 19:39:00
user_1964,2024-03-29 13:07:00
user_1826,2024-03-23 21:38:00
user_0518,2024-01-24 02:31:00
user_0060,2024-01-03 18:50:00
user_1931,2024-03-27 19:49:00
user_1408,2024-03-05 03:21:00
user_0449,2024-01-21 14:16:00
user_1843,2024-03-24 09:21:00
user_0681,2024-01-31 14:56:00
user_1740,2024-03-18 21:20:00
user_0481,2024-01-22 23:15:00
user_1085,2024-02-18 12:00:00
user_1366,2024-03-02 17:25:00
user_0328,2024-01-15 01:59:00
user_0426,2024-01-19 10:25:00
user_1016,2024-02-15 19:43:00
user_0686,2024-01-31 17:44:00
user_1333,2024-03-01 00:17:00
user_1076,2024-02-18 05:20:00
user_1773,2024-03-21 03:48:00
user_0699,2024-02-01 07:28:00
user_0874,2024-02-10 01:23:00
user_0464,2024-01-22 05:51:00
user_1162,2024-02-22 03:04:00
user_1287,2024-02-27 19:15:00
user_0200,2024-01-10 08:02:00
user_0771,2024-02-05 09:27:00
user_0476,2024-01-22 15:28:00
user_0187,2024-01-09 14:43:00
user_0907,2024-02-11 01:09:00
user_1332,2024-03-01 01:22:00
user_0214,2024-01-10 16:21:00
user_1517,2024-03-09 22:32:00
user_0606,2024-01-28 05:25:00
user_0930,2024-02-12 03:16:00
user_0720,2024-02-02 18:36:00
user_0946,2024-02-12 18:11:00
user_1113,2024-02-19 23:55:00
user_1500,2024-03-09 00:35:00
user_1714,2024-03-17 22:42:00
user_1943,2024-03-28 13:39:00
user_1130,2024-02-20 08:19:00
user_1875,2024-03-25 14:22:00
user_0309,2024-01-14 11:35:00
user_0121,2024-01-06 07:18:00
user_0715,2024-02-02 14:54:00
user_0151,2024-01-08 05:10:00
user_0033,2024-01-02 11:42:00
user_0527,2024-01-24 19:58:00
user_1009,2024-02-15 10:36:00
user_1358,2024-03-02 09:54:00
user_0203,2024-01-10 11:53:00
user_0612,2024-01-28 08:36:00
user_0220,2024-01-11 00:13:00
user_1563,2024-03-11 12:21:00
user_1010,2024-02-15 14:49:00
user_0627,2024-01-29 07:31:00
user_1200,2024-02-23 23:01:00
user_1867,2024-03-25 07:09:00
user_0090,2024-01-05 05:03:00
user_0061,2024-01-03 18:09:00
user_1900,2024-03-26 22:21:00
user_0207,2024-01-10 14:21:00
user_1121,2024-02-20 01:10:00
user_1414,2024-03-05 14:19:00
user_1020,2024-02-16 00:17:00
user_0598,2024-01-27 23:40:00
user_0420,2024-01-19 05:44:00
user_0503,2024-01-23 15:31:00
user_0948,2024-02-12 19:57:00
user_0586,2024-01-27 14:42:00
user_1986,2024-03-30 11:31:00
user_0362,2024-01-16 06:35:00
user_1627,2024-03-14 13:04:00
user_1952,2024-03-28 23:28:00
user_1770,2024-03-20 21:51:00
user_0434,2024-01-20 00:40:00
user_0273,2024-01-13 03:21:00
user_0512,2024-01-23 23:19:00
user_0733,2024-02-03 12:02:00
user_0193,2024-01-09 23:00:00
user_0826,2024-02-07 16:34:00
user_0185,2024-01-09 16:41:00
user_0446,2024-01-21 04:15:00
user_0785,2024-02-06 04:42:00
user_1126,2024-02-20 03:29:00
user_0630,2024-01-29 07:42:00
user_1646,2024-03-15 13:41:00
user_0450,2024-01-21 14:55:00
user_0635,2024-01-29 12:49:00
user_1504,2024-03-09 09:09:00
user_1187,2024-02-23 07:32:00
user_1066,2024-02-17 22:19:00
user_0089,2024-01-05 05:26:00
user_0568,2024-01-26 20:10:00
user_0664,2024-01-30 14:53:00
user_0384,2024-01-17 09:36:00
user_1102,2024-02-19 08:51:00
user_0231,2024-01-11 14:01:00
user_0806,2024-02-07 05:57:00
user_1095,2024-02-19 00:23:00
user_1415,2024-03-05 18:05:00
user_1680,2024-03-16 20:51:00
user_1962,2024-03-29 10:27:00
user_1855,2024-03-24 16:30:00
user_1070,2024-02-18 00:09:00
user_1338,2024-03-01 10:34:00
user_0547,2024-01-25 23:13:00
