user_id,visit_time
user_0001,2024-01-01 02:39:00
user_0002,2024-01-01 03:18:00
user_0003,2024-01-01 03:35:00
user_0004,2024-01-01 03:35:00
user_0005,2024-01-01 04:59:00
user_0006,2024-01-01 06:38:00
user_0007,2024-01-01 07:00:00
user_0008,2024-01-01 08:39:00
user_0009,2024-01-01 09:27:00
user_0010,2024-01-01 09:43:00
user_0011,2024-01-01 10:10:00
user_0012,2024-01-01 10:14:00
user_0013,2024-01-01 10:33:00
user_0014,2024-01-01 11:27:00
user_0015,2024-01-01 11:43:00
user_0016,2024-01-01 11:49:00
user_0017,2024-01-01 14:03:00
user_0018,2024-01-01 15:17:00
user_0019,2024-01-01 15:47:00
user_0020,2024-01-01 15:54:00
user_0021,2024-01-01 16:57:00
user_0022,2024-01-01 17:32:00
user_0023,2024-01-01 18:27:00
user_0024,2024-01-01 18:32:00
user_0025,2024-01-01 20:00:00
user_0026,2024-01-01 21:25:00
user_0027,2024-01-01 22:00:00
user_0028,2024-01-01 23:10:00
user_0029,2024-01-02 02:07:00
user_0030,2024-01-02 02:34:00
user_0031,2024-01-02 02:56:00
user_0032,2024-01-02 06:02:00
user_0033,2024-01-02 06:06:00
user_0034,2024-01-02 07:28:00
user_0035,2024-01-02 07:42:00
user_0036,2024-01-02 10:01:00
user_0037,2024-01-02 11:48:00
user_0038,2024-01-02 14:09:00
user_0039,2024-01-02 14:31:00
user_0040,2024-01-02 14:47:00
user_0041,2024-01-02 15:13:00
user_0042,2024-01-02 17:06:00
user_0043,2024-01-02 18:10:00
user_0044,2024-01-02 20:24:00
user_0045,2024-01-02 21:40:00
user_0046,2024-01-02 22:40:00
user_0047,2024-01-02 23:23:00
user_0048,2024-01-02 23:45:00
user_0049,2024-01-03 01:03:00
user_0050,2024-01-03 01:15:00
user_0051,2024-01-03 01:58:00
user_0052,2024-01-03 03:09:00
user_0053,2024-01-03 03:46:00
user_0054,2024-01-03 05:37:00
user_0055,2024-01-03 05:41:00
user_0056,2024-01-03 06:01:00
user_0057,2024-01-03 06:13:00
user_0058,2024-01-03 14:38:00
user_0059,2024-01-03 15:10:00
user_0060,2024-01-03 15:57:00
user_0061,2024-01-03 16:26:00
user_0062,2024-01-03 16:55:00
user_0063,2024-01-03 17:08:00
user_0064,2024-01-03 18:33:00
user_0065,2024-01-03 19:34:00
user_0066,2024-01-03 20:55:00
user_0067,2024-01-03 21:56:00
user_0068,2024-01-04 02:56:00
user_0069,2024-01-04 03:55:00
user_0070,2024-01-04 03:58:00
user_0071,2024-01-04 05:25:00
user_0072,2024-01-04 05:53:00
user_0073,2024-01-04 06:06:00
user_0074,2024-01-04 06:56:00
user_0075,2024-01-04 07:51:00
user_0076,2024-01-04 08:29:00
user_0077,2024-01-04 08:48:00
user_0078,2024-01-04 14:43:00
user_0079,2024-01-04 16:26:00
user_0080,2024-01-04 16:43:00
user_0081,2024-01-04 17:03:00
user_0082,2024-01-04 17:53:00
user_0083,2024-01-04 17:59:00
user_0084,2024-01-04 19:28:00
user_0085,2024-01-04 21:13:00
user_0086,2024-01-04 21:21:00
user_0087,2024-01-04 21:54:00
user_0088,2024-01-04 22:36:00
user_0089,2024-01-04 23:24:00
user_0090,2024-01-05 00:26:00
user_0091,2024-01-05 00:44:00
user_0092,2024-01-05 01:00:00
user_0093,2024-01-05 01:34:00
user_0094,2024-01-05 05:00:00
user_0095,2024-01-05 06:19:00
user_0096,2024-01-05 06:37:00
user_0097,2024-01-05 08:54:00
user_0098,2024-01-05 09:11:00
user_0099,2024-01-05 09:45:00
user_0100,2024-01-05 10:23:00
user_0101,2024-01-05 12:13:00
user_0102,2024-01-05 12:18:00
user_0103,2024-01-05 13:07:00
user_0104,2024-01-05 14:04:00
user_0105,2024-01-05 14:41:00
user_0106,2024-01-05 15:34:00
user_0107,2024-01-05 16:07:00
user_0108,2024-01-05 16:14:00
user_0109,2024-01-05 18:32:00
user_0110,2024-01-05 19:18:00
user_0111,2024-01-05 20:50:00
user_0112,2024-01-05 21:43:00
user_0113,2024-01-05 22:54:00
user_0114,2024-01-05 23:39:00
user_0115,2024-01-06 00:01:00
user_0116,2024-01-06 00:50:00
user_0117,2024-01-06 03:13:00
user_0118,2024-01-06 03:19:00
user_0119,2024-01-06 03:37:00
user_0120,2024-01-06 05:30:00
user_0121,2024-01-06 05:56:00
user_0122,2024-01-06 10:05:00
user_0123,2024-01-06 10:13:00
user_0124,2024-01-06 10:44:00
user_0125,2024-01-06 10:57:00
user_0126,2024-01-06 12:02:00
user_0127,2024-01-06 12:47:00
user_0128,2024-01-06 17:50:00
user_0129,2024-01-06 20:18:00
user_0130,2024-01-06 21:32:00
user_0131,2024-01-06 23:43:00
user_0132,2024-01-06 23:46:00
user_0133,2024-01-07 01:04:00
user_0134,2024-01-07 02:06:00
user_0135,2024-01-07 02:11:00
user_0136,2024-01-07 02:42:00
user_0137,2024-01-07 07:38:00
user_0138,2024-01-07 10:59:00
user_0139,2024-01-07 11:08:00
user_0140,2024-01-07 11:38:00
