country,life_expectancy,GDP
Country_001,66.1,3989.0
Country_002,52.6,2135.0
Country_003,55.8,1761.0
Country_004,57.6,1704.0
Country_005,79.5,22428.0
Country_006,53.1,2994.0
Country_007,69.1,6048.0
Country_008,66.8,4195.0
Country_009,72.6,9108.0
Country_010,67.1,5537.0
Country_011,72.3,9234.0
Country_012,72.6,11106.0
Country_013,68.3,16063.0
Country_014,74.0,11821.0
Country_015,76.3,15555.0
Country_016,70.1,7457.0
Country_017,69.1,9910.0
Country_018,72.3,10241.0
Country_019,79.2,21895.0
Country_020,57.0,10809.0
Country_021,73.8,11245.0
Country_022,76.0,13616.0
Country_023,76.0,14836.0
Country_024,70.2,10545.0
Country_025,71.1,8985.0
Country_026,52.6,4608.0
Country_027,60.1,2268.0
Country_028,74.5,11083.0
Country_029,51.4,1163.0
Country_030,57.2,1465.0
Country_031,69.0,6623.0
Country_032,72.5,9012.0
Country_033,72.7,13329.0
Country_034,73.5,9693.0
Country_035,78.2,24168.0
Country_036,81.5,26005.0
Country_037,70.8,6975.0
Country_038,73.2,9488.0
Country_039,76.7,25549.0
Country_040,62.0,3296.0
Country_041,54.1,2901.0
Country_042,73.7,10501.0
Country_043,72.0,8770.0
Country_044,73.6,10154.0
Country_045,73.7,10856.0
Country_046,67.9,6666.0
Country_047,79.3,27708.0
Country_048,68.3,5026.0
Country_049,75.5,19728.0
Country_050,75.3,13947.0
Country_051,76.8,14908.0
Country_052,70.5,7025.0
Country_053,67.4,8262.0
Country_054,78.5,18985.0
Country_055,78.2,17090.0
Country_056,74.5,12380.0
Country_057,74.0,14406.0
Country_058,50.8,3620.0
Country_059,79.2,19716.0
Country_060,48.1,613.0
Country_061,71.9,8505.0
Country_062,78.6,72214.0
Country_063,53.1,912.0
Country_064,48.0,788.0
Country_065,52.8,2461.0
Country_066,74.9,12215.0
Country_067,70.4,7296.0
Country_068,49.4,12913.0
Country_069,63.6,3119.0
Country_070,50.1,1585.0
Country_071,65.5,4860.0
Country_072,61.3,2475.0
Country_073,73.3,9453.0
Country_074,56.0,2569.0
Country_075,77.9,26073.0
Country_076,76.2,15027.0
Country_077,62.7,3671.0
Country_078,55.4,2198.0
Country_079,68.5,5863.0
Country_080,49.7,5019.0
Country_081,74.1,10797.0
Country_082,67.7,4758.0
Country_083,53.1,903.0
Country_084,72.2,9184.0
Country_085,83.5,36747.0
Country_086,54.4,2330.0
Country_087,77.2,15722.0
Country_088,72.1,9790.0
Country_089,55.3,2337.0
Country_090,72.0,10773.0
Country_091,66.6,9379.0
Country_092,71.4,7601.0
Country_093,80.0,21206.0
Country_094,72.9,9523.0
Country_095,70.2,6544.0
Country_096,67.1,7201.0
Country_097,69.8,6427.0
Country_098,72.9,8815.0
Country_099,52.8,1262.0
Country_100,56.3,1276.0
Country_101,67.8,12010.0
Country_102,74.9,13181.0
Country_103,74.8,13527.0
Country_104,62.4,4445.0
Country_105,71.4,10246.0
Country_106,64.7,7406.0
Country_107,78.7,18742.0
Country_108,70.9,7039.0
Country_109,70.7,7014.0
Country_110,72.2,9074.0
Country_111,66.0,3731.0
Country_112,80.0,25522.0
Country_113,73.1,9110.0
Country_114,75.7,14712.0
Country_115,49.3,1355.0
Country_116,55.8,2581.0
Country_117,72.7,9135.0
Country_118,73.0,10297.0
Country_119,54.1,1453.0
Country_120,72.9,9349.0
Country_121,65.8,3995.0
Country_122,71.6,14279.0
Country_123,78.6,19609.0
Country_124,74.9,12701.0
Country_125,67.1,4621.0
Country_126,50.9,1390.0
Country_127,69.0,5732.0
Country_128,64.4,3637.0
Country_129,58.3,1666.0
Country_130,61.1,9384.0
Country_131,78.6,18246.0
Country_132,66.6,4347.0
Country_133,69.2,5709.0
Country_134,56.5,1562.0
Country_135,73.6,10149.0
Country_136,53.8,1841.0
Country_137,78.7,18651.0
Country_138,80.0,21511.0
Country_139,50.4,704.0
Country_140,58.1,3850.0
Country_141,69.0,6303.0
Country_142,73.5,11841.0
Country_143,48.0,3186.0
Country_144,54.1,2149.0
Country_145,75.3,12044.0
Country_146,72.6,9823.0
Country_147,82.7,35544.0
Country_148,78.9,19092.0
Country_149,78.6,19609.0
Country_150,75.7,13501.0
Country_151,81.9,32567.0
Country_152,76.6,14358.0
Country_153,74.7,15337.0
Country_154,71.2,7751.0
Country_155,60.9,2421.0
Country_156,81.3,26163.0
Country_157,54.9,2582.0
Country_158,71.0,17782.0
