row_id,loan_id,credit_score,annual_income,employment_years,home_ownership,loan_purpose,loan_amount,term_months,verified_income,delinq_2yr,dti,interest_rate,loan_status
1,LN103465,824,-1.0,3.7,OWN,debt_consolidation,15500.0,36,Source Verified,0,0.0,9.37,Charged Off
2,LN102731,605,52600.0,11.4,MORTGAGE,debt_consolidation,5200.0,36,Verified,0,12.0,12.54,Fully Paid
3,LN103612,652,-1.0,2.6,MORTGAGE,credit_card,18200.0,36,Source Verified,0,0.0,13.63,Current
4,LN100360,680,27500.0,24.4,RENT,debt_consolidation,3600.0,36,Source Verified,0,8.9,13.41,Fully Paid
5,LN101977,704,166400.0,4.8,RENT,debt_consolidation,8800.0,36,Not Verified,0,1.4,10.3,Fully Paid
6,LN101728,695,51000.0,8.2,MORTGAGE,debt_consolidation,5400.0,36,Verified,0,12.8,8.79,Charged Off
7,LN102847,650,25200.0,2.3,RENT,debt_consolidation,3100.0,60,Source Verified,0,25.7,15.92,Current
8,LN100353,0,65800.0,3.2,RENT,credit_card,6600.0,36,Verified,0,1.7,14.55,Fully Paid
9,LN100201,781,58300.0,6.5,MORTGAGE,credit_card,8100.0,60,Verified,1,19.7,14.3,Current
10,LN103545,648,36700.0,9.7,OWN,other,18300.0,60,Not Verified,1,21.5,19.42,Current
11,LN100798,757,31900.0,18.5,RENT,credit_card,19800.0,60,Verified,0,13.1,12.36,Fully Paid
12,LN103893,621,50400.0,7.3,RENT,debt_consolidation,18000.0,36,Not Verified,0,12.3,15.81,Current
13,LN101905,615,-1.0,13.6,MORTGAGE,other,10900.0,60,Not Verified,1,0.0,17.36,Charged Off
14,LN104661,667,39400.0,7.3,RENT,debt_consolidation,7400.0,60,Source Verified,3,5.9,16.45,Fully Paid
15,LN100167,715,72300.0,5.1,MORTGAGE,other,17700.0,60,Verified,1,3.8,15.11,Fully Paid
16,LN100840,814,44100.0,6.1,RENT,credit_card,6100.0,60,Source Verified,0,11.2,11.96,Fully Paid
17,LN101683,770,37500.0,14.5,MORTGAGE,credit_card,5700.0,36,Verified,0,6.4,11.96,Fully Paid
18,LN104729,669,57500.0,6.0,RENT,debt_consolidation,7100.0,36,Verified,1,16.0,15.69,Fully Paid
19,LN100250,666,52100.0,3.5,RENT,debt_consolidation,13600.0,60,Source Verified,0,3.8,13.07,Charged Off
20,LN102266,730,75900.0,7.9,OTHER,credit_card,4100.0,36,Not Verified,0,2.4,11.28,Fully Paid
21,LN101652,725,26300.0,5.5,RENT,debt_consolidation,6300.0,60,Source Verified,1,19.1,15.72,Fully Paid
22,LN101491,689,72000.0,7.0,MORTGAGE,credit_card,20400.0,36,Verified,0,11.0,13.64,Current
23,LN100383,609,73000.0,7.2,RENT,credit_card,15900.0,60,Not Verified,0,1.8,15.38,Charged Off
24,LN104471,641,215200.0,8.5,OWN,home_improvement,20700.0,36,Verified,0,0.9,12.45,Current
25,LN102935,512,66900.0,5.2,MORTGAGE,debt_consolidation,6300.0,36,Source Verified,0,2.3,15.5,Fully Paid
26,LN104453,716,81000.0,9.0,RENT,debt_consolidation,12800.0,36,Not Verified,0,7.0,13.1,Fully Paid
27,LN103439,815,63400.0,7.8,MORTGAGE,debt_consolidation,10000.0,60,Verified,0,11.1,8.9,Current
28,LN102404,634,42500.0,2.4,OWN,major_purchase,18900.0,60,Source Verified,0,5.1,13.75,Charged Off
29,LN101370,592,66600.0,5.0,MORTGAGE,small_business,14600.0,36,Not Verified,0,9.1,17.05,Charged Off
30,LN104344,654,52700.0,1.5,OWN,debt_consolidation,9100.0,60,Source Verified,0,3.1,13.21,Fully Paid
31,LN102256,712,52200.0,3.4,MORTGAGE,home_improvement,9100.0,36,Source Verified,0,6.8,10.43,Current
32,LN102146,629,82600.0,1.1,MORTGAGE,other,24100.0,36,Source Verified,0,1.8,13.53,Fully Paid
33,LN103324,749,29500.0,5.7,OWN,debt_consolidation,6300.0,36,Verified,0,18.4,10.23,Charged Off
34,LN103440,819,58400.0,16.5,MORTGAGE,debt_consolidation,9100.0,60,Not Verified,0,10.4,11.22,Current
35,LN101362,577,44500.0,99.0,MORTGAGE,major_purchase,18400.0,36,Not Verified,0,3.1,16.1,Charged Off
36,LN104227,817,33300.0,8.3,MORTGAGE,debt_consolidation,21200.0,36,Source Verified,1,12.9,10.96,Fully Paid
37,LN103268,670,49800.0,12.1,MORTGAGE,medical,10200.0,36,Source Verified,1,6.8,13.28,Current
38,LN102311,708,87900.0,25.8,OWN,medical,16900.0,36,Not Verified,0,6.2,11.09,Charged Off
39,LN105052,761,97700.0,5.3,RENT,debt_consolidation,5500.0,60,Verified,0,6.6,10.99,Fully Paid
40,LN100361,715,48600.0,6.2,RENT,debt_consolidation,16600.0,60,Source Verified,0,2.2,16.46,Fully Paid
41,LN101302,730,-1.0,4.6,OWN,credit_card,20300.0,36,Verified,2,0.0,11.95,Charged Off
42,LN101499,613,30300.0,6.6,OWN,major_purchase,16300.0,60,Source Verified,1,17.0,16.9,Fully Paid
43,LN101246,663,80600.0,10.3,RENT,debt_consolidation,5300.0,36,Source Verified,0,2.3,11.5,Current
44,LN101083,694,-1.0,2.2,MORTGAGE,other,12000.0,36,Verified,0,0.0,11.42,Charged Off
45,LN102456,755,67000.0,6.3,RENT,credit_card,20400.0,36,Source Verified,0,8.3,12.68,Fully Paid
46,LN102088,649,68600.0,6.2,MORTGAGE,major_purchase,15000.0,36,Source Verified,0,9.3,11.71,Fully Paid
47,LN104943,641,32500.0,3.1,OWN,debt_consolidation,17000.0,60,Source Verified,0,22.8,15.75,Charged Off
48,LN102307,691,81300.0,7.1,RENT,debt_consolidation,6900.0,36,Verified,2,3.4,12.07,Fully Paid
49,LN102704,0,107400.0,3.8,MORTGAGE,other,16100.0,36,Not Verified,1,12.4,14.77,Fully Paid
50,LN102652,774,56600.0,3.4,OWN,major_purchase,8900.0,36,Source Verified,0,9.6,10.26,Current
51,LN100767,654,85000.0,4.3,RENT,home_improvement,10500.0,60,Source Verified,1,8.0,15.61,Current
52,LN102184,577,30200.0,13.8,RENT,debt_consolidation,9800.0,60,Not Verified,0,1.8,18.12,Current
53,LN104025,627,60700.0,2.7,OWN,home_improvement,2400.0,36,Not Verified,0,6.1,11.26,Current
