"year","hospital","los"
"2010","Hospital A",4.93144590681765
"2010","Hospital B",4.48186185865776
"2011","Hospital A",4.59170569187892
"2011","Hospital B",4.35037138268054
"2012","Hospital A",4.73312306183472
"2012","Hospital B",4.17780847647502
"2013","Hospital A",4.42225695879902
"2013","Hospital B",4.10864794250187
"2014","Hospital A",4.46462265444065
"2014","Hospital B",4.0263837233234
"2015","Hospital A",3.70574973419101
"2015","Hospital B",2.47248529667241
"2016","Hospital A",3.62275554170346
"2016","Hospital B",2.49066762152284
"2017","Hospital A",3.47214708654523
"2017","Hospital B",2.29831229252393
"2018","Hospital A",3.39344436312542
"2018","Hospital B",2.12584424497481
"2019","Hospital A",3.16296693971998
"2019","Hospital B",2.20937786511727
