,,Physics Calculator Spreadsheet — Extended Edition
,,Built with native spreadsheet formulas — no macros required
,,Last Updated,2026-07-27
,,,,,,,,,
,,,SECTION 1: CONSTANTS & NAMED RANGES,,,,,,,
Name,Symbol,Value,Unit,Description,,,,,
Speed of Light,c,3E+08,m/s,Einstein's E=mc² constant,,,,,
Gravity,g,9.81,m/s²,Earth gravitational acceleration,,,,,
HP_Conversion,hp,746,W,1 horsepower in Watts,,,,,
Absolute Zero,K,0,K,Baseline for temperature conversions,,,,,
Freezing Point H₂O,F_freeze,32,°F,Water freezing point,,,,,
Boiling Point H₂O,F_boil,212,°F,Water boiling point,,,,,
,,,,,,,,,
,,,SECTION 2: INPUT VARIABLES,,,,,,,
Object,Mass (kg),Velocity (m/s),Height (m),Distance (m),Acceleration (m/s²),Spring Constant (N/m),Displacement (m),
Train,22680,0,50,100,10,,,,
Car,1500,30,0,0,0,,,,
Ball,0.5,15,10,0,0,,,,
Bullet,0.01,800,0,0,0,,,,
Rocket,5000,8000,0,0,0,,,,
Truck,10000,30,0,0,0,,,,
Bomb,1,0,0,0,0,,,,
Person,70,0,3,0,0,,,,
Bow String,0,0,0,0,0,300,0.5,,
Spring,0,0,0,0,0,500,0.2,,
,,,,,,,,,
,,,SECTION 3: TEMPERATURE CONVERSIONS,,,,,,,
Description,Fahrenheit (°F),Celsius (°C),Kelvin (K),Formula Used,,,,,
Water Freezes,32,=(B17-32)*5/9,=C17+273.15,(F-32)×5/9,,,,,
Water Boils,212,=(B18-32)*5/9,=C18+273.15,(F-32)×5/9,,,,,
Body Temperature,98.6,=(B19-32)*5/9,=C19+273.15,(F-32)×5/9,,,,,
Room Temperature,72,=(B20-32)*5/9,=C20+273.15,(F-32)×5/9,,,,,
Absolute Zero,-459.67,=(B21-32)*5/9,=C21+273.15,(F-32)×5/9,,,,,
Project Test 1,100,=(B22-32)*5/9,=C22+273.15,(F-32)×5/9,,,,,
Project Test 2,=C23*9/5+32,0,=C23+273.15,C×9/5+32,,,,,
,,,,,,,,,
,,,SECTION 4: FORCE ENERGY & WORK CALCULATIONS,,,,,,,
Object,Mass (kg),Acceleration (m/s²),Distance (m),Force (N),Energy E=mc² (J),Work (J),Power@10s (W),
Train,22680,10,100,=B26*C26,=B26*(B11)^2,=E26*D26,=F26/10,
Bomb,1,0,0,=B27*C27,=B27*(B11)^2,=E27*D27,=F27/10,
Car,1500,5,200,=B28*C28,=B28*(B11)^2,=E28*D28,=F28/10,
Rocket,5000,80,1000,=B29*C29,=B29*(B11)^2,=E29*D29,=F29/10,
Person,70,2,5,=B30*C30,=B30*(B11)^2,=E30*D30,=F30/10,
,,,,,,,,,
,,,SECTION 5: KINETIC & POTENTIAL ENERGY,,,,,,,
Object,Mass (kg),Velocity (m/s),Height (m),Kinetic Energy (J),Potential Energy (J),Total Energy (J),,
Car,1500,30,0,=0.5*B33*C33,=B33*$B$12*D33,=E33+F33,,
Ball,0.5,15,10,=0.5*B34*C34,=B34*$B$12*D34,=E34+F34,,
Rocket,5000,8000,0,=0.5*B35*C35,=B35*$B$12*D35,=E35+F35,,
Bullet,0.01,800,0,=0.5*B36*C36,=B36*$B$12*D36,=E36+F36,,
Truck,10000,30,0,=0.5*B37*C37,=B37*$B$12*D37,=E37+F37,,
Person,70,0,3,=0.5*B38*C38,=B38*$B$12*D38,=E38+F38,,
Bomb,1,0,0,=0.5*B39*C39,=B39*$B$12*D39,=E39+F39,,
Train,22680,0,50,=0.5*B40*C40,=B40*$B$12*D40,=E40+F40,,
,,,,,,,,,
,,,SECTION 6: MOMENTUM CALCULATIONS,,,,,,,
Object,Mass (kg),Velocity (m/s),Momentum (kg·m/s),Momentum Rank,,,,,
Car,1500,30,=B43*C43,=RANK(D43,$D$43:$D$49),,,,
Bullet,0.01,800,=B44*C44,=RANK(D44,$D$43:$D$49),,,,
Rocket,5000,8000,=B45*C45,=RANK(D45,$D$43:$D$49),,,,
Truck,10000,30,=B46*C46,=RANK(D46,$D$43:$D$49),,,,
Ball,0.5,15,=B47*C47,=RANK(D47,$D$43:$D$49),,,,
Person,70,0,=B48*C48,=RANK(D48,$D$43:$D$49),,,,
Train,22680,0,=B49*C49,=RANK(D49,$D$43:$D$49),,,,
,,,,,,,,,
,,,SECTION 7: ELASTIC POTENTIAL ENERGY,,,,,,,
Object,Spring Constant (N/m),Displacement (m),Elastic PE (J),,,,,,
Bow String,300,0.5,=0.5*B52*C52,,,,,,
Spring,500,0.2,=0.5*B53*C53,,,,,,
Trampoline,250,0.15,=0.5*B54*C54,,,,,,
Rubber Band,50,0.05,=0.5*B55*C55,,,,,,
,,,,,,,,,
,,,SECTION 8: POWER CALCULATIONS,,,,,,,
Object,Work Done (J),Time (s),Power (W),Power (kW),Power (HP),,,
Train,22680000,10,=B58/C58,=D58/1000,=D58/$B$13,,,,
Car,450000,5,=B59/C59,=D59/1000,=D59/$B$13,,,,
Rocket,3.2E+11,120,=B60/C60,=D60/1000,=D60/$B$13,,,,
Person,420,2,=B61/C61,=D61/1000,=D61/$B$13,,,,
,,,,,,,,,
,,,SECTION 9: FORMULA REFERENCE TABLE,,,,,,,
Concept,Formula,Spreadsheet Implementation,Variables,Notes,,,,,
Fahrenheit → Celsius,"(F-32)×5/9","=(B-32)*5/9",F = temp in °F,Cell B = Fahrenheit value,,,,,
Celsius → Fahrenheit,"C×9/5+32","=C*9/5+32",C = temp in °C,Cell C = Celsius value,,,,,
Celsius → Kelvin,"C+273.15","=C+273.15",C = temp in °C,Cell C = Celsius value,,,,,
Force,"m×a","=B*C",m=mass a=acceleration,Newton's 2nd Law,,,,,
Energy (E=mc²),"m×c²","=B*(B11)^2",m=mass c=speed of light,Einstein equation,,,,,
Work,"F×d","=E*D",F=force d=distance,Joules,,,,,
Kinetic Energy,"½mv²","=0.5*B*C^2",m=mass v=velocity,Joules,,,,,
Potential Energy,"mgh","=B*9.81*D",m=mass g=gravity h=height,Joules,,,,,
Momentum,"mv","=B*C",m=mass v=velocity,kg·m/s,,,,,
Elastic PE,"½kx²","=0.5*B*C^2",k=spring const x=displacement,Joules,,,,,
Power,"W/t","=B/C",W=work t=time,Watts,,,,,
,,,,,,,,,
,,,SECTION 10: UNIT CONVERSION TABLE,,,,,,,
From Unit,To Unit,Multiply By,Example,Example Result,,,,,
Newtons,Kilonewtons,0.001,226800,=D74*C74,,,,,
Joules,Kilojoules,0.001,22680000,=D75*C75,,,,,
Joules,Megajoules,0.000001,22680000,=D76*C76,,,,,
Watts,Kilowatts,0.001,2268000,=D77*C77,,,,,
Watts,Horsepower,0.001341,2268000,=D78*C78,,,,,
Joules,Watt-hours,0.0002778,90000000000000000,=D79*C79,,,,,
Kilograms,Tonnes,0.001,22680,=D80*C80,,,,,
m/s,km/h,3.6,30,=D81*C81,,,,,
,,,,,,,,,
,,,SECTION 11: FLAGS & DATA VALIDATION,,,,,,,
Object,Mass Check,Velocity Check,Height Check,Status,,,,,
Car,=IF(B33>0,"OK","CHECK"),=IF(C33>=0,"OK","NEGATIVE"),=IF(D33>=0,"OK","NEGATIVE"),=IF(AND(B33>0,C33>=0,D33>=0),"VALID","INVALID"),,,,
Ball,=IF(B34>0,"OK","CHECK"),=IF(C34>=0,"OK","NEGATIVE"),=IF(D34>=0,"OK","NEGATIVE"),=IF(AND(B34>0,C34>=0,D34>=0),"VALID","INVALID"),,,,
Rocket,=IF(B35>0,"OK","CHECK"),=IF(C35>=0,"OK","NEGATIVE"),=IF(D35>=0,"OK","NEGATIVE"),=IF(AND(B35>0,C35>=0,D35>=0),"VALID","INVALID"),,,,
Bullet,=IF(B36>0,"OK","CHECK"),=IF(C36>=0,"OK","NEGATIVE"),=IF(D36>=0,"OK","NEGATIVE"),=IF(AND(B36>0,C36>=0,D36>=0),"VALID","INVALID"),,,,
Truck,=IF(B37>0,"OK","CHECK"),=IF(C37>=0,"OK","NEGATIVE"),=IF(D37>=0,"OK","NEGATIVE"),=IF(AND(B37>0,C37>=0,D37>=0),"VALID","INVALID"),,,,
Person,=IF(B38>0,"OK","CHECK"),=IF(C38>=0,"OK","NEGATIVE"),=IF(D38>=0,"OK","NEGATIVE"),=IF(AND(B38>0,C38>=0,D38>=0),"VALID","INVALID"),,,,
Bomb,=IF(B39>0,"OK","CHECK"),=IF(C39>=0,"OK","NEGATIVE"),=IF(D39>=0,"OK","NEGATIVE"),=IF(AND(B39>0,C39>=0,D39>=0),"VALID","INVALID"),,,,
Train,=IF(B40>0,"OK","CHECK"),=IF(C40>=0,"OK","NEGATIVE"),=IF(D40>=0,"OK","NEGATIVE"),=IF(AND(B40>0,C40>=0,D40>=0),"VALID","INVALID"),,,,
,,,,,,,,,
,,,SECTION 12: STATISTICAL SUMMARY,,,,,,,
Statistic,Momentum (kg·m/s),Kinetic Energy (J),Force (N),,,,,,
Maximum,=MAX(D43:D49),=MAX(E33:E40),=MAX(E26:E30),,,,,,
Minimum,=MIN(D43:D49),=MIN(E33:E40),=MIN(E26:E30),,,,,,
Average,=AVERAGE(D43:D49),=AVERAGE(E33:E40),=AVERAGE(E26:E30),,,,,,
Sum,=SUM(D43:D49),=SUM(E33:E40),=SUM(E26:E30),,,,,,
Std Dev,=STDEV(D43:D49),=STDEV(E33:E40),=STDEV(E26:E30),,,,,,
Count,=COUNT(D43:D49),=COUNT(E33:E40),=COUNT(E26:E30),,,,,,
Median,=MEDIAN(D43:D49),=MEDIAN(E33:E40),=MEDIAN(E26:E30),,,,,,
Range,=MAX(D43:D49)-MIN(D43:D49),=MAX(E33:E40)-MIN(E33:E40),=MAX(E26:E30)-MIN(E26:E30),,,,,,
