step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
8,CASH_OUT,158007.12,C424875646,0,0,C1298177219,474016.32,1618631.97,0
236,CASH_OUT,457948.3,C1342616552,0,0,C1323169990,2720411.37,3178359.67,0
37,CASH_IN,153602.99,C900876541,11160428.67,11314031.67,C608741097,3274930.56,3121327.56,0
331,CASH_OUT,49555.14,C177696810,10865,0,C462716348,0,49555.14,0
250,CASH_OUT,29648.02,C788941490,0,0,C1971700992,56933.09,86581.1,0
182,PAYMENT,15712.66,C365217190,13981,0,M1108542644,0,0,0
355,PAYMENT,357.15,C1752574405,283349.71,282992.56,M807801422,0,0,0
302,PAYMENT,19477.23,C1681583142,0,0,M911688965,0,0,0
35,PAYMENT,56554.2,C643126692,503065.44,446511.24,M1453972991,0,0,0
156,CASH_OUT,180660.51,C106721885,10044,0,C1944402764,32319.16,212979.67,0
378,CASH_OUT,48180.67,C282346668,9713,0,C1427011295,0,48180.67,0
139,PAYMENT,13409.19,C716300579,322562.56,309153.38,M840764629,0,0,0
180,CASH_IN,172163.65,C62662075,126185,298348.65,C898955098,4697103.49,4524939.85,0
184,CASH_OUT,168548.97,C544668006,0,0,C1304603635,1103863.99,1272412.96,0
48,TRANSFER,72641.28,C1119777637,0,0,C1186553459,581740.44,654381.72,0
403,CASH_IN,103104.65,C1553566264,1105122.03,1208226.68,C1257936364,684880.98,581776.32,0
254,PAYMENT,14951.06,C1868098713,0,0,M1863406211,0,0,0
279,CASH_OUT,126142.8,C996185306,10229,0,C1706644268,0,126142.8,0
16,CASH_IN,474070.38,C1940404557,120,474190.38,C604023654,9035,0,0
644,PAYMENT,2610.16,C948422254,9812,7201.84,M464116307,0,0,0
141,PAYMENT,1846.31,C2073245575,121549,119702.69,M393842539,0,0,0
179,CASH_IN,399721,C108988841,5657749.28,6057470.28,C1608590055,1073650.18,673929.18,0
154,PAYMENT,10953.34,C1097705287,10205,0,M1173299735,0,0,0
258,CASH_OUT,93238.84,C1216915679,99982,6743.16,C2060851493,0,93238.84,0
155,CASH_OUT,142343.42,C1943099270,0,0,C1101896305,613344.46,755687.88,0
43,CASH_IN,529884.94,C32453926,12320061.78,12849946.72,C384735803,1685456.45,1155571.51,0
277,CASH_OUT,23182.96,C1402208966,0,0,C957666777,7636558.15,7659741.11,0
251,PAYMENT,80340.57,C1918149527,0,0,M574085774,0,0,0
163,PAYMENT,11799.78,C1864915748,19372,7572.22,M177644022,0,0,0
45,CASH_OUT,491140.41,C1267337162,0,0,C1872618824,2706694.35,3197834.75,0
332,PAYMENT,10811.48,C590141106,1893,0,M252340761,0,0,0
187,PAYMENT,4138.1,C1254784004,0,0,M1199357353,0,0,0
19,CASH_OUT,77452.6,C477495474,0,0,C357092843,155653.53,233106.13,0
186,CASH_IN,96286.74,C1321861502,30162,126448.74,C1021024821,7261.36,0,0
37,CASH_OUT,290200.87,C875979303,30576,0,C2094962524,478848.38,769049.24,0
428,CASH_IN,211130.4,C56759299,5565822.74,5776953.15,C1637785736,1059656.71,848526.31,0
213,PAYMENT,4814.39,C820933765,0,0,M886991610,0,0,0
399,CASH_OUT,113787.37,C1459203084,0,0,C933754420,159918,273705.37,0
209,PAYMENT,18755.38,C860135387,2289,0,M336473793,0,0,0
404,PAYMENT,18476.37,C487445345,10882,0,M24274526,0,0,0
161,CASH_OUT,16250.62,C406800876,0,0,C1543279327,4880088.8,4896339.41,0
370,CASH_OUT,80075.04,C480993606,165,0,C1419786401,1634294.43,1714369.48,0
286,PAYMENT,16637.99,C3328697,124678,108040.01,M1740711174,0,0,0
204,CASH_IN,186093.9,C535607528,6952252.96,7138346.86,C118266262,2847952.54,2661858.64,0
371,PAYMENT,14603.28,C217485916,0,0,M208898011,0,0,0
253,CASH_OUT,32295.19,C1769812322,659582,627286.81,C2115080811,0,32295.19,0
189,CASH_IN,146040.06,C1212241430,51338.17,197378.23,C677229191,0,0,0
500,CASH_OUT,78422.2,C898180323,144133,65710.8,C309688312,0,78422.2,0
8,CASH_OUT,48231.01,C588615825,0,0,C1933965693,988754.77,2074668.33,0
44,PAYMENT,9055.95,C1677317064,11607,2551.05,M113964134,0,0,0
332,PAYMENT,25226.24,C35250321,338283.11,313056.87,M2184246,0,0,0
153,PAYMENT,5503.74,C641512846,8215,2711.26,M171347982,0,0,0
403,PAYMENT,4101.32,C1460728991,17445,13343.68,M1342100362,0,0,0
254,CASH_IN,34951.52,C942480691,470993.56,505945.08,C506523217,1294181.68,1259230.17,0
283,PAYMENT,8382.44,C1130924723,0,0,M368531075,0,0,0
228,CASH_OUT,63871.46,C1668110858,0,0,C1921721079,549367.97,613239.44,0
201,PAYMENT,716.77,C343807239,0,0,M1847804467,0,0,0
207,CASH_IN,71316.24,C160362550,7493247.79,7564564.03,C540846849,6962513.02,6891196.78,0
155,PAYMENT,12448.86,C1765215617,20301,7852.14,M1653327139,0,0,0
273,PAYMENT,15275.83,C133657511,5072,0,M1366872421,0,0,0
403,CASH_OUT,163209.21,C81110309,29976,0,C1862570215,0,163209.21,0
347,CASH_OUT,148167.47,C198908015,0,0,C1751983952,320926.44,469093.91,0
235,CASH_OUT,186085.3,C1626359556,774,0,C1906407401,9552.2,195637.51,0
322,PAYMENT,62382.45,C116999586,369168.69,306786.25,M636629806,0,0,0
258,CASH_IN,43343.5,C276101674,59861,103204.5,C1838556043,57664.44,14320.94,0
178,PAYMENT,11187.86,C402149154,14523,3335.14,M756685257,0,0,0
160,PAYMENT,3372.6,C1205351599,469896,466523.4,M840571472,0,0,0
256,CASH_IN,338869.58,C902519569,607,339476.58,C434300339,4516998.95,4178129.37,0
