country,inflation,investment_gdp,schooling,high_growth
Korea,2.4,32.0,14.2,1
Ireland,1.8,24.5,13.8,1
China,2.1,42.0,8.1,1
India,5.4,31.0,6.5,1
Vietnam,3.6,27.0,8.4,1
Singapore,1.5,26.0,11.6,1
Poland,3.2,20.5,12.3,1
Chile,4.0,23.0,10.4,1
Bangladesh,6.1,30.5,6.2,1
Ethiopia,8.5,29.0,3.2,1
USA,2.8,21.0,13.4,1
Germany,1.9,21.5,14.1,0
Japan,0.4,24.0,12.8,0
Italy,1.2,18.0,10.7,0
Greece,1.6,12.5,10.9,0
Argentina,42.0,16.0,10.6,0
Brazil,6.8,18.5,8.0,0
South Africa,5.5,16.0,10.3,0
Russia,7.4,22.0,12.0,0
Turkey,18.0,28.0,8.5,0
Nigeria,16.5,15.0,6.0,0
Venezuela,80.0,8.0,10.1,0
Lebanon,25.0,11.0,8.8,0
Pakistan,12.0,14.5,5.1,0
Mexico,4.8,22.0,9.2,1
Indonesia,3.3,32.0,8.0,1
Thailand,1.2,24.0,8.7,1
Malaysia,2.0,25.5,10.4,1
Philippines,4.1,20.0,9.3,1
Colombia,5.2,21.0,8.5,0
Peru,3.0,22.5,9.6,1
Egypt,10.5,15.0,7.4,0
Kenya,6.4,18.0,6.6,1
Ghana,15.0,19.0,7.2,0
Morocco,2.5,30.0,5.6,1
Portugal,2.1,18.0,9.3,0
Spain,2.4,20.0,10.3,0
France,2.0,22.5,11.5,0
UK,2.6,17.5,13.2,0
Canada,2.3,23.0,13.6,1
