sqft,year_built,baths,price_k
1204,2007,2.0,478.5
1428,1995,1.5,482.8
1282,1981,1.0,373.3
1610,1997,3.0,565.5
912,2020,2.0,424.4
1034,1982,2.0,435.4
2544,1965,2.0,711.8
1109,1982,1.0,374.0
1189,2011,1.5,464.4
2422,1969,2.5,682.2
2870,2018,2.5,862.1
1158,1994,3.5,445.6
1495,1995,2.5,519.7
1793,1976,2.0,520.5
2376,2016,2.5,720.5
1236,1957,3.0,426.7
1547,1975,2.5,510.3
1976,1983,3.5,586.2
1833,1986,2.5,578.5
1492,1986,3.0,548.9
1594,1964,1.0,477.5
1073,1970,2.5,414.7
1550,1961,2.0,461.9
1538,1993,2.0,492.1
1748,1978,2.5,518.5
1417,1992,3.5,538.9
1848,1994,3.5,638.4
2075,2002,1.5,672.2
1715,1991,2.5,596.0
1798,1998,2.5,592.2
1672,1994,2.0,512.3
1650,1998,1.5,526.5
1347,1996,1.0,457.2
1783,1976,2.5,547.4
1609,1971,2.0,475.6
2529,2007,3.5,808.1
2311,1977,2.0,642.9
1812,1991,3.5,596.9
1330,1968,2.0,433.6
1183,1983,2.5,422.4
2150,1990,1.0,623.9
1760,1996,2.0,577.7
1852,1990,2.5,561.5
917,1979,3.0,368.5
2040,2019,3.0,741.2
1841,1989,1.0,514.7
1184,2009,2.0,407.3
1452,2004,1.0,436.5
1761,1992,1.0,535.8
1672,2014,2.5,597.9
1527,1963,2.5,470.1
1607,2016,2.5,620.2
1544,2011,3.0,502.7
1714,1988,2.5,570.6
2268,2004,2.5,753.9
650,1989,1.0,253.6
1551,1973,1.5,457.9
1724,2008,2.5,576.6
1774,1971,3.0,531.1
1494,1976,1.0,438.3
912,1989,2.0,410.8
1788,2011,2.5,668.6
2375,1980,1.0,639.2
1006,1988,2.0,443.0
2013,1957,3.0,584.4
1512,1962,2.5,517.3
1624,1958,1.5,455.1
1208,1959,3.0,413.6
1510,2013,2.0,555.7
2196,2011,3.0,809.9
1895,2010,1.5,634.7
2378,1958,2.0,617.7
2145,1960,2.0,616.9
1834,1973,1.5,520.8
2382,1992,3.0,714.0
1834,1977,1.5,563.6
1998,1987,1.0,579.0
1525,1966,2.0,472.2
1678,2003,2.5,578.9
1357,1976,2.5,468.8
2066,1959,3.5,624.5
1155,2004,1.5,383.1
1979,2015,2.0,671.0
1570,1955,1.5,412.9
2142,1984,2.0,592.0
1965,2010,3.5,680.7
2415,2002,2.5,741.2
1957,2012,2.0,622.7
990,1982,2.0,398.6
1622,1979,3.0,499.4
1158,2002,2.0,436.9
1432,1965,1.5,411.7
2285,1971,2.0,639.1
1918,1995,1.0,582.7
1356,1999,1.5,444.4
1224,1963,1.0,385.0
1664,1989,2.0,538.0
1139,1979,2.5,363.8
1368,1988,2.0,414.5
1781,2019,2.0,615.7
2135,1960,3.5,623.6
1906,2021,2.5,658.2
688,1985,2.0,313.5
1778,2006,1.5,584.2
1680,1983,3.0,583.6
1824,1975,1.5,501.1
2329,2006,2.0,680.3
783,2001,3.0,361.5
1402,1964,2.0,441.7
1898,2002,2.5,660.1
986,2005,2.0,403.8
2270,1980,2.5,597.3
1805,2017,1.5,555.9
2006,1997,1.5,588.5
1410,1977,2.0,443.2
1992,1955,1.5,521.8
2099,2000,3.0,680.8
1748,1969,1.5,496.0
1748,2005,2.0,613.0
1764,1990,2.5,555.1
1287,1986,2.5,437.9
1588,1965,2.0,489.8
1586,2002,2.0,499.5
1811,1966,3.5,580.1
2070,1982,2.5,629.9
1205,2011,2.5,484.9
1597,2016,3.0,642.7
2272,2021,2.5,724.3
1338,2019,1.5,562.2
1305,1992,2.0,456.3
1735,1968,1.0,450.3
2005,2011,2.5,666.8
1655,2008,3.5,580.3
2208,2021,2.0,692.5
2010,1998,2.0,639.7
2004,1964,1.0,553.5
1883,1988,3.5,607.2
2628,1985,1.0,740.7
1564,2011,1.0,558.3
809,1981,1.5,359.9
2324,1977,1.0,646.7
1458,1960,2.0,476.9
1695,2010,2.0,528.3
2200,2005,2.0,674.1
977,1957,1.0,275.3
1124,1984,1.0,383.9
977,1987,2.0,365.6
1316,1986,1.0,421.8
1835,2016,2.5,689.1
1870,1965,1.5,519.7
1766,1975,2.0,545.1
1057,1967,2.0,356.6
680,1971,2.0,289.5
1673,2015,1.0,557.2
1452,2018,1.0,526.4
1843,1957,3.0,578.7
1945,1997,1.0,630.6
1708,1970,2.0,520.4
1969,1967,2.0,580.3
1746,1974,2.0,495.2
1873,1968,2.0,541.9
1354,1987,2.5,504.8
1575,2021,3.0,626.5
1733,1994,1.5,552.3
1995,2003,2.0,659.0
1485,1988,1.5,494.8
1869,1955,2.0,553.8
1538,1960,2.5,478.5
1601,1973,1.5,469.6
1998,1971,2.0,586.9
813,2011,3.0,334.6
1105,2011,1.0,435.7
1027,2012,2.0,335.5
670,1997,2.5,297.7
1365,1992,1.5,474.6
1965,1998,1.0,604.0
1530,1982,1.5,447.7
1733,1999,3.0,577.5
2107,2008,1.0,678.4
2208,2006,1.5,658.9
1621,1996,1.0,574.2
2219,1958,1.0,574.4
1689,2003,2.5,592.3
1298,1979,1.5,469.1
1400,2004,2.0,508.9
1028,1991,2.0,371.9
1277,2014,3.0,521.1
1500,1977,1.0,449.5
1988,2017,3.0,647.6
2373,2011,2.0,724.6
1069,1977,1.5,349.1
1815,1987,2.5,605.8
1213,1990,3.0,467.8
1849,2006,1.5,585.7
1595,2001,3.0,567.7
881,2012,2.0,411.7
2040,1979,2.0,618.2
1396,1988,3.5,489.5
1426,1983,2.0,443.9
1201,2015,2.5,526.1
1375,1975,2.0,436.0
1830,1994,2.5,556.1
1571,1963,2.0,481.3
1788,2011,1.5,602.1
1802,1980,2.0,507.6
2205,1977,2.0,640.1
1506,1994,1.0,503.1
1030,1988,1.0,377.4
2098,2011,2.0,689.1
1511,1990,1.0,437.1
2118,1989,1.5,631.5
1811,1962,2.5,525.6
1595,1956,2.5,462.2
1796,1981,2.5,589.4
2469,2021,2.0,812.5
2522,2016,3.0,852.0
1679,1997,2.0,590.8
1717,1997,1.5,545.3
2102,1981,1.5,614.1
1295,1966,2.5,449.1
