title,duration,year,budget,rating
Star Wars,125,1977,11000000,8.6
Raiders of the Lost Ark,115,1981,18000000,8.4
Mean Girls,97,2004,17000000,7.1
The Shining,146,1980,19000000,8.4
The Godfather,175,1972,6000000,9.2
Pulp Fiction,154,1994,8000000,8.9
The Dark Knight,152,2008,185000000,9.0
Inception,148,2010,160000000,8.8
Titanic,194,1997,200000000,7.9
Avatar,94,2003,13439968,6.9
Jurassic Park,135,1972,22495398,6.5
Forrest Gump,177,2001,21664473,5.7
The Matrix,155,2004,27561312,6.1
Gladiator,157,1969,11895443,6.3
Saving Private Ryan,153,2009,8321656,6.3
Schindler's List,159,1961,12143565,5.3
Casablanca,134,1957,2500000,5.4
Citizen Kane,98,1992,2698418,6.5
Psycho,164,1988,3094171,6.7
Jaws,128,1949,4426096,6.4
E.T.,133,2003,20578382,6.8
Back to the Future,120,1954,4896215,6.5
The Lion King,103,2001,8745249,7.5
Toy Story,173,1939,55348002,5.2
Finding Nemo,159,2001,8958467,6.1
Up,146,2000,29837219,7.2
WALL-E,123,1999,4746986,7.0
Spirited Away,163,1990,10575163,7.0
Life of Pi,127,2012,120000000,7.9
Gravity,127,1994,9129885,6.2
Interstellar,128,1960,33409103,5.7
Whiplash,107,1999,2500000,7.5
La La Land,94,1982,21377852,7.4
Get Out,138,1974,17218745,6.5
Parasite,169,1978,6895882,5.5
Joker,91,1983,2701550,7.0
1917,166,1941,14351176,4.9
Soul,163,1949,7404200,5.2
Dune,112,1958,17123183,6.9
No Time to Die,145,1947,13579032,6.0
Black Panther,101,1973,77203610,6.2
Mad Max: Fury Road,157,1991,10187875,6.2
The Social Network,151,1990,4300117,6.5
Her,119,1975,16146328,7.5
Moonlight,92,2005,16886016,6.7
Manchester by the Sea,177,1983,59121567,5.7
The Grand Budapest Hotel,127,1945,33218662,5.2
Blade Runner 2049,169,1998,19629776,6.0
Arrival,149,1983,66295540,5.8
The Revenant,159,1988,3585328,5.4
Birdman,157,1983,6558505,5.7
12 Years a Slave,104,1982,4783899,6.4
Argo,120,1946,8633920,6.9
The Artist,129,1982,2915772,5.7
Slumdog Millionaire,132,2001,26659765,6.9
No Country for Old Men,90,1962,10381698,5.9
There Will Be Blood,137,1986,2628997,6.2
The Departed,100,1941,4337736,6.6
Crash,155,1966,18715549,6.4
Million Dollar Baby,150,1973,33329026,7.0
Chicago,172,2015,119210808,5.5
A Beautiful Mind,156,1955,250000000,4.8
Gladiator II,120,1960,20912348,6.4
Amelie,176,1970,4463787,5.4
Oldboy,124,2016,2500000,6.9
City of God,116,2005,17795970,6.4
Amadeus,171,1941,5420859,5.3
Goodfellas,120,1957,8394666,6.6
Taxi Driver,93,2003,6761082,8.0
Apocalypse Now,130,1943,11354560,7.4
2001: A Space Odyssey,160,2005,42822673,5.8
The Wizard of Oz,103,1960,15756341,6.3
Gone with the Wind,129,2010,11133862,6.2
It's a Wonderful Life,98,1961,4242999,5.9
Rear Window,150,1972,2500000,6.2
Vertigo,130,1990,7764412,7.4
North by Northwest,117,1948,12495001,6.0
The Silence of the Lambs,107,1982,92685528,6.0
Se7en,139,1978,15299060,5.4
Fight Club,148,2000,39075783,6.5
