mileage_k,age,engine_l,price_k
58.0,9,3.5,23.95
75.8,8,3.5,21.53
90.2,11,1.6,12.61
111.8,14,2.5,10.29
42.6,5,1.4,22.43
69.0,7,3.0,21.85
27.7,3,3.5,33.21
77.1,10,1.4,11.49
74.2,7,2.5,22.94
70.0,6,3.5,23.92
99.4,11,3.5,18.33
71.2,7,2.0,17.62
74.4,7,1.4,21.31
73.1,7,3.5,26.28
41.4,4,3.5,31.19
24.2,2,2.5,26.71
116.7,13,3.5,15.95
4.0,2,1.4,30.01
50.9,5,2.5,21.39
77.2,11,1.4,14.29
7.5,2,3.5,34.67
100.6,10,3.0,18.37
103.6,11,3.5,17.54
102.8,10,2.5,16.4
39.2,5,1.4,26.52
4.0,1,1.4,32.77
116.1,14,2.0,3.32
43.7,5,3.0,26.04
111.4,13,1.4,9.17
39.1,3,3.5,26.37
21.2,3,1.6,27.4
106.2,12,2.0,15.12
115.6,15,1.6,5.37
115.9,13,2.0,11.34
102.0,12,2.0,10.71
25.0,4,1.4,23.96
116.2,14,2.5,14.08
91.3,11,3.0,15.8
22.3,3,3.5,32.67
38.3,2,1.6,22.57
117.8,14,3.5,17.18
39.6,5,3.5,29.61
76.8,12,3.5,18.07
14.8,3,2.0,29.96
39.3,5,3.5,25.2
34.3,5,2.5,28.94
59.1,5,1.4,20.88
91.5,11,1.6,13.16
134.5,14,3.0,9.39
119.7,14,1.4,6.6
102.4,12,2.0,14.22
32.9,4,3.0,29.16
127.5,15,1.4,7.7
97.1,9,2.0,15.97
48.7,9,1.6,20.28
69.5,11,2.5,16.72
95.5,12,1.6,17.23
127.7,15,3.5,7.85
84.8,9,1.4,18.38
90.7,10,3.5,22.2
97.4,12,3.0,13.65
46.2,4,3.5,33.57
54.9,5,3.5,29.18
87.2,10,1.6,17.06
20.1,1,3.5,33.81
45.8,5,2.5,24.88
86.8,11,3.5,18.11
135.9,15,3.5,11.46
69.3,8,2.5,23.59
51.0,6,2.0,23.16
77.2,7,1.4,16.14
64.1,11,1.4,17.28
59.5,9,2.0,21.22
4.0,1,3.0,35.35
72.1,9,2.5,20.96
56.4,7,2.0,20.76
75.4,11,1.6,12.94
107.2,14,2.5,9.68
117.2,15,2.5,6.19
114.5,10,3.5,17.69
72.6,6,3.0,23.14
54.6,7,2.5,21.74
21.1,3,3.5,25.25
113.7,15,2.0,6.14
87.6,13,3.5,19.07
109.1,13,2.0,9.71
30.5,5,1.4,24.81
41.5,5,2.0,21.46
91.3,13,1.4,14.41
67.4,9,1.4,16.77
95.3,11,3.5,18.49
72.4,8,3.0,26.56
64.5,7,1.6,23.04
69.2,10,3.5,20.35
120.8,13,1.4,7.44
41.4,6,1.6,21.91
118.1,13,3.0,13.93
33.9,4,1.6,24.93
43.0,7,3.0,24.03
115.2,14,3.5,16.54
131.9,15,1.4,5.65
126.4,14,1.4,12.38
40.8,5,3.5,28.38
128.9,13,2.5,14.62
139.6,15,2.5,8.67
124.4,15,2.0,10.09
17.5,1,2.0,28.77
125.2,12,3.0,11.28
151.0,15,2.5,7.92
87.3,12,1.4,14.72
22.9,4,2.5,28.34
119.8,12,3.0,10.79
4.3,2,1.4,26.1
52.1,8,2.0,17.63
79.2,10,3.0,15.08
64.5,7,2.5,22.1
92.3,11,1.4,15.54
26.2,4,1.4,25.3
76.9,10,2.5,12.99
76.5,10,2.0,16.38
74.4,10,3.5,20.21
69.9,5,2.5,27.92
46.1,5,3.5,24.53
44.6,4,1.6,23.39
53.6,7,2.0,25.34
74.3,9,1.4,17.49
42.4,6,2.5,25.93
27.7,7,1.6,23.09
26.0,5,2.0,26.57
12.3,4,2.0,29.67
58.0,10,1.6,15.63
96.2,13,1.4,12.77
58.4,5,2.5,21.27
110.0,13,3.5,15.43
92.0,9,1.6,15.86
30.4,3,2.0,26.01
60.4,6,1.6,20.96
4.0,1,3.0,32.54
14.8,1,2.0,28.24
59.7,6,3.5,24.84
52.6,7,1.6,18.29
108.7,12,1.4,11.43
32.3,3,2.5,25.87
103.9,13,2.5,14.38
20.5,4,3.5,28.26
11.3,3,3.5,31.34
94.5,11,3.5,16.54
105.9,12,2.5,16.51
75.5,10,2.0,17.61
17.3,2,2.0,28.96
23.8,2,1.4,28.53
58.4,6,2.0,17.5
78.1,7,2.0,19.41
142.8,15,1.4,9.36
30.5,5,1.6,24.79
45.7,3,2.5,27.41
121.1,15,2.0,9.46
38.0,3,3.5,32.29
9.3,1,2.0,26.66
54.6,7,3.5,21.41
37.8,7,2.5,24.6
82.9,10,1.4,13.24
100.3,14,1.6,12.9
130.6,14,3.0,10.1
60.7,5,2.5,19.83
117.9,15,1.6,4.78
88.6,10,2.5,10.92
8.3,2,3.5,33.28
120.0,15,2.0,7.94
34.8,3,1.4,24.62
76.0,9,1.6,19.2
122.9,12,3.5,17.19
28.2,4,3.0,28.63
54.5,5,3.5,22.32
69.2,8,3.5,24.28
128.5,14,1.4,8.36
28.6,4,1.6,26.29
84.4,10,1.4,16.84
58.1,7,1.4,17.21
7.0,2,3.5,38.33
