title,duration,year,budget,good
Star Wars,125,1977,11000000,1
Raiders of the Lost Ark,115,1981,18000000,1
Mean Girls,97,2004,17000000,1
The Shining,146,1980,19000000,1
Gone with the Wind,238,1939,3977000,1
Bruce Almighty,101,2003,81000000,0
Call Me By Your Name,132,2017,3500000,1
Avatar,162,2009,237000000,1
The Room,99,2003,6000000,0
Inception,148,2010,160000000,1
Cats,110,2019,95000000,0
Parasite,132,2019,11400000,1
Transformers 2,150,2009,200000000,0
Moonlight,111,2016,4000000,1
Battlefield Earth,118,2000,73000000,0
The Godfather,175,1972,6000000,1
Gigli,121,2003,54000000,0
Spirited Away,125,2001,19000000,1
Movie 43,94,2013,6000000,0
Whiplash,107,2014,3300000,1
Catwoman,104,2004,100000000,0
Get Out,104,2017,4500000,1
Jack and Jill,91,2011,79000000,0
Mad Max Fury Road,120,2015,150000000,1
The Last Airbender,103,2010,150000000,0
Lady Bird,94,2017,10000000,1
Fifty Shades of Grey,125,2015,40000000,0
Her,126,2013,23000000,1
Disaster Movie,87,2008,20000000,0
Amelie,122,2001,10000000,1
Norbit,102,2007,60000000,0
Pan's Labyrinth,118,2006,19000000,1
Crossroads,93,2002,12000000,0
Oldboy,120,2003,3000000,1
Batman and Robin,125,1997,125000000,0
Before Sunrise,101,1995,2500000,1
Gigli Remastered,121,2003,54000000,0
City of God,130,2002,3300000,1
The Emoji Movie,86,2017,50000000,0
Portrait of a Lady on Fire,122,2019,4900000,1
