advertising,sales
53.69,119.12
123.99,375.91
97.3,313.03
81.04,185.92
27.03,267.53
27.03,149.21
15.09,20.0
113.67,385.67
81.34,164.56
94.38,347.58
10.51,165.28
126.33,292.38
109.56,401.26
33.91,161.55
30.18,186.84
30.38,278.68
45.12,134.19
72.02,159.58
60.7,119.17
43.53,81.66
82.65,244.19
25.02,132.79
43.64,174.8
52.7,244.69
63.64,203.39
103.79,428.22
32.36,100.02
70.74,451.59
80.27,297.88
13.67,20.0
82.12,158.38
28.8,154.46
15.94,61.64
123.76,416.29
125.81,401.03
106.62,305.7
45.16,83.19
19.92,20.0
91.48,235.31
61.7,270.13
22.89,116.56
68.41,108.56
12.2,85.82
118.94,376.04
39.57,65.78
88.83,279.58
46.03,162.32
71.45,125.04
74.7,260.89
30.55,165.57
126.29,454.1
102.57,391.12
122.62,235.58
117.17,259.07
80.94,290.18
120.47,390.87
18.8,131.71
31.91,448.85
13.52,123.0
47.69,258.13
55.42,262.41
41.1,200.18
109.11,291.42
51.52,235.9
42.27,82.11
74.21,209.1
25.19,62.99
105.87,316.92
17.1,280.34
128.4,208.7
102.21,358.98
32.24,20.0
8.67,22.0
107.49,406.65
94.24,285.77
96.94,195.59
102.09,239.54
17.03,141.2
51.73,109.84
22.14,114.85
113.3,332.79
84.04,198.92
48.37,345.58
15.75,134.06
45.94,20.0
47.67,177.41
97.01,231.13
85.78,331.2
116.24,269.05
65.61,197.55
22.59,140.53
95.02,355.88
100.82,195.06
76.48,206.58
102.06,259.88
68.24,158.49
71.77,373.09
60.16,227.83
11.1,20.0
21.16,171.98
11.83,250.56
85.64,346.15
46.35,29.05
70.05,177.46
118.72,450.43
38.41,77.8
58.07,225.79
100.18,361.3
35.91,52.79
17.39,79.29
43.35,20.0
27.67,23.48
121.42,328.16
106.59,205.74
85.28,396.21
114.32,209.95
106.05,273.02
30.76,129.55
116.89,460.58
73.8,106.14
106.51,410.46
117.32,340.04
46.8,75.9
21.43,133.92
35.81,148.23
60.11,142.25
107.8,320.82
113.01,295.42
8.85,72.21
70.31,275.57
58.92,325.07
35.1,24.28
22.62,279.0
49.19,20.0
123.03,340.84
47.43,210.96
71.29,245.68
93.77,226.18
52.36,155.83
126.56,320.82
125.42,309.72
38.72,210.95
68.66,245.44
44.71,95.11
42.75,225.48
12.5,98.0
82.37,319.13
69.33,270.3
14.28,20.0
41.99,99.47
118.81,406.48
37.23,186.81
25.68,103.7
67.71,222.64
128.25,475.64
37.53,85.42
90.0,316.0
100.92,280.15
36.99,115.83
96.84,380.34
52.87,244.98
85.14,326.26
85.29,368.46
73.36,228.86
19.02,146.46
109.91,293.89
47.14,187.75
30.76,107.36
12.97,81.33
80.09,294.82
90.66,201.64
10.02,243.41
70.48,134.2
35.63,27.66
86.71,359.55
29.27,181.94
92.29,328.4
55.18,234.12
122.28,350.78
24.78,26.92
49.61,172.95
21.84,38.14
120.81,430.96
115.04,320.84
39.47,70.48
88.52,238.4
107.7,349.74
75.73,185.21
72.62,155.29
37.51,156.35
19.36,110.19
117.46,296.43
117.85,300.48
85.24,277.08
49.36,42.78
50.6,49.4
96.57,225.18
117.45,321.35
116.22,362.8
103.14,428.42
