disposable_income,consumption
21.1,22.83
77.39,48.68
50.07,44.44
72.88,52.42
93.24,83.05
58.08,47.57
55.09,57.91
20.76,15.79
36.48,28.46
54.99,46.49
69.34,62.87
79.3,66.12
45.48,27.37
20.27,20.56
38.05,32.08
87.77,64.26
32.07,22.41
51.17,55.32
89.5,65.81
16.99,9.97
63.04,54.99
91.01,71.07
33.42,27.96
58.88,53.14
87.73,71.57
25.65,25.87
56.87,53.16
75.03,60.79
68.52,48.9
52.42,39.34
31.39,22.93
54.26,45.25
44.79,28.13
53.19,28.14
44.27,37.08
82.03,52.87
76.49,43.96
40.12,36.37
60.81,42.59
37.08,35.17
51.23,37.14
43.24,26.66
67.59,43.22
44.63,32.51
51.73,39.56
72.55,50.15
48.04,36.84
87.51,55.22
29.44,25.81
74.29,43.64
48.79,38.08
49.12,45.44
65.75,60.58
56.83,59.13
48.19,26.75
15.11,21.45
22.38,30.26
71.75,64.01
56.95,38.07
70.69,58.69
91.44,85.22
69.63,42.66
19.25,22.17
39.71,41.99
62.41,43.86
33.81,33.51
92.2,62.32
90.6,63.24
82.87,57.63
52.79,44.04
82.32,63.04
25.49,30.48
39.7,25.56
52.04,40.92
74.35,65.72
53.87,47.77
25.95,12.59
42.48,40.41
40.95,30.16
39.03,35.69
28.24,27.24
48.19,48.95
50.85,42.04
76.99,45.1
78.71,50.21
56.79,51.24
51.85,39.77
77.26,69.23
85.98,68.6
68.99,48.18
79.04,70.07
90.13,62.93
18.25,5.0
85.05,82.25
37.13,15.94
53.06,47.8
78.74,68.7
72.38,57.79
26.77,10.31
67.7,61.36
20.54,7.76
43.57,25.12
80.03,59.23
49.22,46.24
62.99,52.25
73.25,63.73
80.7,59.05
75.84,57.73
15.57,6.61
48.62,36.97
52.05,46.72
19.44,16.1
58.32,50.29
63.62,45.72
81.28,58.28
90.34,69.86
25.25,21.12
33.43,33.31
67.73,54.69
25.6,36.85
