campaign_spend,placements
40.58,40
95.32,128
74.54,106
61.87,63
19.82,87
19.82,48
10.52,2
87.29,131
62.11,56
72.27,117
6.96,52
97.14,101
84.08,136
25.17,53
22.27,61
22.42,91
33.9,44
54.85,54
46.03,40
32.67,27
63.13,82
18.25,43
32.75,57
39.8,81
48.33,68
79.59,144
23.97,32
53.85,150
61.28,100
9.41,2
62.72,54
21.2,50
11.18,19
95.14,141
96.74,136
81.8,104
33.94,27
14.28,2
70.0,80
46.81,90
16.59,37
52.04,37
8.27,26
91.39,128
29.58,21
67.94,94
34.61,53
54.41,43
56.94,87
22.56,54
97.11,154
78.64,132
94.25,82
90.01,89
61.8,97
92.58,133
13.41,42
23.62,147
9.3,39
35.91,85
41.92,87
30.78,66
83.73,99
38.89,78
31.69,27
56.56,70
18.39,20
81.21,108
12.08,91
98.75,73
78.36,121
23.88,2
5.52,5
82.47,137
72.15,97
74.26,67
78.27,82
12.03,45
39.05,36
16.01,36
86.99,113
64.21,68
36.44,114
11.04,42
34.54,2
35.89,58
74.31,79
65.57,111
89.29,92
49.86,66
16.36,45
72.76,120
77.27,67
58.32,70
78.24,89
51.91,53
54.66,124
45.62,76
7.41,2
15.25,55
7.99,81
65.46,116
34.86,10
53.31,60
91.22,152
28.68,25
43.99,75
76.78,122
26.74,17
12.31,24
32.53,2
20.32,7
93.32,112
81.77,71
65.17,133
87.79,73
81.35,93
22.72,42
89.79,156
56.24,36
81.71,139
90.13,116
35.21,25
15.45,43
26.65,48
45.58,48
82.71,109
86.77,101
5.66,22
53.52,92
44.65,108
26.1,7
16.39,91
37.07,2
94.58,117
35.7,70
54.29,82
71.79,77
39.54,52
97.32,110
96.43,106
28.92,69
52.24,82
33.58,31
32.06,74
8.5,30
62.91,107
52.75,90
9.89,2
31.47,33
91.29,138
27.76,61
18.77,33
51.5,75
98.64,161
28.0,28
68.85,106
77.35,95
27.58,38
74.18,128
39.94,81
65.07,110
65.19,124
55.9,77
13.58,47
84.35,100
35.47,62
22.72,34
8.87,25
61.13,99
69.37,69
6.58,78
53.65,46
26.52,8
66.29,121
21.56,59
70.64,111
41.74,78
93.99,120
18.06,8
37.4,57
15.78,11
92.85,146
88.35,109
29.5,23
67.7,81
82.64,119
57.74,63
55.32,53
27.98,51
13.84,35
90.24,102
90.54,103
65.14,93
37.21,14
38.17,16
73.97,77
90.23,110
89.27,123
79.09,144
