training_weeks,employment_rate
3.7,0.469
1.3,0.296
7.9,0.394
11.9,0.781
7.3,0.571
8.3,0.813
1.2,0.138
8.3,0.596
15.1,0.85
13.8,0.823
11.9,0.95
2.6,0.384
14.4,0.813
13.9,0.862
3.5,0.468
10.5,0.573
1.3,0.247
2.8,0.529
5.7,0.581
3.4,0.366
12.4,0.72
13.3,0.799
6.2,0.311
5.8,0.593
2.7,0.381
2.3,0.338
11.7,0.59
10.0,0.584
1.8,0.364
8.2,0.62
7.0,0.477
13.7,0.898
11.8,0.862
10.0,0.59
9.3,0.574
15.2,0.801
15.8,0.792
6.1,0.589
4.6,0.488
12.9,0.843
2.0,0.167
6.5,0.386
2.1,0.304
5.8,0.431
2.1,0.327
5.4,0.377
12.9,0.877
14.6,0.95
12.9,0.95
9.4,0.837
10.2,0.689
6.4,0.62
3.5,0.334
7.5,0.67
12.0,0.714
1.9,0.249
1.3,0.202
12.6,0.869
5.5,0.501
11.5,0.761
12.0,0.624
15.0,0.912
7.0,0.362
6.4,0.684
13.1,0.794
12.5,0.804
10.8,0.693
13.2,0.622
10.6,0.534
15.4,0.908
6.0,0.669
12.1,0.629
15.2,0.821
6.0,0.485
10.2,0.475
6.5,0.308
7.9,0.527
2.1,0.31
1.3,0.231
12.4,0.95
7.8,0.551
10.3,0.729
12.1,0.95
7.3,0.752
6.5,0.322
3.5,0.334
12.9,0.94
13.5,0.662
12.0,0.65
14.1,0.7
10.7,0.539
11.4,0.599
3.9,0.417
12.5,0.935
6.0,0.674
7.6,0.562
5.8,0.244
9.5,0.642
10.9,0.669
9.6,0.696
5.8,0.464
4.3,0.197
13.7,0.885
5.5,0.221
7.6,0.478
2.4,0.364
5.5,0.51
2.3,0.511
6.2,0.214
11.6,0.785
15.6,0.95
10.4,0.648
5.0,0.523
10.9,0.576
10.4,0.767
13.4,0.887
9.0,0.507
14.7,0.8
7.2,0.523
5.3,0.379
8.8,0.741
14.8,0.909
11.9,0.911
8.4,0.739
8.5,0.608
10.7,0.68
7.7,0.454
9.3,0.54
15.6,0.824
15.0,0.936
13.6,0.726
2.9,0.36
9.3,0.664
6.5,0.453
14.7,0.858
5.7,0.65
15.0,0.95
4.6,0.332
7.3,0.525
15.4,0.868
