state,numfarms,yieldperacre,totalprod,stocks,priceperlb,prodvalue,year
AL,1065,204.9,199502,31732,0.61,122106,1998
AZ,3098,191.1,566936,170143,0.41,232277,1998
AR,2041,195.3,434603,65480,0.4,173818,1998
CA,26025,191.3,4684214,974168,0.54,2537646,1998
CO,1053,198.4,201192,45464,0.46,91743,1998
FL,11567,176.6,2025749,523152,0.51,1028510,1998
GA,2057,227.3,469733,89848,0.36,167854,1998
ID,6854,214.8,1606325,401968,0.43,697527,1998
IL,1554,199.7,287460,48270,0.41,119019,1998
IN,2421,200.6,468590,77829,0.37,171789,1998
IA,851,190.1,162500,32717,0.46,74363,1998
KS,3651,197.1,762306,196517,0.31,238845,1998
KY,1179,209.6,243505,56485,0.39,94844,1998
LA,3599,198.9,710609,79737,0.42,295229,1998
ME,3300,205.6,628677,93859,0.35,219590,1998
MI,3074,208.7,702521,112640,0.43,301669,1998
MN,1392,195.9,254574,62699,0.45,114257,1998
MS,2964,196.4,604920,117325,0.39,238493,1998
MO,1876,203.0,408720,95687,0.41,165937,1998
MT,3481,186.6,631382,121213,0.43,273125,1998
NE,2921,218.4,594544,84634,0.37,218502,1998
NJ,1499,188.6,267638,53323,0.37,99184,1998
NM,2279,213.6,496058,131668,0.35,172319,1998
NY,3981,214.0,878704,116274,0.48,420752,1998
NC,4068,192.5,859516,240770,0.43,366128,1998
ND,2681,185.6,507281,60984,0.37,188336,1998
OH,2692,189.1,541449,129136,0.38,205700,1998
OR,5360,200.9,1031567,219634,0.49,508726,1998
PA,3341,203.3,724779,88318,0.41,296329,1998
SD,3602,165.5,643362,72439,0.54,349878,1998
TN,2686,199.2,577189,133687,0.51,296690,1998
TX,10479,182.6,2062308,498413,0.47,963737,1998
UT,1997,191.6,413123,56306,0.37,152868,1998
VT,3188,192.9,643416,138473,0.46,293103,1998
VA,1287,186.4,252577,77386,0.4,100724,1998
WA,7776,203.6,1685191,394444,0.43,717590,1998
WI,2309,200.2,425023,70420,0.46,195485,1998
WY,3182,204.0,632649,171198,0.35,221189,1998
AL,1099,198.6,219273,23810,0.46,99954,1999
AZ,3228,184.5,614332,161545,0.51,314969,1999
AR,1387,195.3,245331,52196,0.42,103549,1999
CA,24437,186.5,4838725,1013075,0.51,2483943,1999
CO,1871,184.3,320431,70068,0.43,137230,1999
FL,12054,156.8,1870495,569289,0.46,863463,1999
GA,2219,195.8,475237,83328,0.37,174607,1999
ID,6375,218.9,1374365,352815,0.48,653518,1999
IL,1865,190.9,384098,106607,0.38,146852,1999
IN,1864,173.9,328613,90870,0.4,132497,1999
IA,3931,206.0,746071,180697,0.52,386716,1999
KS,3413,190.9,665265,118146,0.47,313837,1999
KY,1939,172.1,338019,50432,0.44,149039,1999
LA,2725,211.3,562696,87417,0.41,231345,1999
ME,2248,179.7,420181,90061,0.58,241649,1999
MI,2519,176.0,443632,80172,0.48,212655,1999
MN,889,198.1,182705,46348,0.44,79898,1999
MS,883,186.9,160731,32570,0.51,81395,1999
MO,2621,210.2,508410,118359,0.48,243448,1999
MT,4074,166.0,739292,152878,0.55,403082,1999
NE,2357,169.7,385314,68776,0.47,182356,1999
NJ,4057,184.8,765865,131010,0.46,350590,1999
NM,2119,201.5,424148,96804,0.49,206967,1999
NY,4734,197.0,891235,258275,0.43,385686,1999
NC,3562,188.6,656627,197245,0.44,287267,1999
ND,2151,192.9,394154,72357,0.31,121915,1999
OH,738,200.3,139218,22869,0.4,55694,1999
OR,5129,194.9,930597,237438,0.51,471320,1999
PA,3494,187.6,671253,103381,0.36,243894,1999
SD,4102,206.1,793576,134182,0.31,243876,1999
TN,3961,187.3,744297,211599,0.38,284943,1999
TX,10978,172.4,1995626,499630,0.42,835049,1999
UT,1926,202.8,425810,101774,0.57,244535,1999
VT,591,209.8,115462,27962,0.4,46680,1999
VA,3458,180.0,592656,110074,0.46,272214,1999
WA,7521,184.3,1341912,378019,0.52,698977,1999
WI,2733,180.9,463045,127820,0.48,224367,1999
WY,1963,185.2,377837,51235,0.46,172362,1999
