n_originators,realized_return_pct
7,7.65
28,13.1
6,5.95
22,10.77
26,11.22
42,14.5
31,13.73
17,9.09
26,6.51
11,11.05
28,8.12
29,10.86
11,11.0
42,14.5
41,9.32
7,8.18
10,9.32
3,7.9
14,11.82
9,11.1
22,8.02
8,9.0
27,11.78
3,7.61
37,14.27
12,7.16
17,5.44
41,11.08
7,10.71
12,9.15
26,12.31
38,12.7
6,4.53
11,9.2
22,10.41
4,6.37
3,7.94
19,10.52
34,11.2
32,10.33
31,10.46
10,8.2
26,9.41
13,11.25
44,12.26
38,13.92
3,4.14
10,12.17
26,8.81
31,12.45
35,13.79
24,8.85
39,13.2
38,10.4
36,9.28
6,8.45
30,11.36
36,14.5
22,11.38
30,14.29
7,7.36
22,12.61
36,11.61
33,8.85
40,11.62
12,9.47
32,10.39
20,11.08
34,11.86
5,5.76
22,11.83
21,14.5
24,9.76
6,11.18
14,8.67
19,11.49
15,10.51
32,8.71
44,12.09
12,8.11
15,7.56
6,9.87
17,10.42
23,9.36
18,8.69
38,14.5
7,11.22
11,6.86
29,10.95
26,14.3
16,10.04
42,14.5
6,7.88
32,7.88
15,9.07
15,9.21
18,10.15
32,11.41
11,11.49
41,10.54
9,6.06
24,11.91
30,12.08
10,8.12
20,8.73
8,6.79
39,14.5
44,13.47
44,14.5
32,11.59
29,11.21
3,6.71
25,13.79
37,14.07
15,7.55
9,10.04
43,10.66
37,11.2
32,13.48
41,9.46
20,13.53
8,10.3
18,8.52
15,12.52
44,13.55
43,10.57
31,14.5
40,10.33
12,9.31
26,12.12
24,9.19
7,7.23
30,12.37
15,9.05
44,14.5
14,7.02
9,10.33
36,13.84
24,11.39
24,9.76
33,9.77
31,9.5
15,7.55
15,10.41
39,12.52
10,7.63
24,11.8
44,12.4
41,13.81
18,7.81
