capital_invested,interest_earned
9488.59,641.42
23777.71,2800.4
18353.45,2222.95
15046.73,988.73
4069.26,844.85
4068.66,533.24
1640.47,64.76
21681.17,3059.44
15107.65,776.42
17760.2,2633.65
710.5,119.88
24253.76,1451.89
20844.58,3293.14
5466.01,698.03
4709.26,707.39
4748.43,993.96
7745.21,708.71
13213.96,839.67
10912.24,611.92
7422.48,446.32
15373.95,1549.07
3659.45,452.91
7445.19,895.05
9285.77,1397.46
11510.54,1216.84
19672.36,3638.29
5151.91,465.96
12953.01,3297.96
14891.88,2076.1
1351.97,78.22
15267.11,703.83
4429.0,582.57
1813.28,168.11
23732.36,3423.87
24147.67,3164.02
20248.25,2044.96
7754.42,453.06
2622.27,56.86
17168.98,1381.1
11115.78,1690.73
3226.55,376.78
12480.39,455.34
1052.84,120.58
22751.15,2871.02
6617.74,373.16
16630.55,1886.82
7930.43,858.08
13097.69,551.89
13758.41,1715.38
4784.39,649.93
24245.7,3990.06
19423.29,3165.2
23499.57,686.85
22391.72,1196.16
15027.92,2003.63
23062.48,3073.27
2394.61,319.27
5060.37,1603.63
1321.64,180.27
8268.19,1384.56
9839.2,1549.38
6929.46,975.85
20752.69,1819.18
9047.48,1327.66
7167.18,447.91
13658.86,1256.27
3694.92,289.33
20094.49,2200.41
2048.86,475.96
24674.8,56.76
19351.67,2762.34
5128.15,83.59
336.95,26.63
20423.44,3367.67
17730.06,1924.34
18279.38,835.81
19327.5,1269.01
2036.31,289.93
9089.95,589.3
3073.55,359.31
21604.96,2322.67
15657.79,1082.92
8406.27,1873.9
1776.25,248.44
7912.36,5.0
8264.55,952.53
18294.23,1255.02
16011.43,2431.88
22202.88,1363.51
11910.93,1175.48
3165.94,420.36
17888.47,2730.08
19067.47,743.32
14119.67,1222.8
19319.99,1523.92
12446.13,859.62
13163.77,2660.4
10803.02,1374.94
830.39,29.6
2875.71,447.12
979.44,217.16
15982.98,2585.82
7996.03,171.39
12812.55,1004.08
22707.65,3966.57
6382.45,421.74
10377.5,1342.95
18937.67,2795.29
5874.19,317.32
2109.1,214.55
7385.84,5.0
4198.29,204.28
23256.5,2118.87
20241.39,736.22
15908.41,3098.68
21812.22,574.58
20131.07,1626.54
4826.94,541.54
22335.46,4115.76
13575.69,353.34
20224.52,3417.42
22423.06,2367.04
8086.49,412.55
2929.29,382.03
5852.79,678.62
10792.27,776.91
20486.77,2229.76
21546.12,1805.73
372.41,41.43
12866.53,1819.55
10551.79,2028.38
5708.27,210.75
3172.66,705.34
8572.86,5.0
23584.16,2279.45
8215.43,1128.45
13066.01,1573.86
17634.87,1247.69
9218.01,862.38
24300.2,1892.62
24068.69,1747.02
6444.2,977.77
12531.76,1561.91
7661.78,512.5
7264.04,1122.13
1114.8,135.9
15317.2,2293.1
12666.44,1768.61
1476.67,87.72
7110.43,527.52
22724.99,3320.15
6141.13,850.98
3793.39,393.95
12338.43,1375.15
24644.13,4319.42
6202.97,449.49
16868.96,2278.83
19088.17,1791.99
6093.41,566.86
18259.77,3020.76
9321.02,1401.86
15881.18,2378.1
15911.54,2813.18
13487.21,1431.74
2439.19,347.6
20915.5,1839.21
8155.35,1001.71
4825.66,472.15
1211.22,133.64
14854.14,2045.92
17003.6,1020.18
611.38,134.55
12899.91,640.73
5817.1,222.33
16200.29,2732.92
4524.29,672.04
17335.26,2415.26
9791.04,1366.43
23430.9,2444.46
3610.52,200.93
8658.45,945.24
3014.14,204.23
23132.4,3669.53
21958.02,2127.99
6596.95,393.16
16567.6,1446.75
20467.11,2613.88
13968.98,1033.64
13335.33,797.16
6197.94,733.85
2508.95,297.24
22450.95,1731.38
22530.37,1781.99
15900.92,1872.54
8607.94,218.26
8860.4,244.45
18203.7,1192.08
22448.33,2093.54
22199.74,2710.59
19540.91,3637.44
