customer_id,credit_score,income_k,dti,card_util,deposit_k,loan_k,n_products,tenure_mo,late30_12m,logins_30d,segment,segment_name
C20272,647.0,37.8,0.526,0.736,4.8,16.0,2.0,12.0,1.0,16.0,2,Card Revolver
C20248,676.0,52.6,0.557,0.881,4.7,23.1,2.0,48.0,-0.0,26.0,2,Card Revolver
C00204,823.0,97.5,0.175,0.126,17.6,5.9,4.0,59.0,0.0,28.0,0,Prime Transactor
C10294,677.0,44.6,0.441,0.17,11.8,7.7,3.0,86.0,-0.0,2.0,1,Mass-Market Saver
C40158,730.0,150.2,0.265,0.249,43.2,133.6,7.0,107.0,-0.0,21.0,4,Affluent Relationship
C00284,785.0,58.9,0.143,0.164,42.0,13.7,4.0,62.0,0.0,14.0,0,Prime Transactor
C40266,773.0,176.6,0.424,0.155,117.8,366.2,5.0,127.0,-0.0,16.0,4,Affluent Relationship
C40326,735.0,134.0,0.354,0.396,98.5,236.6,7.0,92.0,0.0,9.0,4,Affluent Relationship
C40286,732.0,169.8,0.347,0.077,127.8,341.3,6.0,158.0,-0.0,9.0,4,Affluent Relationship
C40124,751.0,148.7,0.307,0.098,75.0,288.3,7.0,120.0,1.0,9.0,4,Affluent Relationship
C20068,664.0,42.5,0.261,0.657,2.1,29.1,2.0,30.0,0.0,18.0,2,Card Revolver
C40291,735.0,173.6,0.238,0.154,96.4,152.9,6.0,92.0,0.0,17.0,4,Affluent Relationship
C40182,733.0,155.1,0.285,0.233,115.8,146.7,7.0,60.0,2.0,11.0,4,Affluent Relationship
C40103,763.0,162.5,0.174,0.0,65.6,208.9,5.0,133.0,-0.0,8.0,4,Affluent Relationship
C20002,691.0,38.3,0.424,0.902,10.0,14.2,3.0,28.0,1.0,19.0,2,Card Revolver
C30102,546.0,34.7,0.516,0.703,2.3,35.9,2.0,8.0,5.0,2.0,3,Stressed Book
C30074,603.0,20.1,0.624,0.803,1.2,34.4,2.0,37.0,6.0,9.0,3,Stressed Book
C20237,588.0,62.5,0.374,0.855,9.7,7.6,2.0,73.0,1.0,21.0,2,Card Revolver
C10195,710.0,33.6,0.351,0.258,20.2,1.6,3.0,83.0,0.0,4.0,1,Mass-Market Saver
C40312,772.0,128.4,0.389,0.243,84.7,162.9,6.0,116.0,1.0,11.0,4,Affluent Relationship
C40224,749.0,141.5,0.321,0.194,123.9,232.8,6.0,146.0,0.0,16.0,4,Affluent Relationship
C20228,638.0,34.6,0.406,0.653,2.6,17.0,2.0,32.0,3.0,26.0,2,Card Revolver
C00350,785.0,96.0,0.202,0.174,45.1,9.1,3.0,18.0,0.0,15.0,0,Prime Transactor
C20289,659.0,37.1,0.432,0.637,6.8,27.1,2.0,39.0,3.0,26.0,2,Card Revolver
C00002,752.0,90.8,0.144,0.136,29.6,10.5,1.0,59.0,0.0,19.0,0,Prime Transactor
C20275,681.0,43.0,0.385,0.748,3.0,6.6,3.0,50.0,1.0,18.0,2,Card Revolver
C30304,566.0,26.2,0.45,0.936,4.1,36.0,2.0,39.0,4.0,4.0,3,Stressed Book
C00110,790.0,140.2,0.267,0.133,25.9,7.7,3.0,59.0,0.0,16.0,0,Prime Transactor
C20262,691.0,42.9,0.359,0.686,3.9,26.0,2.0,20.0,2.0,23.0,2,Card Revolver
C00108,765.0,90.1,0.206,0.13,30.7,10.3,4.0,21.0,0.0,14.0,0,Prime Transactor
C20118,642.0,28.4,0.456,0.874,3.2,18.8,2.0,33.0,2.0,28.0,2,Card Revolver
C10100,730.0,54.2,0.31,0.2,18.0,5.0,2.0,65.0,1.0,7.0,1,Mass-Market Saver
C00361,786.0,97.2,0.153,0.083,19.4,19.3,1.0,64.0,-0.0,15.0,0,Prime Transactor
C30347,588.0,28.0,0.524,0.795,3.1,13.9,2.0,36.0,4.0,5.0,3,Stressed Book
C30081,585.0,33.8,0.575,0.846,0.0,31.5,2.0,30.0,7.0,1.0,3,Stressed Book
C20358,629.0,41.7,0.344,0.833,3.3,20.7,3.0,48.0,1.0,22.0,2,Card Revolver
C30127,656.0,38.9,0.594,0.808,1.9,41.4,3.0,29.0,2.0,7.0,3,Stressed Book
C00196,765.0,80.9,0.313,0.205,20.6,2.6,3.0,60.0,-0.0,18.0,0,Prime Transactor
C40217,749.0,149.3,0.285,0.17,52.9,298.9,4.0,63.0,1.0,18.0,4,Affluent Relationship
C00237,777.0,70.0,0.317,0.198,35.5,2.4,3.0,66.0,0.0,17.0,0,Prime Transactor
C10388,734.0,41.2,0.366,0.265,10.4,2.0,2.0,56.0,1.0,7.0,1,Mass-Market Saver
C10320,682.0,51.0,0.162,0.144,16.5,6.1,1.0,74.0,0.0,7.0,1,Mass-Market Saver
C30095,569.0,33.2,0.537,0.99,2.3,29.2,2.0,39.0,5.0,9.0,3,Stressed Book
C30209,625.0,54.3,0.532,0.806,0.8,20.7,2.0,17.0,5.0,6.0,3,Stressed Book
C40104,762.0,198.6,0.421,0.112,78.2,211.3,7.0,116.0,0.0,17.0,4,Affluent Relationship
C10144,725.0,33.4,0.248,0.157,19.0,9.4,2.0,65.0,1.0,1.0,1,Mass-Market Saver
C30060,592.0,13.7,0.548,0.713,0.9,20.5,2.0,35.0,3.0,13.0,3,Stressed Book
C40284,747.0,207.6,0.301,0.316,50.8,274.8,5.0,149.0,1.0,9.0,4,Affluent Relationship
C30106,624.0,36.5,0.484,0.918,0.9,32.5,3.0,67.0,2.0,6.0,3,Stressed Book
C20045,670.0,52.1,0.438,0.826,5.0,31.7,3.0,16.0,0.0,27.0,2,Card Revolver
C20041,604.0,58.0,0.446,0.71,0.0,25.8,3.0,45.0,1.0,16.0,2,Card Revolver
C30117,560.0,32.4,0.606,0.77,2.5,29.2,1.0,36.0,3.0,6.0,3,Stressed Book
C30345,572.0,24.4,0.594,0.812,1.2,37.0,2.0,43.0,2.0,6.0,3,Stressed Book
C40047,747.0,135.6,0.271,0.146,88.7,188.6,6.0,104.0,0.0,26.0,4,Affluent Relationship
C40133,747.0,174.4,0.284,0.153,44.0,367.4,4.0,144.0,1.0,19.0,4,Affluent Relationship
C20256,664.0,57.7,0.548,0.89,2.3,8.7,2.0,8.0,3.0,21.0,2,Card Revolver
C40193,760.0,118.8,0.223,0.228,80.6,261.2,4.0,51.0,0.0,13.0,4,Affluent Relationship
C00172,761.0,106.7,0.241,0.137,5.9,11.2,4.0,54.0,0.0,4.0,0,Prime Transactor
C40187,757.0,87.9,0.231,0.197,25.9,130.2,6.0,56.0,0.0,15.0,4,Affluent Relationship
C20035,676.0,61.2,0.504,0.794,4.3,19.2,3.0,29.0,2.0,17.0,2,Card Revolver
C10041,689.0,49.4,0.304,0.27,16.9,6.5,2.0,25.0,1.0,8.0,1,Mass-Market Saver
C30354,556.0,29.4,0.527,0.911,1.4,15.5,1.0,45.0,6.0,3.0,3,Stressed Book
C30175,520.0,34.4,0.611,0.925,0.5,26.4,1.0,14.0,4.0,7.0,3,Stressed Book
C10389,725.0,32.3,0.067,0.193,25.7,4.6,2.0,62.0,2.0,8.0,1,Mass-Market Saver
C00185,791.0,115.2,0.221,0.192,36.5,17.7,4.0,82.0,0.0,19.0,0,Prime Transactor
C10038,717.0,42.8,0.354,0.177,16.7,11.9,3.0,57.0,1.0,11.0,1,Mass-Market Saver
C00372,784.0,76.1,0.279,0.056,33.1,0.6,4.0,47.0,1.0,8.0,0,Prime Transactor
C00140,763.0,91.8,0.088,0.018,28.9,4.1,3.0,69.0,1.0,26.0,0,Prime Transactor
C30077,585.0,47.9,0.621,0.99,1.6,23.8,3.0,22.0,4.0,7.0,3,Stressed Book
C30196,566.0,45.3,0.273,0.897,0.4,20.6,1.0,37.0,4.0,3.0,3,Stressed Book
C30269,604.0,35.7,0.475,0.882,2.8,35.6,3.0,12.0,6.0,0.0,3,Stressed Book
C10186,699.0,48.3,0.286,0.212,39.4,7.9,2.0,42.0,0.0,7.0,1,Mass-Market Saver
C20048,680.0,43.9,0.397,0.828,6.2,19.6,2.0,24.0,1.0,18.0,2,Card Revolver
C00299,770.0,72.8,0.187,0.113,25.3,0.4,3.0,120.0,-0.0,8.0,0,Prime Transactor
C10395,711.0,59.2,0.352,0.292,11.1,9.3,2.0,32.0,1.0,3.0,1,Mass-Market Saver
C30212,556.0,34.1,0.425,0.872,1.5,16.2,2.0,25.0,5.0,4.0,3,Stressed Book
C00353,757.0,77.4,0.123,0.184,34.1,17.6,2.0,44.0,0.0,19.0,0,Prime Transactor
C20270,683.0,43.2,0.395,0.747,4.6,26.8,4.0,29.0,0.0,16.0,2,Card Revolver
C30264,562.0,33.4,0.694,0.802,1.2,16.7,2.0,10.0,5.0,9.0,3,Stressed Book
C40086,755.0,172.4,0.163,0.135,66.7,355.1,6.0,120.0,1.0,13.0,4,Affluent Relationship
C40244,731.0,168.2,0.389,0.169,110.5,235.7,4.0,69.0,0.0,25.0,4,Affluent Relationship
C20157,659.0,56.1,0.34,0.791,1.9,27.8,4.0,36.0,2.0,34.0,2,Card Revolver
C30334,586.0,27.5,0.744,0.859,0.6,32.9,2.0,34.0,4.0,3.0,3,Stressed Book
C40082,745.0,170.2,0.327,0.145,113.1,340.5,5.0,109.0,-0.0,16.0,4,Affluent Relationship
C10315,687.0,45.8,0.171,0.328,25.3,13.3,2.0,30.0,1.0,1.0,1,Mass-Market Saver
C30232,570.0,29.6,0.621,0.831,2.3,27.9,1.0,32.0,5.0,1.0,3,Stressed Book
C10023,730.0,45.3,0.208,0.0,17.4,0.0,1.0,70.0,1.0,0.0,1,Mass-Market Saver
C00311,761.0,70.1,0.301,0.163,29.0,8.5,3.0,73.0,0.0,14.0,0,Prime Transactor
C30123,576.0,21.8,0.482,0.918,2.9,11.1,2.0,29.0,5.0,6.0,3,Stressed Book
C30181,618.0,27.8,0.568,0.835,2.8,26.4,2.0,15.0,4.0,5.0,3,Stressed Book
C40080,746.0,215.3,0.34,0.244,25.8,239.0,5.0,117.0,0.0,20.0,4,Affluent Relationship
C00037,782.0,64.2,0.198,0.079,34.4,30.1,3.0,53.0,-0.0,18.0,0,Prime Transactor
C10127,721.0,38.5,0.293,0.233,18.2,8.3,3.0,77.0,0.0,9.0,1,Mass-Market Saver
C10291,676.0,43.0,0.255,0.193,17.1,6.4,3.0,51.0,0.0,6.0,1,Mass-Market Saver
C30040,613.0,31.3,0.448,0.804,0.7,18.4,1.0,45.0,5.0,10.0,3,Stressed Book
C10307,704.0,40.7,0.317,0.107,21.7,5.9,1.0,59.0,-0.0,0.0,1,Mass-Market Saver
C00058,790.0,126.5,0.316,0.114,25.6,1.9,3.0,82.0,0.0,19.0,0,Prime Transactor
C30296,605.0,31.8,0.614,0.807,1.0,28.6,1.0,29.0,5.0,13.0,3,Stressed Book
C30010,578.0,35.9,0.517,0.787,1.8,27.2,2.0,57.0,3.0,6.0,3,Stressed Book
C00127,783.0,145.8,0.177,0.203,27.5,11.0,4.0,93.0,1.0,20.0,0,Prime Transactor
C10047,721.0,45.1,0.279,0.208,16.9,0.0,3.0,25.0,-0.0,7.0,1,Mass-Market Saver
C00397,814.0,114.2,0.214,0.036,20.1,16.6,3.0,93.0,0.0,20.0,0,Prime Transactor
C00229,778.0,98.1,0.193,0.089,35.8,13.4,2.0,104.0,1.0,15.0,0,Prime Transactor
C40236,747.0,132.1,0.397,0.169,136.6,159.1,5.0,76.0,1.0,20.0,4,Affluent Relationship
C00034,790.0,105.0,0.337,0.108,22.1,1.2,3.0,107.0,1.0,12.0,0,Prime Transactor
C20170,646.0,45.4,0.352,0.763,2.7,13.7,3.0,31.0,0.0,17.0,2,Card Revolver
C30285,576.0,29.7,0.505,0.703,1.2,30.2,1.0,23.0,5.0,11.0,3,Stressed Book
