unit_id,fuel,region,operator,capacity_mw,age_years,ambient_c,humidity,days_since_maint,maint_overdue,is_peak_hour,wind_ms,ghi,load_factor,forced_outage
1696,hydro,ERCOT,ipp,374.3,34.2,18.7,16.0,41,0,0,4.1,369,0.692,No
1150,solar,Northeast,ipp,164.1,10.1,19.6,26.3,133,0,0,4.0,346,0.275,No
1163,wind,Midwest,muni,275.6,17.1,24.6,55.6,224,1,1,2.0,489,0.375,No
1665,gas_ccgt,ERCOT,IOU,569.5,13.1,9.5,87.6,128,0,0,7.6,355,0.462,No
1941,gas_peaker,West,IOU,193.1,31.0,28.4,41.8,22,0,0,9.6,523,0.199,Yes
1224,wind,South,ipp,53.0,23.0,37.3,57.2,15,0,0,2.2,0,0.419,No
1663,gas_ccgt,Northeast,IOU,532.1,7.6,25.7,56.5,58,0,1,5.4,540,0.578,No
1630,wind,Northeast,ipp,271.0,1.0,-8.4,54.6,109,0,0,6.1,285,0.459,No
1023,wind,Midwest,IOU,82.4,13.5,11.5,75.5,86,0,0,6.7,495,0.461,No
1735,coal,Midwest,ipp,365.4,29.7,30.3,65.2,49,0,1,6.1,557,0.668,Yes
1871,gas_peaker,ERCOT,muni,105.1,1.0,32.6,55.3,108,0,0,4.7,75,0.15,Yes
1201,gas_ccgt,South,muni,319.9,30.7,40.5,88.0,22,0,1,8.6,440,0.86,Yes
1381,gas_ccgt,South,co_op,392.0,9.0,23.9,84.2,648,1,0,2.1,717,0.6,No
1906,coal,South,ipp,436.1,32.0,34.9,75.3,28,0,0,7.3,368,0.509,No
1987,coal,South,muni,845.9,19.9,31.1,71.7,31,0,1,10.6,419,0.274,Yes
1571,nuclear,Midwest,IOU,1152.6,1.0,25.4,39.2,61,0,1,3.6,617,0.599,No
1481,solar,West,IOU,95.9,1.0,13.7,51.2,92,0,1,5.2,616,0.603,Yes
1238,wind,West,ipp,128.6,11.5,21.2,62.8,159,1,0,2.4,708,0.458,No
1097,hydro,ERCOT,ipp,136.1,11.9,31.0,74.5,198,1,1,10.3,550,0.731,No
1145,solar,South,IOU,208.8,11.2,38.0,76.5,94,0,0,7.4,251,0.3,No
1117,gas_ccgt,Northeast,co_op,264.4,28.3,12.4,56.0,50,0,1,4.0,206,0.869,No
1799,gas_ccgt,ERCOT,IOU,302.9,18.8,29.8,61.3,44,0,0,4.8,428,0.338,No
1915,nuclear,Northeast,IOU,1249.1,12.3,-1.0,61.1,196,1,0,9.1,677,0.716,No
1628,gas_ccgt,Northeast,IOU,615.9,14.8,24.6,54.4,331,1,0,3.0,256,0.764,No
1519,gas_ccgt,West,ipp,486.9,22.3,25.2,39.1,32,0,0,6.7,659,0.462,No
1428,coal,ERCOT,IOU,580.0,30.9,23.7,66.0,140,0,0,4.5,441,0.805,No
1136,coal,ERCOT,IOU,527.2,29.2,15.1,42.3,84,0,0,8.7,306,0.262,No
