booking_id,cancelled,lead_time,nights,adr,booking_value,party_size,prev_cancels,special_requests,is_weekend,online_channel,has_deposit,checkin_hour
300001,CANCEL,54,1,59.81,53.08,1,0,0,0,1,0,17
300002,CANCEL,55,2,115.6,211.16,3,1,1,0,0,0,10
300003,STAY,84,1,112.75,98.77,1,0,0,1,0,0,15
300004,STAY,27,1,81.28,105.76,2,1,0,0,0,0,18
300005,STAY,44,5,137.87,686.26,2,1,0,0,0,1,21
300006,CANCEL,55,5,62.4,286.88,1,4,0,0,0,0,13
300007,STAY,60,5,103.34,517.55,3,1,3,1,0,1,10
300008,CANCEL,22,2,156.62,294.67,2,0,2,1,1,0,18
300009,STAY,108,1,117.27,93.68,4,1,2,1,0,0,10
300010,CANCEL,41,1,133.83,146.66,3,1,0,0,1,1,22
300011,STAY,104,2,96.43,210.48,3,0,0,0,0,0,21
300012,STAY,62,4,114.33,453.2,1,1,3,0,1,0,20
300013,CANCEL,93,4,100.03,379.56,1,0,1,0,1,0,22
300014,STAY,39,4,53.72,178.98,2,1,2,0,1,0,15
300015,STAY,77,3,77.21,237.04,4,1,2,0,0,1,18
300016,CANCEL,107,3,116.65,364.79,2,2,1,0,1,0,22
300017,STAY,37,2,99.79,176.79,2,0,1,0,1,0,16
300018,STAY,72,3,120.67,393.11,4,1,0,1,1,0,21
300019,STAY,77,6,93.16,506.79,1,0,2,1,1,0,10
300020,STAY,35,3,123.74,352.8,2,1,1,1,1,1,15
300021,STAY,62,2,184.1,392.55,2,0,0,0,1,0,12
300022,CANCEL,57,3,89.16,291.36,2,0,1,0,1,0,10
300023,STAY,28,3,98.62,266.36,1,1,0,1,1,0,18
300024,CANCEL,23,3,119.11,374.53,1,0,0,0,1,0,10
300025,STAY,92,2,165.63,357.26,1,0,1,0,0,0,12
300026,STAY,69,1,114.81,130.63,2,0,1,0,0,0,10
300027,STAY,56,4,137.9,553.05,3,1,1,1,1,0,18
300028,STAY,33,4,104.19,420.31,3,1,1,0,1,0,12
300029,CANCEL,132,1,115.17,87.72,2,2,2,0,1,0,13
300030,STAY,44,2,143.19,287.11,2,0,1,0,1,0,16
300031,STAY,82,3,114.02,340.24,1,1,1,0,0,0,22
300032,STAY,71,1,135.87,116.25,1,0,2,0,1,0,15
300033,CANCEL,50,7,118.7,811.18,1,0,0,0,0,1,11
300034,CANCEL,38,4,69.66,266.56,3,1,0,1,0,0,21
300035,STAY,110,3,89.82,264.41,1,0,0,1,1,0,12
300036,STAY,24,3,82.2,266.64,1,2,0,1,0,0,18
300037,CANCEL,51,4,113.31,456.6,1,0,3,0,0,0,20
300038,STAY,28,1,86.12,96.81,2,0,1,0,1,0,14
300039,STAY,98,2,86.05,193.82,1,1,2,1,1,0,17
300040,STAY,40,1,134.4,113.4,2,0,0,1,1,0,14
300041,STAY,60,3,131.42,394.66,2,0,1,0,1,1,22
300042,CANCEL,13,3,90.97,265.35,2,0,1,0,0,0,11
300043,STAY,47,3,188.55,552.62,1,1,0,1,1,1,20
300044,STAY,97,4,251.86,1021.56,1,1,11,1,1,1,15
300045,STAY,61,5,134.74,672.55,3,0,1,1,0,1,17
300046,CANCEL,81,3,78.58,265.75,1,1,2,0,1,1,22
300047,STAY,47,3,90.91,264.96,1,2,1,1,0,0,16
300048,STAY,55,3,171.11,539.07,1,0,2,0,1,0,10
300049,CANCEL,30,4,129.44,499.14,1,1,2,1,1,1,21
300050,STAY,100,1,73.55,87.14,3,0,1,0,0,0,20
300051,CANCEL,54,3,108.7,316.23,3,0,0,0,1,0,12
300052,STAY,109,2,139.31,293.26,1,2,2,0,0,0,16
300053,CANCEL,72,3,155.42,481.42,1,0,1,1,0,0,14
300054,STAY,41,2,113.33,248.78,1,0,0,0,0,0,22
300055,STAY,59,3,89.16,259.27,1,0,0,0,1,0,10
300056,CANCEL,76,5,128.54,653.37,2,0,0,1,1,1,12
300057,STAY,74,3,57.32,159.23,1,0,0,0,1,1,10
300058,STAY,13,1,128.33,116.63,3,0,1,1,1,0,20
300059,CANCEL,56,5,55.33,275.77,1,1,0,1,1,0,18
300060,STAY,37,2,69.19,102.09,1,2,0,0,0,1,16
300061,CANCEL,30,3,62.64,199.18,1,0,0,1,0,0,20
300062,CANCEL,66,1,108.06,93.19,2,1,1,1,1,0,10
300063,CANCEL,59,3,49.44,155.97,4,3,0,0,1,0,10
300064,STAY,102,6,52.24,296.09,3,0,0,0,0,1,21
300065,STAY,51,3,147.16,443.05,4,0,3,1,1,0,10
300066,STAY,25,1,88.27,66.5,2,0,1,0,0,0,14
