session_id,booked,page_views,session_min,scroll_depth,mobile,promo,repeat_visitor,price_shown
80001,0,4,6.17,53.1,1,1,0,185.33
80002,0,9,6.89,59.0,1,0,0,205.62
80003,0,4,3.03,29.5,0,0,1,147.4
80004,1,5,10.81,97.6,1,0,1,159.86
80005,0,6,24.72,198.6,1,0,0,215.15
80006,1,3,3.01,12.1,0,0,0,141.86
80007,0,6,4.05,30.9,1,0,0,176.03
80008,0,5,3.86,28.9,1,0,1,168.47
80009,0,3,3.01,28.8,0,0,0,198.3
80010,0,5,1.23,8.4,1,0,0,223.29
80011,0,4,14.83,120.0,1,0,0,108.34
80012,0,6,2.61,24.6,0,0,0,133.29
80013,0,7,4.0,42.7,0,1,0,201.33
80014,0,6,9.07,75.7,1,1,0,265.66
80015,0,5,14.29,118.9,1,0,0,170.75
80016,1,11,3.04,27.6,1,0,1,236.93
80017,0,4,13.75,107.4,0,0,0,186.3
80018,1,6,7.25,59.4,1,0,1,234.73
80019,0,8,15.32,117.4,1,0,1,230.61
80020,1,6,5.22,45.0,1,0,1,159.8
80021,0,3,16.8,132.3,0,0,0,144.85
80022,0,14,4.13,32.3,0,0,0,125.46
80023,0,12,12.27,107.5,1,0,0,305.45
80024,0,3,1.86,9.0,1,0,0,417.03
80025,0,8,5.13,52.1,1,0,0,190.96
80026,0,4,11.96,96.2,0,0,1,248.31
80027,0,4,8.02,65.4,1,0,1,102.59
80028,0,4,3.08,25.6,1,1,0,210.32
80029,0,14,7.2,66.2,0,1,0,223.23
80030,0,17,5.46,47.7,0,1,0,165.2
80031,0,10,5.17,36.9,0,0,0,241.56
80032,0,5,6.56,53.0,1,0,0,265.0
80033,0,8,1.26,17.9,0,0,1,128.01
80034,0,6,9.38,69.1,1,0,0,247.57
80035,1,9,6.78,51.5,0,0,1,161.02
80036,0,2,3.59,25.3,1,0,0,49.0
80037,0,8,9.02,71.7,0,0,1,218.66
80038,0,2,17.59,137.7,0,1,0,217.27
80039,0,5,4.33,37.8,0,1,0,197.87
80040,0,6,21.87,183.1,1,0,1,174.13
80041,0,6,5.93,50.4,1,1,0,49.0
80042,0,5,3.91,28.1,0,0,1,129.17
80043,0,7,13.9,104.1,1,0,1,232.2
80044,0,12,7.71,63.7,0,0,0,119.09
80045,0,4,2.04,26.3,0,0,0,292.78
80046,0,7,3.36,32.6,0,1,0,138.24
80047,0,6,24.95,203.9,0,0,1,223.44
80048,0,8,2.92,23.1,1,0,0,256.15
80049,0,8,11.32,85.9,1,0,1,289.84
80050,0,3,4.03,29.4,0,0,0,212.43
80051,0,7,11.85,92.8,1,0,0,221.64
80052,1,6,3.86,39.5,0,0,0,170.54
80053,0,7,9.74,88.5,0,0,0,206.7
80054,1,6,10.6,90.3,0,0,1,165.15
80055,1,7,4.24,20.4,0,0,0,49.0
80056,1,12,9.06,73.1,1,1,0,226.88
80057,0,5,5.49,45.8,0,1,0,165.92
80058,0,3,8.76,66.5,1,0,0,196.73
80059,0,8,3.31,31.9,0,1,0,236.79
80060,0,8,4.05,35.3,1,1,0,95.72
80061,0,4,9.37,77.0,0,0,0,154.23
80062,0,5,5.37,41.6,1,0,0,130.25
80063,0,3,2.45,15.6,0,0,1,196.98
80064,0,12,3.01,25.9,1,0,0,293.36
80065,0,5,6.36,42.3,1,0,0,125.28
80066,0,9,3.74,26.9,1,1,1,275.08
80067,0,5,5.18,26.7,0,0,0,125.94
80068,0,6,35.61,288.5,0,0,0,200.47
80069,1,5,1.33,8.9,0,0,0,220.48
80070,0,14,27.44,214.8,1,1,1,217.68
80071,0,7,16.58,128.7,0,1,0,219.22
80072,0,8,17.54,142.4,0,1,1,226.96
80073,0,11,3.0,19.3,0,1,0,135.67
80074,0,5,4.18,30.8,0,1,0,245.57
80075,0,4,3.92,30.3,1,0,1,188.07
80076,0,6,2.68,20.4,0,0,0,187.39
80077,0,7,5.1,33.2,0,0,0,142.31
80078,0,11,24.24,192.4,1,0,0,213.11
80079,0,12,9.33,71.1,1,0,1,175.37
80080,0,11,15.13,109.6,0,0,0,219.6
80081,0,10,9.13,71.3,1,0,0,176.96
80082,0,7,16.64,132.9,0,0,1,238.54
80083,0,4,11.05,96.2,0,0,1,173.76
80084,0,5,14.09,113.5,1,0,0,172.51
80085,1,6,3.19,19.9,0,0,0,201.83
80086,0,2,9.82,82.2,0,0,1,189.02
80087,0,6,9.19,81.8,0,1,1,200.2
80088,0,4,8.66,73.8,1,0,1,204.75
80089,0,3,3.18,35.1,0,0,1,194.81
80090,0,9,9.19,85.0,0,0,0,127.04
80091,0,8,11.41,95.3,1,0,1,170.88
80092,0,11,4.2,18.5,1,0,1,162.86
80093,0,7,3.99,33.7,1,0,0,182.02
80094,0,5,16.38,130.4,0,0,0,156.68
80095,0,10,25.53,205.8,0,0,0,170.11
80096,1,2,11.53,95.0,0,1,1,187.93
80097,0,7,7.34,50.7,1,0,1,252.16
80098,1,13,6.32,54.1,1,1,0,272.05
80099,0,9,6.45,53.3,1,0,0,240.68
80100,0,8,9.52,78.8,0,0,0,237.54
80101,0,4,7.0,55.5,1,0,1,231.95
80102,1,8,36.14,297.4,1,0,1,247.02
80103,0,5,7.0,63.3,1,0,0,209.86
80104,0,5,6.22,42.9,1,0,0,278.07
80105,0,7,4.25,32.3,1,1,0,192.22
80106,0,10,5.51,54.4,0,0,0,250.97
80107,0,8,4.58,41.6,1,0,1,189.72
80108,0,9,12.59,100.4,1,0,1,277.73
80109,0,4,4.94,37.3,0,1,1,225.13
80110,1,7,11.92,92.7,0,1,1,146.11
80111,0,3,6.63,58.3,1,0,0,128.43
80112,0,3,8.28,62.5,1,0,1,181.1
80113,0,4,11.36,91.6,1,0,0,167.32
80114,0,6,3.9,41.0,1,0,1,206.73
80115,0,7,10.79,86.1,0,0,1,196.6
80116,1,9,44.76,365.8,0,1,1,82.55
80117,0,3,8.14,74.3,0,0,1,221.58
80118,0,6,2.18,9.8,1,1,0,256.01
80119,0,12,8.1,70.2,0,0,0,168.67
80120,1,10,6.86,41.0,0,0,0,193.07
80121,0,9,15.38,130.1,1,1,1,234.12
80122,0,7,2.72,19.2,0,0,0,103.0
80123,0,6,5.94,47.3,0,0,0,179.89
80124,1,14,18.93,148.9,0,1,0,158.86
80125,0,8,4.09,44.6,1,0,0,131.88
80126,1,20,6.07,51.4,0,1,1,205.7
80127,1,10,16.83,135.6,0,0,0,159.36
80128,0,9,4.28,39.7,1,0,0,192.06
80129,0,2,2.94,21.6,1,0,1,264.8
80130,0,12,8.11,58.4,1,0,0,228.78
80131,0,5,4.4,34.3,0,1,0,230.9
80132,0,6,5.11,53.7,1,1,0,274.09
80133,1,12,10.72,81.9,1,1,0,252.77
80134,0,7,12.3,100.2,0,0,1,281.39
80135,1,9,3.64,22.1,1,0,1,158.33
80136,0,6,5.86,45.4,0,1,1,229.16
80137,0,4,3.85,19.0,0,0,0,171.89
80138,1,10,1.28,20.5,1,0,0,205.79
80139,0,4,6.38,46.3,1,0,0,95.11
80140,0,7,6.34,55.2,1,1,0,195.85
80141,0,13,14.01,116.4,0,0,0,271.76
80142,1,4,7.44,54.8,1,0,0,142.69
80143,0,5,5.38,48.9,1,0,1,250.33
80144,0,11,6.52,49.2,0,1,1,271.85
80145,0,15,10.74,77.6,0,1,1,219.18
80146,1,9,2.48,26.4,0,0,1,183.45
80147,0,7,21.77,178.0,1,1,1,179.78
80148,0,7,17.12,133.3,1,1,0,190.94
80149,1,12,34.05,279.4,1,0,0,217.42
80150,0,3,24.15,198.8,1,0,0,221.86
80151,0,6,14.78,117.5,0,0,1,223.23
80152,0,8,3.77,27.2,1,0,0,155.45
80153,0,16,5.66,41.4,0,0,1,234.37
80154,1,11,23.9,186.0,0,0,1,191.39
80155,0,9,3.84,31.0,0,1,1,123.43
80156,1,7,4.97,48.5,0,1,0,191.22
80157,0,9,4.63,43.2,1,0,1,184.13
80158,0,7,5.76,45.4,0,0,1,164.11
80159,0,4,10.12,78.8,0,0,1,185.44
80160,0,11,5.5,47.1,0,0,0,195.18
80161,0,4,4.6,35.2,0,0,0,156.95
80162,0,14,5.94,51.9,0,0,1,266.09
80163,0,3,7.96,62.3,1,0,0,145.71
80164,0,4,17.77,137.3,1,0,1,203.38
80165,0,6,9.85,75.5,1,1,1,96.1
80166,0,8,16.35,141.3,1,0,0,203.48
80167,0,17,4.2,19.6,0,0,1,250.69
80168,0,5,3.23,22.2,1,1,0,149.32
80169,0,3,9.86,83.4,1,0,0,212.15
80170,0,7,22.71,179.2,1,0,0,305.28
80171,1,12,2.19,18.1,1,1,1,191.29
80172,0,1,7.36,62.7,0,0,1,248.83
80173,0,10,9.43,83.7,0,1,0,154.57
80174,0,5,2.96,14.0,1,0,1,190.1
80175,0,6,1.17,3.5,1,0,0,138.68
80176,0,6,4.15,35.4,0,0,1,174.79
80177,0,8,8.61,58.6,0,0,0,191.7
80178,0,3,9.43,70.9,1,1,0,170.49
80179,0,10,6.41,45.8,1,1,0,134.89
80180,1,3,4.95,31.1,0,1,1,171.32
80181,1,9,12.81,98.2,0,0,0,231.52
80182,1,8,10.55,88.4,0,0,1,165.21
