dti,utilization,income,default
0.2814,0.0859,56857.0,0
0.2042,0.3419,108153.0,0
0.1782,0.8267,61731.0,0
0.2755,0.3078,47138.0,0
0.2206,0.4218,33374.0,0
0.1235,0.1195,42043.0,0
0.3984,0.4004,30604.0,0
0.3486,0.5745,51519.0,0
0.1361,0.5466,55101.0,0
0.2429,0.0909,19505.0,1
0.4195,0.3083,49489.0,0
0.1689,0.3882,65733.0,0
0.1167,0.6866,52901.0,0
0.2918,0.7708,31940.0,1
0.2105,0.3485,86868.0,0
0.1424,0.6135,35876.0,0
0.4779,0.5036,28238.0,1
0.0828,0.5534,30177.0,1
0.3783,0.4198,48757.0,0
0.4719,0.1207,76376.0,0
0.3411,0.694,82917.0,0
0.1754,0.1715,53929.0,0
0.2646,0.1451,28678.0,0
0.304,0.6146,36512.0,0
0.0951,0.3065,32758.0,0
0.5748,0.1516,45277.0,0
0.3384,0.3964,22080.0,0
0.3308,0.3436,51572.0,0
0.1893,0.151,65575.0,0
0.334,0.4576,45869.0,0
0.0766,0.4892,60333.0,0
0.3036,0.0526,32149.0,0
0.5158,0.0946,25485.0,1
0.4599,0.0817,36820.0,1
0.1803,0.4082,82547.0,0
0.2561,0.8742,77957.0,0
0.2413,0.4132,39927.0,0
0.2216,0.6039,84295.0,0
0.2858,0.2522,42369.0,0
0.1682,0.4522,96829.0,0
0.1347,0.5307,60932.0,0
0.3443,0.7299,40012.0,1
0.3281,0.2337,70135.0,0
0.1527,0.449,34602.0,0
0.2961,0.555,32181.0,1
0.2236,0.8721,25521.0,0
0.3961,0.4792,55070.0,0
0.3893,0.1477,47862.0,0
0.285,0.6897,47349.0,0
0.3684,0.1844,40764.0,0
0.2592,0.2604,93625.0,0
0.1272,0.4026,40513.0,0
0.5917,0.2784,35400.0,1
0.2631,0.8095,85884.0,0
0.143,0.6802,92928.0,0
0.2906,0.3126,57096.0,0
0.2428,0.3422,22404.0,0
0.1577,0.1822,37426.0,0
0.1213,0.1204,64589.0,0
0.0975,0.27,49413.0,0
0.2009,0.2182,98650.0,0
0.1128,0.4108,26500.0,0
0.1316,0.4514,66521.0,1
0.1056,0.5078,36969.0,0
0.2635,0.3781,88909.0,0
0.4294,0.8457,47391.0,1
0.2718,0.2994,77947.0,0
0.1692,0.1477,36630.0,0
0.1864,0.2237,25997.0,0
0.2846,0.8094,29742.0,0
0.1684,0.7067,37309.0,0
0.304,0.2631,30910.0,0
0.3231,0.5349,84137.0,0
0.3029,0.3668,89546.0,0
0.4472,0.4782,55430.0,0
0.1642,0.3924,30780.0,0
0.2241,0.6265,46478.0,0
0.2287,0.7168,36001.0,0
0.1302,0.4427,94309.0,0
0.2682,0.3638,56510.0,0
0.2121,0.2216,61099.0,0
0.0989,0.3823,40951.0,0
0.2166,0.4755,19829.0,0
0.1857,0.1277,34648.0,0
0.3944,0.2997,29659.0,1
0.3552,0.272,57908.0,0
0.5313,0.3911,51197.0,1
0.2145,0.5138,34176.0,0
0.2998,0.7051,41156.0,0
0.1581,0.7848,99202.0,0
0.2408,0.2886,31834.0,0
0.5274,0.2417,32433.0,0
0.1104,0.5487,44234.0,1
0.1759,0.1732,35789.0,1
0.1957,0.3215,40419.0,0
0.4351,0.6213,62265.0,0
0.2695,0.1678,106884.0,0
0.1203,0.0536,22009.0,0
0.4595,0.1927,48620.0,0
0.2377,0.2886,49943.0,0
0.1102,0.1029,47204.0,0
0.078,0.4291,45062.0,0
0.3032,0.1092,42059.0,0
0.289,0.0559,77025.0,0
0.0829,0.5371,39763.0,0
0.4959,0.6577,46291.0,1
0.2425,0.7995,49018.0,0
0.3317,0.1849,51450.0,0
0.3681,0.2793,45393.0,0
0.1787,0.5285,76854.0,0
0.1847,0.1403,48830.0,0
0.2857,0.4532,53015.0,0
0.142,0.5406,47899.0,0
0.2808,0.1099,31215.0,0
0.1467,0.3089,33743.0,0
0.1324,0.4349,30562.0,0
0.372,0.5596,53460.0,1
0.2361,0.4711,35558.0,0
0.0957,0.2067,30405.0,0
0.2533,0.1322,54565.0,0
0.2011,0.614,62085.0,0
0.4462,0.9324,22195.0,1
0.528,0.4098,104857.0,0
0.2008,0.4992,49738.0,0
0.0849,0.4649,46755.0,0
0.3863,0.4299,79225.0,0
0.2636,0.6683,50585.0,0
0.1815,0.4267,37357.0,0
0.2487,0.5551,131605.0,0
0.2436,0.2705,30228.0,0
0.2612,0.0425,46914.0,0
0.1837,0.3497,71771.0,0
0.2552,0.3908,30293.0,0
0.3726,0.3384,46821.0,0
0.3134,0.2615,58335.0,0
0.1806,0.1151,144458.0,0
0.1289,0.398,32802.0,0
0.352,0.8037,47981.0,0
0.2621,0.4956,65935.0,0
0.2044,0.2555,50842.0,0
0.0874,0.6524,28530.0,0
0.2266,0.3104,58904.0,0
0.1312,0.391,51452.0,0
0.1414,0.3298,59906.0,0
0.3593,0.3024,81565.0,0
0.3036,0.3268,77338.0,0
0.1439,0.6622,58894.0,0
0.42,0.717,56374.0,0
0.1308,0.6281,29902.0,0
0.3288,0.2094,46146.0,0
0.1813,0.6268,54130.0,0
0.3082,0.1899,40927.0,0
0.2167,0.8091,51222.0,1
0.2438,0.5875,33813.0,1
0.1584,0.4551,97777.0,0
0.1808,0.5776,129112.0,0
0.4545,0.5189,41139.0,1
0.5136,0.2588,58698.0,0
0.4548,0.7867,44118.0,1
0.3632,0.3727,86534.0,0
0.3038,0.3008,59620.0,0
0.2391,0.2348,50757.0,0
0.1758,0.5705,44327.0,0
0.3408,0.0897,51884.0,0
0.2621,0.5936,31252.0,0
0.2969,0.1808,66436.0,0
0.3465,0.2197,35550.0,0
0.1415,0.3656,62361.0,0
0.3137,0.1877,51966.0,0
0.2218,0.655,80236.0,0
0.2841,0.498,48647.0,0
0.4485,0.2577,77682.0,0
0.5539,0.3862,32369.0,0
0.5334,0.3999,64489.0,0
0.3664,0.4142,44318.0,0
0.4034,0.0427,53498.0,0
0.1896,0.3306,50629.0,0
0.522,0.1664,74707.0,0
0.2117,0.537,19755.0,1
0.0664,0.4318,56692.0,0
0.6629,0.2753,25021.0,1
0.1308,0.5454,84378.0,0
0.2796,0.654,20176.0,1
0.2617,0.1118,31204.0,0
0.0736,0.5948,23081.0,0
0.4863,0.0746,102504.0,0
0.2755,0.675,27445.0,1
0.2916,0.3381,51599.0,0
0.5427,0.4605,38518.0,0
0.3656,0.685,21810.0,1
0.1993,0.5372,42118.0,0
0.1858,0.4042,66054.0,0
0.1548,0.3602,45120.0,0
0.3643,0.3957,74868.0,0
0.2444,0.3923,41653.0,1
0.2629,0.443,49172.0,0
0.3149,0.1405,41227.0,1
0.2563,0.1959,57217.0,0
0.1898,0.4197,115210.0,0
0.3165,0.5606,57700.0,0
0.2498,0.455,53503.0,0
0.4547,0.4103,37113.0,0
0.3461,0.2816,34893.0,0
0.4437,0.2456,94734.0,0
0.2435,0.224,29718.0,0
0.3312,0.4086,32503.0,0
0.5883,0.6459,46918.0,1
0.4016,0.409,40464.0,0
0.1762,0.388,118218.0,0
0.1107,0.3308,16902.0,0
0.0809,0.698,57677.0,0
0.2121,0.3223,67557.0,0
0.0998,0.1361,29607.0,0
0.3244,0.6376,36678.0,1
0.1972,0.4835,59556.0,0
0.1833,0.4971,102056.0,0
0.0947,0.5832,32395.0,1
0.3509,0.2753,24085.0,1
0.3047,0.297,75933.0,1
0.3616,0.55,97313.0,0
0.3552,0.3495,42160.0,1
0.2364,0.368,18102.0,0
0.3406,0.4345,94215.0,0
0.3266,0.6771,44831.0,1
0.2538,0.2564,81288.0,0
0.3424,0.0545,48071.0,0
0.1259,0.0285,41397.0,0
0.263,0.7445,40000.0,0
0.3066,0.3789,95135.0,0
0.3576,0.1085,93480.0,0
0.4556,0.6795,18732.0,1
0.2206,0.1793,32167.0,0
0.5161,0.6547,109063.0,0
0.2756,0.1718,41553.0,0
0.3697,0.2257,26577.0,1
0.1888,0.2529,49119.0,0
0.2019,0.3143,46688.0,0
0.1988,0.477,46920.0,0
0.2468,0.1856,39506.0,0
0.2329,0.5863,42636.0,0
0.2849,0.402,39928.0,0
0.3226,0.6442,56969.0,1
0.0833,0.4419,34005.0,1
0.2107,0.5229,43030.0,0
0.1612,0.2713,45943.0,0
0.2519,0.5857,88220.0,0
0.2254,0.4927,57991.0,0
0.2308,0.0902,46660.0,0
0.1808,0.155,62398.0,0
0.1519,0.1715,58850.0,0
0.3526,0.3928,79980.0,0
0.1647,0.5118,61570.0,0
0.448,0.1818,109893.0,0
0.0806,0.4638,89776.0,0
0.3605,0.6425,48125.0,0
0.1947,0.2028,40679.0,0
0.2251,0.3388,72922.0,0
0.1912,0.6607,61851.0,0
0.3722,0.5039,46978.0,1
0.2343,0.0694,25219.0,0
0.072,0.5385,21492.0,0
