session_id,brute_force,failed_logins,src_unique_ua,bytes_sent,packets,geo_rare,off_hours,pwd_len
50001,1,6,3,706,3,1,0,13
50002,0,2,3,993,1,0,0,8
50003,0,3,1,408,1,0,0,8
50004,1,7,1,206,4,0,0,10
50005,0,1,3,1622,1,0,0,13
50006,1,4,5,284,1,0,1,5
50007,1,4,5,806,1,0,0,11
50008,1,0,2,710,1,0,0,13
50009,1,3,1,579,5,1,0,13
50010,1,9,7,343,1,0,1,12
50011,0,2,2,449,1,0,0,13
50012,1,4,4,307,1,0,0,4
50013,0,0,1,869,1,1,0,15
50014,1,4,4,936,1,1,1,11
50015,0,1,2,590,1,0,1,14
50016,1,5,2,387,5,1,0,8
50017,1,2,6,2431,7,1,0,6
50018,0,3,1,256,1,0,0,15
50019,0,2,1,204,3,0,0,8
50020,0,3,4,577,1,0,1,10
50021,1,6,3,513,5,0,0,12
50022,0,0,1,1069,6,0,0,12
50023,0,1,3,787,8,0,1,13
50024,0,2,1,532,4,0,0,11
50025,1,1,3,836,3,1,1,8
50026,1,3,4,819,5,0,1,12
50027,1,3,1,2358,3,0,1,12
50028,1,4,7,760,1,1,0,6
50029,0,0,1,314,1,0,0,14
50030,1,4,4,698,5,0,1,4
50031,0,1,6,90,1,0,0,13
50032,0,3,1,542,1,0,0,9
50033,0,1,5,1067,3,0,0,12
50034,0,2,3,915,4,0,1,12
50035,1,5,1,747,1,0,1,10
50036,0,3,3,850,4,0,1,12
50037,1,3,3,1232,7,1,0,10
50038,1,4,5,1579,7,1,0,12
50039,0,3,1,748,2,0,1,16
50040,1,4,2,467,1,1,0,7
50041,0,1,1,110,5,1,0,4
50042,0,2,3,1234,2,0,1,9
50043,0,0,1,859,4,0,1,9
50044,1,1,1,566,7,0,1,10
50045,1,7,3,377,3,0,1,8
50046,1,2,1,1066,1,1,0,13
50047,0,4,3,527,1,0,0,7
50048,0,1,4,568,1,0,0,12
50049,0,1,1,477,3,0,0,12
50050,1,2,4,823,3,0,0,11
50051,0,4,1,229,7,0,0,12
50052,0,3,1,922,3,1,0,13
50053,0,6,2,382,1,1,0,11
50054,1,6,6,368,1,1,1,10
50055,0,5,1,1062,6,0,0,12
50056,1,7,1,289,1,1,1,12
50057,0,2,2,1032,1,0,0,13
50058,0,0,4,542,1,0,0,6
50059,0,6,3,198,1,0,0,10
50060,1,3,2,1407,2,0,0,8
50061,0,1,2,669,1,1,0,12
50062,1,0,3,686,1,1,0,12
50063,0,4,4,1294,1,0,0,10
50064,1,6,3,1805,2,1,1,9
50065,0,1,1,626,1,0,0,12
50066,1,2,1,818,1,0,0,10
50067,0,1,2,793,1,0,0,14
50068,0,0,1,436,1,0,0,15
50069,1,5,5,209,2,0,1,13
50070,1,5,1,727,2,0,1,11
50071,1,5,7,1588,7,0,0,15
50072,0,0,2,761,7,0,0,11
50073,0,6,2,282,2,0,0,9
50074,1,3,5,1377,4,0,0,9
50075,1,2,1,441,3,0,0,9
50076,1,6,3,144,1,0,1,10
50077,1,3,1,1127,2,0,1,12
50078,1,3,2,328,1,0,0,7
50079,0,1,5,2049,1,0,0,9
50080,1,2,1,1132,5,0,0,11
50081,0,2,2,480,1,0,0,12
50082,0,3,1,689,5,0,0,10
50083,0,3,3,3007,9,0,0,11
50084,0,4,5,1264,1,0,1,7
50085,0,1,2,622,5,0,0,8
50086,0,2,3,4785,3,0,0,10
50087,0,1,2,551,7,0,0,12
50088,0,2,2,888,1,1,0,11
50089,1,4,1,329,2,1,0,8
50090,1,7,1,182,1,0,1,10
50091,1,2,3,511,4,1,1,14
50092,0,4,4,656,1,0,0,12
50093,0,0,1,739,1,0,0,10
50094,1,1,4,225,1,1,0,8
50095,0,0,1,789,1,0,0,9
50096,0,4,5,310,1,0,0,11
50097,0,1,1,819,2,0,1,11
50098,1,6,3,1182,1,1,0,12
50099,1,6,4,449,3,0,1,11
50100,0,3,1,297,1,0,0,10
50101,0,3,6,1857,10,0,0,9
50102,0,1,2,932,1,1,0,16
50103,1,7,1,704,2,1,0,9
50104,0,0,2,1418,2,0,0,7
50105,0,4,1,576,1,0,0,6
50106,1,3,4,379,1,1,1,10
50107,0,4,1,269,2,0,1,13
50108,0,4,4,550,3,0,0,9
50109,0,3,1,1042,1,0,0,14
50110,1,4,3,1627,1,0,0,10
50111,1,0,4,527,3,0,0,13
50112,0,1,2,1214,4,0,0,9
50113,0,0,2,430,3,0,0,9
50114,0,3,2,327,1,0,1,11
50115,0,0,1,205,1,0,0,12
50116,0,2,1,378,2,0,0,10
50117,0,2,2,253,1,0,0,11
50118,0,4,2,2584,10,0,0,12
50119,1,5,3,835,2,1,1,7
50120,0,2,4,460,1,0,0,10
50121,1,5,3,1925,5,0,1,9
50122,1,4,1,207,1,0,0,9
50123,0,2,2,498,1,0,0,12
50124,0,1,1,2254,5,0,0,9
50125,1,6,7,571,1,1,0,5
50126,1,4,3,3251,7,1,0,10
50127,0,3,2,922,8,0,1,8
50128,1,1,4,1466,6,1,0,12
50129,0,4,3,1612,4,0,0,13
50130,1,3,1,502,5,0,0,5
50131,0,5,3,435,1,0,0,9
