event_id,phishing,url_length,path_length,num_dots,num_hyphens,num_subdomains,has_ip,has_https,has_at,digit_ratio,redirect_count,request_hour
100001,PHISH,80,48,5,3,0,0,0,0,0.4516,1,15
100002,BENIGN,55,41,1,2,2,0,0,0,0.2373,0,6
100003,PHISH,94,52,4,1,4,0,0,0,0.2402,1,17
100004,BENIGN,35,26,2,1,1,1,1,0,0.2696,1,12
100005,PHISH,29,22,2,1,0,0,1,0,0.3606,0,5
100006,PHISH,72,41,3,1,2,1,1,0,0.4484,1,23
100007,BENIGN,37,30,3,2,3,0,0,0,0.5415,3,22
100008,PHISH,60,40,3,1,3,0,0,0,0.7301,1,13
100009,BENIGN,29,21,0,0,0,0,0,0,0.2154,0,0
100010,BENIGN,56,34,5,2,1,0,1,1,0.2962,1,9
100011,BENIGN,73,44,0,0,1,0,1,0,0.2079,2,12
100012,BENIGN,78,47,5,3,0,1,0,0,0.7329,1,22
100013,BENIGN,52,33,2,0,0,0,1,0,0.1889,2,17
100014,BENIGN,76,52,1,1,4,0,0,0,0.5482,1,5
100015,PHISH,76,47,0,1,1,0,1,0,0.6461,1,12
100016,BENIGN,33,17,2,2,0,0,1,0,0.295,0,4
100017,BENIGN,50,33,1,0,3,0,1,0,0.2596,1,11
100018,BENIGN,50,34,2,2,0,0,0,0,0.3102,0,12
100019,PHISH,74,48,3,2,0,1,0,0,0.2959,3,12
100020,PHISH,78,50,0,2,1,0,0,0,0.2655,0,10
100021,PHISH,74,44,2,2,3,1,0,0,0.4554,1,10
100022,BENIGN,66,37,1,1,0,0,1,0,0.3618,0,19
100023,BENIGN,68,39,4,2,0,0,0,1,0.4118,0,12
100024,PHISH,80,43,6,1,1,0,0,0,0.6764,2,1
100025,BENIGN,71,44,4,1,4,0,1,0,0.3317,0,17
100026,BENIGN,27,16,1,2,0,0,1,0,0.1977,2,14
100027,BENIGN,35,20,5,3,2,0,1,0,0.1133,1,16
100028,BENIGN,51,21,3,1,0,0,1,0,0.2218,1,17
100029,BENIGN,39,19,1,1,0,0,1,0,0.1603,0,4
100030,BENIGN,54,37,3,2,0,0,0,0,0.1842,0,23
100031,BENIGN,72,42,2,0,1,0,1,0,0.4824,1,23
100032,PHISH,102,64,3,2,0,1,1,0,0.4633,2,3
100033,BENIGN,17,5,3,0,0,0,1,0,0.7364,1,5
100034,BENIGN,31,24,1,0,2,0,1,0,0.5506,0,5
100035,BENIGN,45,27,0,4,1,1,0,0,0.0969,0,23
100036,BENIGN,70,44,1,0,1,0,0,0,0.2478,0,22
100037,BENIGN,48,37,0,1,0,0,1,0,0.4942,0,6
100038,BENIGN,73,50,5,0,1,0,1,1,0.2536,1,15
100039,BENIGN,30,17,1,2,0,0,0,0,0.2051,0,5
100040,BENIGN,52,30,4,2,2,0,1,0,0.3182,1,0
100041,BENIGN,66,39,1,0,1,0,1,0,0.095,0,5
100042,BENIGN,78,50,2,0,0,0,0,0,0.4199,2,1
100043,BENIGN,80,49,3,1,0,0,0,0,0.1994,2,20
100044,PHISH,49,28,0,1,3,1,1,0,0.0738,1,18
100045,PHISH,82,55,1,3,0,0,0,1,0.1893,1,4
100046,BENIGN,79,48,2,2,2,0,0,0,0.3012,0,13
100047,BENIGN,69,50,1,0,1,0,1,0,0.3066,1,4
100048,BENIGN,64,39,2,0,2,0,1,0,0.0798,4,13
100049,PHISH,44,33,2,1,2,0,0,0,0.291,3,21
100050,BENIGN,8,6,3,0,0,0,1,0,0.3296,0,21
100051,BENIGN,63,42,0,0,1,0,1,0,0.0631,0,19
