ticket_id,sport,market,american_odds,implied_prob,is_home,is_favorite,public_pct,line_move,clv_cents,hours_to_start,stake_usd,rest_days,injury_star,weather_flag,live_bet,result
100000,NHL,moneyline,110,0.4762,0,0,63.5,0.15,10.3,19.5,12.42,1,0,0,0,Won
100001,NBA,spread,-110,0.5238,1,0,47.5,-0.64,-3.7,18.1,16.6,0,1,0,0,Lost
100002,NHL,spread,-110,0.5238,0,1,56.4,0.82,-0.6,11.5,6.94,3,1,0,0,Lost
100003,MLB,total,-110,0.5238,1,0,67.2,1.37,-11.9,10.2,86.85,3,0,0,0,Lost
100004,NFL,spread,-115,0.5349,1,0,51.4,-1.77,9.3,66.3,34.16,2,1,0,0,Won
100005,Soccer,spread,-105,0.5122,0,1,60.8,-0.36,-8.6,18.9,136.83,1,0,0,0,Lost
100006,NHL,spread,-110,0.5238,0,0,55.0,-0.59,-25.5,25.1,53.42,2,0,0,0,Lost
100007,NHL,total,-115,0.5349,0,0,55.7,0.64,-6.8,18.3,19.63,0,0,0,0,Lost
100008,NFL,total,-110,0.5238,0,0,66.2,1.48,-11.8,17.1,5.55,4,0,1,0,Lost
100009,NBA,spread,-120,0.5455,0,0,43.5,0.1,-34.0,96.0,40.09,1,0,0,0,Lost
100010,NBA,total,-110,0.5238,1,1,63.7,-0.23,-8.4,27.5,221.6,2,0,0,0,Lost
100011,Soccer,spread,-110,0.5238,0,0,71.9,0.4,7.9,96.0,67.4,1,0,1,0,Won
100012,MLB,total,-110,0.5238,1,1,88.6,-0.24,-0.5,33.1,26.54,0,0,1,0,Lost
100013,NHL,spread,-110,0.5238,0,0,41.7,-2.25,9.4,9.1,66.79,2,0,0,1,Lost
100014,NBA,spread,-110,0.5238,0,0,62.0,0.51,15.6,50.4,60.05,1,1,0,0,Lost
100015,NFL,spread,-105,0.5122,1,1,63.7,1.11,-8.4,15.3,100.05,2,0,0,0,Lost
100016,MLB,total,-110,0.5238,1,1,61.8,1.21,-15.2,64.9,13.31,3,0,0,0,Lost
