education_years,age,experience_years,experience_sq,tenure_years,female,married,union_member,urban,south_region,nonwhite,hours_worked_weekly,firm_size_log,health_score,computer_skills_score,sibling_count,commute_minutes,household_size,coffee_cups_per_day,savings_rate_pct,hourly_wage,log_hourly_wage
13.0,36.0,18.1,327.61000000000007,7.4,1,0,1,1,0,1,40.9,4.334944629815364,89.4,71.6,0,14.2,1,1,17.4,31.55,3.4515
14.0,43.0,24.6,605.1600000000001,14.5,1,1,1,0,1,1,45.1,4.016584959655925,68.2,64.7,4,41.5,2,3,6.9,48.34,3.8783
12.0,37.0,17.5,306.25,13.8,1,0,0,1,0,0,41.2,6.137590371779144,75.8,15.1,5,37.3,4,3,-4.8,21.24,3.0558
11.0,30.0,14.9,222.01000000000002,9.2,0,1,1,1,1,0,45.8,5.0768123703488595,88.4,25.5,0,22.8,4,1,10.8,51.08,3.9333
12.0,44.0,25.3,640.09,20.6,0,0,0,1,0,0,46.9,5.725564526455614,55.3,62.2,5,48.3,3,1,6.2,51.65,3.9445
10.0,32.0,14.5,210.25,9.5,1,0,0,1,0,1,37.5,3.3721890123932052,66.8,80.1,1,20.5,3,1,0.9,17.92,2.8858
13.0,35.0,15.7,246.48999999999998,9.5,0,0,0,1,0,1,36.9,5.623838598390394,82.0,40.7,2,42.4,1,2,5.4,33.45,3.5101
17.0,32.0,6.8,46.239999999999995,4.2,1,0,1,0,0,0,45.0,4.566691485836004,66.9,67.9,2,32.8,4,3,4.0,25.82,3.251
12.0,32.0,14.0,196.0,4.8,1,0,0,1,0,0,53.1,4.201241208075199,65.2,21.5,2,42.0,1,0,10.0,9.67,2.2695
11.0,42.0,25.4,645.16,12.4,1,1,0,1,0,1,27.5,3.6426826370130656,68.7,20.1,2,27.3,4,1,11.0,19.36,2.9634
14.0,27.0,6.7,44.89,5.4,1,1,1,1,1,0,37.5,3.700618085610072,66.9,27.8,2,33.0,4,0,3.1,14.67,2.686
14.0,39.0,19.8,392.04,11.2,0,1,0,1,0,1,45.5,3.919989086459307,66.7,59.6,3,26.1,2,0,3.2,43.13,3.7643
13.0,45.0,25.5,650.25,9.3,1,0,1,0,1,0,36.4,4.688867711992642,75.3,54.2,4,0.0,2,3,13.7,36.15,3.5876
