priority,weapon,injury,offense,time-band,location,district,repeat-site,witness,cctv,alcohol,gang-flag,juvenile,domestic,vehicle,weekday,shift,precinct-size,report-delay,officer-count,clearance,file-flag
r,o,n,r,d,c,d,f,f,f,f,f,t,f,f,t,a,s,i,m,o,i
r,n,m,t,e,c,e,t,t,t,f,t,f,f,f,f,b,m,i,o,?,i
r,o,n,a,d,s,b,f,f,f,f,f,f,f,f,t,c,m,i,m,o,i
p,f,n,t,d,s,d,f,f,f,f,f,t,f,t,t,a,l,s,o,?,i
r,n,s,t,d,p,c,f,t,t,f,f,f,f,f,f,b,s,i,o,c,i
p,u,m,r,n,s,d,f,f,f,f,f,f,f,t,t,a,m,s,m,?,i
r,o,n,t,e,s,a,f,f,f,f,f,f,f,f,t,a,s,i,o,o,i
p,o,s,h,e,h,b,f,t,f,t,t,f,f,t,t,a,l,i,o,c,i
r,n,n,a,e,c,b,f,f,t,f,f,f,t,f,f,c,m,i,o,o,i
r,n,m,a,d,h,c,f,t,f,t,f,f,f,f,t,b,s,s,o,o,i
p,n,n,d,d,s,a,t,f,f,f,f,f,f,t,f,b,s,i,m,c,i
r,u,n,b,d,h,c,f,f,t,f,f,f,f,f,t,b,s,i,o,c,i
p,f,n,r,e,h,c,f,t,t,t,f,f,f,f,t,b,s,l,m,o,i
p,o,n,r,n,c,a,f,t,t,f,f,f,f,f,f,a,m,i,o,?,i
r,n,n,d,d,p,b,f,t,t,f,f,t,f,t,f,c,l,i,o,?,i
r,n,n,t,e,s,a,t,f,f,f,f,f,f,f,t,a,m,s,m,c,i
p,k,m,t,n,c,f,t,t,f,f,f,f,f,t,t,a,s,i,o,o,i
r,n,n,h,n,c,a,f,f,f,f,f,f,f,f,t,c,s,i,o,c,i
p,o,n,t,d,c,d,f,t,t,f,f,f,f,f,t,a,m,s,m,?,i
p,k,s,v,n,h,c,t,f,f,f,f,f,f,t,t,b,l,i,o,c,i
p,f,m,r,e,s,b,f,f,t,f,f,f,f,f,t,a,s,i,m,o,i
p,n,s,b,e,c,e,f,f,t,f,f,f,f,f,t,a,l,i,m,c,i
p,u,n,v,n,h,d,t,f,f,t,f,f,f,f,t,b,l,i,m,?,i
p,u,n,h,d,h,d,t,f,f,t,f,f,f,f,t,b,m,l,o,o,i
r,o,n,t,n,s,a,f,f,f,f,f,t,f,f,f,b,m,i,o,?,i
r,n,n,r,e,s,b,f,f,f,f,t,t,f,f,t,c,m,s,o,o,i
r,n,n,v,n,s,b,t,t,f,t,f,f,t,t,t,c,m,s,o,c,i
p,n,s,a,n,s,c,f,t,f,f,f,f,f,f,t,a,m,i,m,c,i
r,n,n,d,e,s,f,f,t,f,t,f,t,t,f,t,c,s,s,o,o,i
p,f,m,a,d,s,c,f,f,t,f,t,f,t,f,t,b,l,i,o,?,i
p,f,n,t,d,s,b,f,f,t,f,f,f,f,t,f,b,l,i,o,c,i
r,u,n,d,n,s,a,f,f,f,f,t,f,f,t,t,c,s,s,o,o,i
r,n,n,d,e,t,c,f,t,t,t,f,f,f,f,t,b,m,i,m,?,i
p,n,f,t,n,h,a,f,f,f,f,t,f,f,t,t,c,m,l,m,c,i
r,n,n,v,d,h,b,t,f,t,f,f,t,t,f,t,a,l,i,o,o,i
r,n,n,t,e,c,f,f,t,f,t,f,f,f,f,f,a,m,i,m,?,i
r,n,n,t,n,h,d,t,f,f,t,t,f,f,f,t,b,s,i,o,o,i
r,n,m,t,n,s,b,f,f,t,f,f,t,f,f,t,b,m,i,o,c,i
r,n,f,d,d,h,b,f,t,f,f,f,f,f,f,f,c,m,i,o,c,i
p,f,s,t,d,s,d,f,t,f,f,f,f,f,t,f,c,m,i,o,o,i
p,n,m,t,n,h,a,f,t,t,t,f,f,t,f,t,b,m,s,o,c,i
p,o,f,v,n,s,f,f,t,t,f,f,f,f,t,t,a,l,i,o,o,i
p,f,m,a,e,h,d,t,f,t,f,f,f,f,t,f,b,s,i,m,o,i
r,n,n,t,e,s,c,f,t,t,f,f,t,f,f,t,a,m,i,o,?,i
r,o,n,t,d,s,e,t,t,t,f,f,f,t,f,t,a,m,i,m,c,i
r,o,n,v,d,c,b,t,f,t,t,f,f,f,f,t,c,m,i,o,?,i
p,n,n,r,d,s,a,f,f,t,f,t,f,f,f,f,a,l,s,o,o,i
r,n,n,v,d,h,d,f,t,f,f,f,t,t,f,t,a,m,i,m,?,i
p,f,n,t,n,s,a,t,f,t,f,f,f,f,f,t,a,s,i,o,o,i
p,n,s,a,d,c,a,f,t,t,f,f,f,f,f,t,a,m,s,m,o,i
p,n,f,v,n,h,f,f,t,f,f,f,f,f,f,f,a,m,s,o,c,i
r,n,n,t,e,p,e,f,f,f,f,t,f,f,f,f,a,m,s,o,c,i
r,o,m,t,d,h,a,f,f,f,f,f,f,f,f,t,b,m,s,o,o,i
r,f,n,a,d,t,f,f,f,f,f,f,f,f,f,t,c,l,i,m,c,i
p,f,n,a,d,s,a,f,t,t,f,f,f,f,f,f,c,l,i,o,o,i
r,o,n,t,e,c,e,f,f,f,f,f,f,f,t,t,a,l,l,m,o,i
r,n,n,h,n,h,c,t,t,f,f,t,f,f,f,f,b,m,i,o,o,i
r,k,n,b,n,h,c,t,t,t,f,f,f,f,f,t,a,m,s,o,o,i
r,n,n,r,n,c,d,f,f,f,f,f,f,f,f,t,b,l,s,o,c,i
r,n,n,t,n,t,a,f,f,f,t,t,t,f,f,t,b,m,s,o,o,i
p,f,n,r,n,c,f,f,f,f,f,f,f,f,f,t,c,m,i,o,o,i
p,n,s,b,e,s,a,f,t,t,f,f,f,f,t,t,a,s,s,m,?,i
p,k,n,d,e,h,f,f,f,f,f,f,t,f,t,t,c,l,s,m,?,i
r,o,n,a,d,s,a,f,f,f,f,f,f,f,f,t,b,m,s,m,o,i
r,k,n,v,d,c,a,f,f,f,f,f,f,t,t,f,c,s,i,m,c,i
