status,attendance,homework,prior-gpa,study-hours,parent-ed,first-gen,internet,extra-help,course-load,commute,sleep-band,device,peer-group,home-lang,iep,sports,job-hours,tardies,class-size,school-type,setting,advisor,roster-flag
o,s,c,h,m,b,f,t,f,l,c,s,l,s,e,f,f,n,f,l,p,u,b,e
o,u,c,h,m,b,t,t,f,n,w,a,p,m,o,f,f,n,r,l,p,r,f,e
r,r,c,l,l,b,f,t,f,h,b,s,l,s,e,f,t,n,f,m,p,s,b,e
r,s,m,m,m,p,t,t,f,h,c,a,p,m,e,f,f,n,r,s,i,u,?,e
r,a,p,l,m,g,f,t,f,l,b,a,p,s,e,f,f,h,o,m,p,s,?,e
r,n,c,l,l,p,f,f,t,h,w,a,l,s,o,f,f,n,o,s,c,s,?,e
r,s,p,m,m,g,f,t,f,l,c,s,t,s,e,f,f,h,o,l,p,s,f,e
o,s,c,m,l,p,f,t,f,l,b,a,p,d,o,t,t,n,r,m,c,u,f,e
o,a,c,m,m,b,t,t,f,n,n,v,l,m,e,f,t,n,r,m,p,r,b,e
r,u,p,m,m,b,f,t,f,n,w,a,t,m,e,f,f,l,r,m,p,u,f,e
o,u,p,m,h,b,f,t,f,h,b,a,n,s,e,f,t,l,o,l,c,u,b,e
r,n,p,h,h,b,f,f,t,h,c,v,l,s,e,t,f,n,r,l,p,u,b,e
r,s,p,h,m,g,f,t,f,n,w,a,p,m,e,f,f,n,f,m,p,s,f,e
r,r,p,l,h,b,f,f,t,n,c,a,l,m,e,f,f,l,r,m,p,s,?,e
o,u,m,h,m,s,t,t,f,l,c,s,p,m,e,t,f,n,r,s,p,s,f,e
o,a,c,m,m,s,f,t,f,h,w,a,l,d,e,f,t,n,f,m,p,s,?,e
r,u,p,l,h,b,t,t,f,n,b,s,t,d,e,f,f,n,r,m,p,u,f,e
o,a,p,m,m,s,f,t,t,l,w,a,l,s,e,f,t,l,o,m,c,s,?,e
r,r,c,m,m,p,f,t,f,h,n,v,n,s,e,f,t,l,o,m,p,r,?,e
o,s,c,h,m,n,f,t,t,l,n,s,p,d,o,f,f,n,r,s,p,r,b,e
r,s,c,l,l,s,t,t,t,l,b,a,p,d,o,f,f,n,f,l,p,u,b,e
r,u,c,m,h,b,f,f,f,h,n,a,p,s,e,f,t,h,f,l,c,s,b,e
r,n,p,m,h,n,f,t,f,l,b,a,p,d,e,f,t,l,o,l,c,s,?,e
r,r,c,l,l,n,t,t,t,l,c,a,l,m,e,f,t,n,r,m,p,r,f,e
o,s,p,h,l,p,t,t,f,n,b,v,n,m,o,f,f,n,r,s,c,r,b,e
o,a,c,m,m,s,t,t,f,n,w,a,l,m,e,f,f,h,r,l,p,s,f,e
o,u,c,h,m,s,t,t,t,h,b,a,p,s,e,t,t,n,r,m,p,u,b,e
o,a,c,h,l,p,f,t,f,n,b,a,p,m,e,f,f,n,o,m,c,u,?,e
o,a,c,m,m,s,f,t,t,n,b,a,t,m,o,f,f,l,r,m,c,u,f,e
r,s,m,m,h,b,t,t,f,l,b,a,t,s,e,f,t,n,r,m,c,u,?,e
o,s,c,m,h,n,t,t,f,n,n,a,l,s,e,f,t,n,o,l,p,s,?,e
r,n,c,m,h,p,f,f,t,h,c,a,t,m,e,t,f,l,o,m,p,u,b,e
r,u,c,l,l,g,t,t,t,n,b,v,l,s,e,f,f,n,f,l,p,s,b,e
o,u,c,l,m,g,f,t,t,l,b,a,n,m,e,f,f,n,f,m,p,u,b,e
o,u,p,h,m,p,f,f,f,n,c,a,l,d,e,f,f,n,o,l,p,u,?,e
o,a,p,l,h,b,f,t,f,n,b,s,p,m,e,f,t,h,o,m,p,r,?,e
o,a,c,h,h,s,t,f,f,h,b,a,p,m,e,f,t,n,o,m,c,s,b,e
o,u,p,m,m,g,f,f,f,n,b,a,t,m,e,f,f,l,r,m,c,s,f,e
o,a,p,m,l,b,f,t,f,n,n,s,t,m,e,t,f,l,r,m,p,s,?,e
r,s,m,m,m,s,f,t,f,h,b,s,l,d,e,f,t,l,r,m,p,u,b,e
r,u,p,h,l,n,f,t,t,l,b,a,p,d,e,f,f,n,r,m,i,u,b,e
r,r,c,m,m,s,t,t,f,n,c,v,l,m,e,f,f,h,r,m,p,u,f,e
r,s,p,h,m,g,f,t,f,n,c,v,p,m,e,f,t,n,o,m,p,u,b,e
o,u,m,h,m,b,t,t,f,n,c,a,l,s,e,f,f,n,r,m,p,s,?,e
o,r,c,m,h,b,f,t,t,l,b,a,p,s,e,f,t,n,f,l,i,u,b,e
r,r,m,m,m,n,f,t,f,h,n,s,p,s,e,f,t,l,r,l,p,r,b,e
o,u,m,m,l,s,f,t,f,l,c,a,p,s,o,f,f,n,r,s,p,r,?,e
o,u,c,m,h,n,f,t,t,n,c,a,l,s,e,f,t,l,f,l,p,u,f,e
