TxnNo,ProductCode,Description,Quantity,TxnDate,UnitAmount,CustomerID,Region
R547654,CCD100,CARD PURCHASE,-1,12.11.2011 22:01,24.2,42161.0,West
543305,SAV100,SAVINGS DEPOSIT,1,14.11.2011 07:47,404.22,,Southwest
551200,INT100,INTEREST CREDIT,1,10.08.2011 20:49,73.16,42985.0,West
543057,INT100,INTEREST CREDIT,1,29.03.2011 17:04,37.98,41398.0,California
538261,DDA101,CHECKING ACH CREDIT,1,17.07.2011 15:53,38.39,41124.0,Mountain
547710,SAV100,SAVINGS DEPOSIT,1,21.11.2011 16:45,22.12,42186.0,Northeast
536483,DDA101,CHECKING ACH CREDIT,3,06.12.2011 16:45,27.13,,New York Metro
537299,ATM100,ATM WITHDRAWAL,1,08.09.2011 04:25,212.41,41073.0,Texas
552678,ACH200,ACH BILL PAY,1,27.01.2011 16:45,9.15,43424.0,Carolinas
544740,FEE100,MONTHLY SERVICE FEE,1,04.12.2011 05:02,339.15,41494.0,New York Metro
550642,SAV100,SAVINGS DEPOSIT,3,29.08.2011 16:45,18.65,,New York Metro
543763,ACH200,ACH BILL PAY,1,05.01.2011 21:21,44.8,41440.0,Southwest
550059,DDA101,CHECKING ACH CREDIT,1,01.09.2011 15:22,45.77,42733.0,Great Lakes
549725,INT100,INTEREST CREDIT,1,09.04.2011 13:27,36.95,42662.0,New York Metro
550626,ACH100,ACH PAYROLL,1,17.04.2011 19:46,39.2,,West
544178,ACH100,ACH PAYROLL,1,03.04.2011 00:24,239.56,41464.0,Pacific NW
553125,DDA101,CHECKING ACH CREDIT,1,27.12.2010 04:44,35.32,43726.0,New York Metro
545580,CCD200,CARD PAYMENT,1,08.03.2011 16:52,126.36,41542.0,New York Metro
549809,POS100,POS PURCHASE,1,02.08.2011 20:08,102.78,,Southwest
543235,CCD200,CARD PAYMENT,1,19.10.2011 20:03,118.55,,California
552286,DDA200,CHECKING DEBIT CARD,1,21.07.2011 04:52,19.52,43210.0,Texas
552792,WIR100,WIRE IN,1,31.12.2010 16:45,46.36,43498.0,New York Metro
546970,FEE100,MONTHLY SERVICE FEE,1,18.10.2011 09:06,21.14,41885.0,New York Metro
544410,DDA200,CHECKING DEBIT CARD,1,09.05.2011 06:48,60.87,41478.0,Northeast
553959,WIR100,WIRE IN,1,17.01.2011 16:45,12.67,44272.0,California
547455,CCD200,CARD PAYMENT,1,11.09.2011 15:21,47.04,42081.0,Carolinas
536665,ACH200,ACH BILL PAY,1,15.10.2011 15:42,240.68,41039.0,New York Metro
540614,FEE100,MONTHLY SERVICE FEE,1,02.01.2011 11:06,132.7,41261.0,California
549023,DDA101,CHECKING ACH CREDIT,1,16.03.2011 02:37,26.21,,Florida
539658,SAV200,SAVINGS TRANSFER,1,24.01.2011 21:55,51.17,41204.0,Southwest
544690,ACH100,ACH PAYROLL,1,07.12.2011 23:34,70.41,41492.0,Carolinas
538023,ACH100,ACH PAYROLL,3,05.08.2011 22:02,49.0,41111.0,Florida
537723,CCD100,CARD PURCHASE,1,10.08.2011 17:18,21.44,41096.0,Southwest
552505,SAV100,SAVINGS DEPOSIT,1,21.05.2011 16:45,54.95,43310.0,Carolinas
550164,FEE100,MONTHLY SERVICE FEE,1,27.02.2011 21:01,72.2,42752.0,Northeast
552577,DDA200,CHECKING DEBIT CARD,1,29.05.2011 16:45,22.36,43358.0,Midwest
549624,INT100,INTEREST CREDIT,2,23.09.2011 16:45,35.87,42641.0,Northeast
542337,ACH200,ACH BILL PAY,2,10.11.2011 22:31,7.71,,Southeast
545405,SAV100,SAVINGS DEPOSIT,1,08.01.2011 12:19,31.56,41534.0,California
550875,ACH200,ACH BILL PAY,5,07.07.2011 22:23,32.25,,New York Metro
543875,ACH200,ACH BILL PAY,1,26.12.2010 03:27,113.57,41446.0,Southeast
551383,DDA200,CHECKING DEBIT CARD,1,11.09.2011 18:40,47.06,43021.0,Northeast
537991,CCD200,CARD PAYMENT,1,04.08.2011 03:10,638.23,41110.0,Great Lakes
552556,DDA101,CHECKING ACH CREDIT,2,05.02.2011 16:45,16.03,43343.0,Southeast
549759,DDA200,CHECKING DEBIT CARD,1,08.06.2011 10:56,71.3,,Texas
539363,DDA200,CHECKING DEBIT CARD,1,19.08.2011 17:06,378.72,41187.0,West
R544507,DDA101,CHECKING ACH CREDIT,-1,28.06.2011 01:12,62.3,41483.0,Great Lakes
552663,ATM100,ATM WITHDRAWAL,1,25.02.2011 00:28,8.96,43413.0,Northeast
548898,SAV100,SAVINGS DEPOSIT,1,01.06.2011 12:40,12.82,42486.0,Midwest
547986,ATM100,ATM WITHDRAWAL,1,05.12.2011 02:52,25.03,42293.0,West
550009,DDA101,CHECKING ACH CREDIT,2,15.09.2011 03:53,31.59,42723.0,Florida
549217,FEE100,MONTHLY SERVICE FEE,1,17.08.2011 16:45,154.78,,West
552862,SAV100,SAVINGS DEPOSIT,1,30.05.2011 16:45,13.61,43545.0,New York Metro
543720,CCD200,CARD PAYMENT,1,24.12.2010 11:13,31.85,41437.0,West
552536,POS100,POS PURCHASE,1,11.03.2011 16:45,28.31,43331.0,Midwest
547697,CCD100,CARD PURCHASE,1,04.10.2011 13:09,79.0,42181.0,New York Metro
552071,SAV200,SAVINGS TRANSFER,1,18.02.2011 08:06,87.92,43166.0,West
546819,ACH100,ACH PAYROLL,1,09.11.2011 16:45,19.3,41825.0,New York Metro
553272,CCD200,CARD PAYMENT,1,28.07.2011 16:45,14.5,,New York Metro
539123,DDA100,CHECKING DEPOSIT,1,28.11.2011 16:45,50.96,41171.0,Northeast
541255,FEE100,MONTHLY SERVICE FEE,1,15.11.2011 19:36,1032.85,41298.0,West
550160,POS100,POS PURCHASE,1,02.07.2011 05:04,70.68,,Northeast
550505,ATM100,ATM WITHDRAWAL,3,18.05.2011 19:31,28.63,42828.0,Southeast
545387,WIR100,WIRE IN,1,08.12.2011 16:45,89.16,41532.0,Texas
550709,POS100,POS PURCHASE,1,13.02.2011 04:08,26.2,,New York Metro
544358,CCD100,CARD PURCHASE,1,02.09.2011 16:21,117.21,,Texas
547152,ATM100,ATM WITHDRAWAL,1,08.12.2011 16:45,26.62,41958.0,Northeast
541989,DDA100,CHECKING DEPOSIT,1,07.10.2011 16:39,44.23,41339.0,Texas
545104,ACH200,ACH BILL PAY,1,24.10.2011 06:10,523.23,41514.0,Midwest
542551,SAV200,SAVINGS TRANSFER,2,13.01.2011 06:17,19.41,41370.0,New York Metro
539594,ACH200,ACH BILL PAY,1,16.06.2011 14:51,131.28,,California
545620,WIR200,WIRE OUT,1,08.09.2011 01:00,329.25,41545.0,Northeast
551119,POS100,POS PURCHASE,1,25.07.2011 03:07,58.69,42967.0,Florida
553550,DDA101,CHECKING ACH CREDIT,1,17.06.2011 16:45,7.75,44009.0,Southwest
551842,FEE100,MONTHLY SERVICE FEE,1,23.08.2011 22:51,90.49,,Northeast
542442,SAV200,SAVINGS TRANSFER,1,31.07.2011 00:45,413.94,41365.0,New York Metro
545748,CCD100,CARD PURCHASE,1,30.10.2011 03:51,364.17,,New York Metro
545862,INT100,INTEREST CREDIT,1,21.10.2011 12:35,234.11,41559.0,Southwest
546780,ACH200,ACH BILL PAY,1,21.11.2011 16:45,22.02,41809.0,Southwest
R547957,WIR100,WIRE IN,-1,25.11.2011 16:45,12.02,42282.0,California
537634,FEE100,MONTHLY SERVICE FEE,1,02.08.2011 19:45,80.56,,New York Metro
545732,SAV100,SAVINGS DEPOSIT,1,22.02.2011 06:07,73.92,41552.0,New York Metro
539842,FEE100,MONTHLY SERVICE FEE,1,14.11.2011 23:21,155.99,41215.0,Great Lakes
543794,ACH100,ACH PAYROLL,1,14.03.2011 22:14,220.83,41441.0,California
539950,SAV200,SAVINGS TRANSFER,1,13.09.2011 19:51,164.02,41222.0,New York Metro
543288,INT100,INTEREST CREDIT,2,30.10.2011 16:19,23.78,41411.0,West
538116,INT100,INTEREST CREDIT,1,22.11.2011 02:08,116.73,41116.0,Great Lakes
553146,ATM100,ATM WITHDRAWAL,1,18.12.2010 16:45,45.2,43739.0,Texas
545177,SAV100,SAVINGS DEPOSIT,1,18.02.2011 17:22,111.45,41519.0,California
539003,ACH200,ACH BILL PAY,1,02.06.2011 16:25,44.04,41164.0,West
548508,ATM100,ATM WITHDRAWAL,2,18.07.2011 09:15,12.94,,Great Lakes
544207,FEE100,MONTHLY SERVICE FEE,1,18.02.2011 03:17,72.55,41465.0,Northeast
548079,WIR200,WIRE OUT,1,27.03.2011 15:33,83.48,42314.0,California
554016,POS100,POS PURCHASE,1,14.02.2011 16:45,21.98,,Midwest
546421,ACH200,ACH BILL PAY,1,13.11.2011 16:45,48.36,41668.0,Southeast
549423,INT100,INTEREST CREDIT,1,03.07.2011 00:02,71.53,42602.0,Mountain
541943,ACH100,ACH PAYROLL,1,19.11.2011 20:21,3568.66,,New York Metro
551787,DDA101,CHECKING ACH CREDIT,1,06.09.2011 16:45,89.49,43106.0,Midwest
546751,WIR100,WIRE IN,1,29.11.2011 16:50,28.91,41798.0,Northeast
538772,ACH200,ACH BILL PAY,1,16.08.2011 02:04,47.28,41151.0,Northeast
543963,WIR100,WIRE IN,1,26.04.2011 00:22,103.49,41450.0,Northeast
542701,WIR200,WIRE OUT,2,09.02.2011 16:52,130.62,41379.0,Texas
552513,CCD100,CARD PURCHASE,1,08.06.2011 16:45,20.49,43316.0,New York Metro
547458,INT100,INTEREST CREDIT,5,24.10.2011 10:51,10.41,42082.0,New York Metro
547033,SAV100,SAVINGS DEPOSIT,1,29.09.2011 22:42,49.22,41910.0,California
543136,INT100,INTEREST CREDIT,1,02.07.2011 20:46,190.93,,Southwest
546156,ACH100,ACH PAYROLL,1,30.07.2011 10:37,44.99,41576.0,Northeast
544652,DDA100,CHECKING DEPOSIT,1,28.04.2011 17:31,106.94,,California
542765,POS100,POS PURCHASE,1,02.06.2011 14:01,125.2,41382.0,West
546519,DDA100,CHECKING DEPOSIT,1,26.09.2011 09:48,33.09,41704.0,Great Lakes
548997,WIR100,WIRE IN,5,19.03.2011 17:28,67.3,42507.0,Northeast
551857,WIR100,WIRE IN,3,26.05.2011 20:39,53.17,43123.0,Great Lakes
543706,ATM100,ATM WITHDRAWAL,5,16.10.2011 09:55,45.85,41437.0,West
551076,FEE100,MONTHLY SERVICE FEE,1,25.04.2011 14:10,24.58,42957.0,California
546227,DDA100,CHECKING DEPOSIT,1,19.11.2011 06:54,25.77,41587.0,Midwest
540281,DDA200,CHECKING DEBIT CARD,1,26.11.2011 16:45,81.48,41242.0,New York Metro
548421,WIR100,WIRE IN,1,17.06.2011 14:02,91.09,,Florida
548026,WIR100,WIRE IN,1,22.08.2011 05:27,45.22,42303.0,Southeast
551658,CCD100,CARD PURCHASE,5,03.08.2011 01:19,2.9,,New York Metro
548151,CCD100,CARD PURCHASE,1,29.07.2011 16:45,26.84,42329.0,Florida
545368,POS100,POS PURCHASE,1,17.10.2011 23:46,307.93,,New York Metro
536599,DDA101,CHECKING ACH CREDIT,1,05.08.2011 01:35,320.88,41036.0,California
554238,SAV200,SAVINGS TRANSFER,1,04.03.2011 00:08,14.32,44454.0,Southeast
551989,CCD100,CARD PURCHASE,1,15.06.2011 16:04,19.35,43152.0,Midwest
R549033,DDA200,CHECKING DEBIT CARD,-1,12.08.2011 11:50,150.11,42517.0,California
546192,ACH200,ACH BILL PAY,1,06.11.2011 03:44,58.41,41578.0,Carolinas
545946,WIR200,WIRE OUT,1,05.12.2011 06:56,162.92,,Pacific NW
551911,SAV100,SAVINGS DEPOSIT,1,16.07.2011 02:30,50.4,43135.0,New York Metro
538284,WIR200,WIRE OUT,1,23.01.2011 19:09,361.6,,Northeast
