BookingNo,PackageCode,Description,Quantity,StayDate,UnitRate,GuestID,Destination
545776,HTL202,HOTEL NIGHT OCEAN VIEW,2,20.09.2011 13:53,208.99,71434.0,USA-Orlando
543542,TOU210,CITY WALKING TOUR,3,27.07.2011 20:45,1460.07,71269.0,USA-NYC
541559,TIX100,PARK / ATTRACTION TICKET,1,28.03.2011 00:05,77.57,71121.0,USA-NYC
553810,TOU320,VOLCANO DAY TRIP,4,26.04.2011 10:02,23.43,74033.0,Mexico
540223,FEE050,RESORT FEE,2,03.02.2011 05:43,230.15,71019.0,Costa Rica
542802,TOU320,VOLCANO DAY TRIP,2,24.11.2011 18:00,48.2,71212.0,Spain
543782,CXL000,CANCELLATION FEE,1,04.12.2011 18:00,452.95,,Italy
C546009,TOU540,SUNSET CATAMARAN,-1,07.04.2011 11:08,113.57,71450.0,Spain
553475,TRF100,AIRPORT TRANSFER,1,17.03.2011 18:00,40.33,73810.0,Dominican Republic
550195,TIX100,PARK / ATTRACTION TICKET,4,01.06.2011 00:09,71.23,72574.0,Italy
540413,PKG500,ALL-INCLUSIVE NIGHT,2,13.02.2011 01:06,188.7,71031.0,Costa Rica
544513,TOU210,CITY WALKING TOUR,1,28.02.2011 08:32,134.66,,Thailand
548280,TIX100,PARK / ATTRACTION TICKET,3,24.10.2011 15:42,28.5,71940.0,Japan
548845,TOU210,CITY WALKING TOUR,1,20.11.2011 18:00,21.71,72224.0,Dominican Republic
553693,TOU210,CITY WALKING TOUR,2,30.12.2010 07:18,62.75,73953.0,Italy
548988,TOU540,SUNSET CATAMARAN,3,13.02.2011 05:04,179.28,72282.0,Italy
548354,TOU320,VOLCANO DAY TRIP,1,06.12.2011 18:00,76.83,,Japan
552791,FEE050,RESORT FEE,1,23.03.2011 18:00,16.69,73332.0,Italy
545953,FNB110,BREAKFAST PACKAGE,1,04.01.2011 03:11,110.63,71446.0,Costa Rica
549672,FEE050,RESORT FEE,2,08.04.2011 07:19,47.4,72443.0,USA-NYC
546807,TRF100,AIRPORT TRANSFER,1,17.07.2011 17:03,170.38,71509.0,Greece
553129,HTL303,SUITE NIGHT,1,30.06.2011 18:00,15.71,73568.0,Mexico
544831,HTL101,HOTEL NIGHT GARDEN VIEW,1,27.10.2011 02:02,121.6,71365.0,United Kingdom
