country,region,year,quarter,income_group,primary_export_sector,currency_regime,imf_program_active,population,gdp_per_capita_usd,exports_pct_gdp,imports_pct_gdp,tourism_arrivals_millions,tourism_revenue_pct_gdp,fdi_inflow_pct_gdp,inflation_rate_pct,unemployment_rate_pct,central_bank_rate_pct,government_debt_pct_gdp,fiscal_balance_pct_gdp,trade_balance_pct_gdp,commodity_export_price_index,exchange_rate_volatility_index,education_spending_pct_gdp,political_stability_index,natural_disaster_event,disaster_damage_pct_gdp,imf_next_year_growth_forecast_pct,gdp_growth_rate_pct
El Salvador,Central America,2005,Q2,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),Yes,"6,228,492 people","$4,061",35.3%,44.1%,0.19 million visitors,1.9%,4.7%,5.5%,5.7%,5.7%,70.9%,(7.1%),(9.8%),105.3,18.9,4.3%,-0.78,No,..,(0.2%),0.7%
GUYANA,South America,2020,Q1,High income,Mining & Extractives,Floating,No,"754,620 people","$14,070",49.4%,53.9%,0.05 million visitors,1.9%,4.5%,7.3%,8.3%,9.4%,34.9%,(1.1%),(4.4%),102.8,45.4,3.8%,-0.29,No,..,8.4%,10.8%
GUATEMALA,Central America,2012,Q4,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,481,358 people","$4,829",42.9%,47.3%,1.34 million visitors,0.5%,3.4%,3.1%,7.9%,5.1%,39.9%,(4.6%),(3.8%),112.3,33.4,4.4%,-0.19,No,..,1.2%,2.4%
 El Salvador ,Central America,2021,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,230,887 people","$4,097",33.6%,41.2%,1.24 million visitors,2.9%,6.4%,0.9%,7.5%,2.9%,82.9%,(6.7%),(7.8%),96.9,5.0,3.4%,-0.64,No,..,0.9%,(1.7%)
TRINIDAD AND TOBAGO,Caribbean,2017,Q1,High income,Mining & Extractives,Floating,No,"1,476,816 people","$17,293",42.0%,41.5%,0.29 million visitors,3.6%,5.5%,8.4%,10.6%,8.6%,64.4%,(0.6%),(1.1%),94.7,21.2,5.7%,0.24,No,..,2.1%,0.5%
nicaragua,Central America,2012,Q2,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,615,200 people","$3,073",30.6%,31.6%,0.38 million visitors,0.7%,3.1%,8.1%,8.1%,9.7%,39.2%,(2.3%),(1.4%),102.7,42.8,5.3%,-1.78,No,..,1.2%,1.7%
dominican republic,Caribbean,2006,Q3,Upper middle income,Tourism & Services,Managed Float,No,"10,817,501 people","$8,412",33.4%,36.6%,2.61 million visitors,5.3%,2.3%,7.2%,6.5%,10.9%,49.1%,(3.8%),(2.9%),96.3,24.8,4.7%,0.39,No,..,6.9%,5.0%
Ecuador,South America,2011,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,387,112 people","$6,754",38.9%,34.6%,0.43 million visitors,2.7%,5.6%,5.3%,4.5%,7.6%,66.5%,(0.8%),5.1%,95.2,15.9,6.4%,-1.01,No,..,(2.2%),(0.5%)
EL SALVADOR,Central America,2015,Q4,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,326,309 people","$4,127",39.6%,45.0%,0.81 million visitors,2.5%,1.1%,5.3%,5.5%,7.9%,82.8%,(4.8%),(6.7%),93.8,2.0,3.7%,-0.97,No,..,1.6%,1.4%
el salvador,Central America,2004,Q4,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),Yes,"6,239,116 people","$3,199",38.0%,39.5%,0.27 million visitors,0.5%,2.3%,8.9%,11.2%,10.7%,71.2%,(6.2%),(3.4%),99.4,24.8,2.6%,-0.28,No,..,1.7%,1.1%
Dominican Republic,Caribbean,2022,Q1,Upper middle income,Tourism & Services,Managed Float,No,"10,749,317 people","$7,988",29.9%,35.0%,2.93 million visitors,5.7%,4.0%,6.1%,8.2%,7.8%,51.0%,(4.0%),(3.8%),94.5,51.1,5.4%,0.09,No,..,6.4%,4.7%
honduras,Central America,2003,Q2,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,491,902 people","$3,039",36.4%,47.1%,1.13 million visitors,2.0%,0.6%,5.2%,8.5%,6.4%,45.6%,(1.6%),(10.8%),97.3,18.5,5.6%,-0.74,Yes,2.1%,3.1%,2.1%
dominican republic,Caribbean,2013,Q4,Upper middle income,Tourism & Services,Managed Float,No,"10,892,475 people","$8,925",27.9%,34.2%,2.12 million visitors,3.4%,3.3%,6.7%,13.1%,9.0%,48.9%,(1.4%),(6.6%),90.2,28.4,5.7%,-0.11,No,..,5.3%,4.0%
Guyana,South America,2018,Q4,High income,Mining & Extractives,Floating,No,"905,400 people","$14,792",40.1%,39.8%,0.05 million visitors,1.9%,2.4%,6.5%,3.5%,9.0%,36.7%,(4.2%),0.2%,108.9,31.7,..,0.05,No,..,12.8%,11.2%
Ecuador,South America,2016,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,500,048 people","$6,351",41.1%,48.6%,0.99 million visitors,2.7%,6.4%,3.7%,12.8%,6.8%,66.3%,(2.8%),(7.8%),87.3,25.7,4.4%,-0.34,No,..,(1.0%),0.5%
Uruguay,South America,2014,Q1,High income,Agriculture & Agro-exports,Floating,No,"3,322,538 people","$16,458",38.6%,37.5%,1.09 million visitors,3.3%,3.9%,5.1%,9.5%,5.4%,74.6%,(3.8%),0.9%,90.1,42.0,5.1%,1.14,No,..,2.3%,1.5%
COSTA RICA,Central America,2007,Q3,Upper middle income,Tourism & Services,Managed Float,No,"5,041,152 people","$11,444",31.9%,32.4%,2.37 million visitors,10.5%,2.9%,4.6%,9.8%,5.6%,50.1%,2.8%,(1.0%),101.2,38.4,3.3%,1.01,No,..,4.4%,5.2%
Dominican  Republic,Caribbean,2007,Q2,Upper middle income,Tourism & Services,Managed Float,No,"10,737,905 people","$8,919",34.1%,45.0%,1.74 million visitors,8.6%,4.9%,7.9%,8.7%,10.8%,46.3%,(4.1%),(10.3%),97.1,42.8,3.9%,-0.12,No,..,7.8%,7.1%
panama,Central America,2015,Q4,High income,Trade & Logistics,Pegged (Dollarized),No,"4,192,352 people","$15,077",27.9%,38.7%,1.92 million visitors,4.2%,1.6%,3.8%,7.2%,8.4%,56.3%,(5.0%),(11.2%),108.5,22.7,4.0%,0.35,No,..,1.3%,3.2%
 Trinidad and Tobago ,Caribbean,2020,Q3,High income,Mining & Extractives,Floating,No,"1,369,949 people","$17,390",38.8%,42.2%,0.54 million visitors,1.6%,2.2%,5.7%,6.4%,7.9%,69.3%,(5.2%),(2.1%),99.1,45.3,3.4%,-0.15,No,..,0.7%,2.0%
PANAMA,Central America,2003,Q2,High income,Trade & Logistics,Pegged (Dollarized),No,"4,141,399 people","$15,544",34.6%,36.9%,1.20 million visitors,2.4%,3.9%,4.1%,9.8%,5.4%,50.3%,(4.1%),(1.2%),98.0,7.6,4.6%,-0.14,No,..,3.0%,3.2%
 Ecuador ,South America,2023,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,576,339 people","$4,848",38.0%,33.7%,0.73 million visitors,2.4%,2.0%,0.8%,9.9%,0.9%,65.3%,(6.6%),5.8%,78.1,6.6,4.9%,-0.96,No,..,(2.0%),(0.7%)
PARAGUAY,South America,2013,Q4,Upper middle income,Agriculture & Agro-exports,Managed Float,Yes,"6,770,002 people","$6,141",33.4%,33.8%,..,4.0%,4.6%,2.3%,9.3%,4.5%,30.5%,(0.9%),1.4%,116.6,48.0,3.2%,-0.1,No,..,2.9%,2.3%
Bolivia,South America,2021,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,492,918 people","$3,739",36.2%,28.8%,0.05 million visitors,3.0%,1.2%,9.9%,7.4%,12.5%,53.2%,(3.1%),9.2%,76.9,25.8,6.6%,-0.78,No,..,1.4%,0.5%
dominican republic,Caribbean,2015,Q4,Upper middle income,Tourism & Services,Managed Float,No,"10,749,710 people","$7,962",30.7%,40.4%,3.21 million visitors,6.0%,(0.1%),5.0%,9.9%,7.6%,49.8%,(3.6%),(10.4%),93.1,28.0,3.9%,0.12,No,..,4.0%,4.3%
ECUADOR,South America,2022,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,475,509 people","$7,204",43.2%,37.1%,0.73 million visitors,1.4%,2.0%,7.3%,10.5%,9.8%,65.2%,(2.9%),6.8%,72.2,27.5,5.2%,-0.67,No,..,1.6%,0.5%
 Ecuador ,South America,2009,Q1,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,447,531 people","$6,618",35.3%,39.5%,1.39 million visitors,0.5%,(0.8%),5.8%,7.1%,8.4%,65.4%,(4.2%),(4.3%),94.8,17.0,4.5%,-1.0,No,..,2.8%,1.3%
Guyana,South America,2023,Q1,High income,Mining & Extractives,Floating,No,"800,064 people","$14,020",41.7%,56.4%,0.05 million visitors,0.5%,4.8%,6.5%,9.5%,7.7%,43.8%,(2.6%),(14.3%),114.0,28.8,3.3%,-0.24,No,..,10.4%,10.0%
belize,Central America,2010,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"391,698 people","$6,544",25.2%,22.2%,1.99 million visitors,7.4%,1.1%,8.5%,9.7%,10.1%,89.5%,(1.5%),2.4%,85.4,26.8,5.7%,-0.07,No,..,0.2%,(1.7%)
Honduras,Central America,2005,Q2,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,522,575 people","$2,885",41.2%,45.8%,1.89 million visitors,2.1%,1.6%,6.7%,12.3%,9.6%,44.8%,(5.4%),(3.6%),96.8,29.3,3.1%,-1.08,No,..,(1.0%),0.7%
 Guyana ,South America,2010,Q2,High income,Mining & Extractives,Floating,No,"754,032 people","$13,617",46.6%,57.0%,0.05 million visitors,2.3%,2.2%,6.8%,7.7%,10.1%,39.5%,(2.9%),(9.7%),99.2,50.1,4.8%,0.27,No,..,9.6%,10.7%
Uruguay,South America,2022,Q4,High income,Agriculture & Agro-exports,Floating,Yes,"3,391,834 people","$16,609",31.9%,39.4%,1.16 million visitors,0.7%,4.4%,3.9%,9.9%,5.3%,82.1%,(2.2%),(7.0%),95.9,33.6,4.2%,1.22,No,..,1.5%,0.9%
