student_id,attendance_pct,study_hours,prior_gpa,assignment_avg,outcome
1139,99.8,12.8,3.75,88.9,honors
1037,64.1,4.5,1.62,46.4,support
1170,89.5,16.4,3.89,97.4,honors
1144,96.0,11.7,3.86,79.9,honors
1127,91.6,11.0,3.55,86.7,honors
1134,94.2,9.3,3.54,91.2,honors
1103,83.8,8.4,3.22,71.2,on_track
1033,62.8,2.4,1.51,57.5,support
1121,93.9,9.9,3.33,92.0,honors
1146,96.0,11.2,3.82,100.0,honors
1023,57.8,4.0,2.08,64.7,support
1116,95.8,7.5,2.82,79.9,on_track
1164,93.3,9.5,4.0,91.3,honors
1120,86.7,8.0,3.88,85.8,on_track
1086,77.7,7.9,3.09,75.2,on_track
1112,74.5,8.7,3.12,72.4,on_track
1110,93.6,4.6,2.54,78.1,on_track
1162,93.4,11.5,3.09,90.7,honors
1052,51.0,1.7,2.23,61.1,support
1046,67.0,1.8,1.68,60.9,support
1075,88.8,8.0,3.25,82.6,on_track
1067,81.4,4.9,3.48,69.2,on_track
1123,100.0,14.3,3.68,98.4,honors
1097,78.1,7.7,3.12,90.7,on_track
1014,56.6,4.2,2.41,64.5,support
1167,91.3,12.5,3.62,98.5,honors
1087,79.9,7.9,2.61,69.4,on_track
1179,92.0,13.2,3.67,96.5,honors
1156,90.9,13.3,4.0,97.7,honors
1135,90.6,11.3,3.9,88.1,honors
1129,93.4,10.0,3.55,94.8,honors
1025,64.4,3.6,2.05,55.1,support
1168,82.6,14.8,3.95,80.6,honors
1126,98.7,16.8,3.37,93.8,honors
1098,89.2,6.2,2.77,81.7,on_track
1079,88.4,9.0,3.39,78.6,on_track
1166,91.9,10.9,3.67,88.3,honors
1180,95.0,12.6,3.6,90.7,honors
1012,50.2,2.0,1.89,65.5,support
1171,97.7,9.5,3.56,93.4,honors
1028,64.1,3.1,1.38,56.8,support
1096,77.5,6.2,2.43,75.1,on_track
1155,95.0,13.9,3.79,92.1,honors
1140,92.3,11.2,3.77,88.9,honors
1107,87.2,10.1,2.75,83.0,on_track
1038,66.2,3.7,2.14,59.8,support
1029,62.5,7.1,1.98,59.4,support
1064,96.8,9.5,2.59,75.4,on_track
1083,87.1,8.7,3.02,72.7,on_track
1066,77.0,7.3,2.11,71.8,on_track
1125,89.8,11.7,3.49,84.1,honors
1100,71.9,10.1,2.99,86.5,on_track
1006,73.7,2.8,2.07,45.6,support
1018,64.9,2.2,2.18,69.3,support
1061,77.8,7.2,3.16,84.1,on_track
1089,88.6,7.1,3.01,72.0,on_track
1108,89.9,3.9,2.69,65.2,on_track
1050,54.9,3.4,2.07,47.9,support
1141,95.8,17.2,3.87,89.4,honors
1047,60.2,4.3,2.22,56.4,support
1169,93.0,11.3,3.37,87.1,honors
1099,74.4,11.1,3.35,75.5,on_track
1154,95.8,9.5,4.0,91.6,honors
1041,54.2,4.5,2.46,50.4,support
1161,93.0,16.2,3.62,83.5,honors
1118,79.6,6.2,2.94,63.5,on_track
1063,94.5,8.2,2.67,84.5,on_track
1065,91.2,6.0,3.14,83.5,on_track
1027,60.7,3.8,2.71,58.4,support
1081,83.6,8.6,2.79,92.1,on_track
1042,69.7,3.9,2.34,72.2,support
1053,66.1,9.4,2.25,66.1,support
1158,94.8,14.8,3.31,98.6,honors
1008,57.2,2.7,1.84,71.8,support
1159,93.8,11.2,3.46,82.7,honors
1115,82.3,5.3,2.86,70.7,on_track
1071,83.7,8.7,3.46,70.5,on_track
1177,87.5,13.7,3.4,99.8,honors
1092,87.5,6.6,3.08,78.6,on_track
1009,61.9,1.5,2.34,47.2,support
1085,77.6,6.8,3.14,74.8,on_track
1080,87.4,6.8,3.11,77.7,on_track
1105,93.1,7.6,3.35,78.9,on_track
1109,81.2,8.8,3.44,79.0,on_track
1030,61.7,1.3,2.45,63.0,support
1004,63.9,0.1,1.45,52.5,support
1040,76.9,4.0,1.63,62.3,support
1117,82.3,7.0,3.19,83.4,on_track
1078,86.6,7.0,2.96,85.6,on_track
1149,96.7,13.0,3.91,88.4,honors
1095,88.7,7.8,3.63,73.2,on_track
1055,55.8,2.8,1.88,57.7,support
1091,86.4,10.5,2.99,81.1,on_track
1148,98.2,10.1,3.7,88.6,honors
1044,61.4,3.7,2.15,63.6,support
1130,96.8,9.9,3.7,94.8,honors
1049,63.7,1.2,2.11,60.1,support
1150,93.3,9.9,3.58,92.9,honors
1060,45.8,3.5,1.82,63.8,support
1016,58.2,2.9,1.66,47.4,support
1054,69.6,4.2,1.94,63.1,support
1021,60.2,3.8,2.57,52.9,support
1015,55.3,2.7,2.17,64.8,support
1114,76.6,8.4,2.87,73.3,on_track
1077,82.9,7.6,3.38,74.7,on_track
1010,63.7,0.1,1.59,58.6,support
1106,96.4,10.9,2.95,84.8,on_track
1122,91.1,8.8,3.54,85.6,honors
1013,64.7,0.4,2.16,53.9,support
1017,68.5,5.4,2.02,65.0,support
1048,55.2,0.8,1.89,63.9,support
1059,62.4,2.2,2.8,62.1,support
1163,93.5,13.9,4.0,96.6,honors
1133,95.7,10.0,3.82,82.7,honors
1022,55.5,2.4,2.37,59.6,support
1019,61.7,5.7,1.13,63.6,support
1051,64.9,4.1,2.43,65.4,support
1147,95.3,12.8,3.58,86.8,honors
1003,58.2,4.1,1.89,53.3,support
1032,66.7,6.7,1.7,52.5,support
1082,76.5,5.0,3.34,83.6,on_track
1174,89.6,13.7,3.81,89.5,honors
1074,79.2,9.1,3.12,74.0,on_track
1102,80.1,8.6,2.72,77.6,on_track
1058,56.3,4.3,1.79,58.7,support
1031,68.3,1.7,2.54,45.8,support
1132,91.1,7.9,3.32,91.2,honors
1034,53.5,4.0,1.73,69.4,support
1131,87.0,13.5,3.53,93.9,honors
1151,97.9,10.0,3.87,97.8,honors
1160,98.2,12.4,3.4,84.5,honors
1124,94.8,10.1,4.0,93.7,honors
1178,85.1,16.3,3.73,90.5,honors
1101,72.6,6.2,3.02,78.8,on_track
1142,99.9,11.2,3.23,86.0,honors
1165,94.6,12.1,3.72,90.3,honors
1062,75.2,6.7,2.89,74.3,on_track
1036,63.8,5.3,1.49,58.5,support
1011,67.9,3.5,2.01,54.6,support
1173,97.7,13.3,3.6,96.8,honors
1072,96.9,3.5,2.98,82.3,on_track
1175,96.0,9.2,3.88,90.1,honors
1094,92.4,9.3,3.62,73.5,on_track
1119,73.2,10.1,3.48,76.9,on_track
1145,95.6,14.1,3.35,96.7,honors
1002,60.1,2.8,2.6,63.1,support
1084,83.5,6.0,3.29,77.5,on_track
1172,89.0,13.9,3.63,89.1,honors
1088,78.3,7.0,3.11,88.1,on_track
1138,96.2,10.8,3.7,90.2,honors
1005,53.9,3.7,1.73,45.7,support
1039,56.6,3.6,2.15,51.3,support
1157,100.0,11.0,3.46,90.4,honors
1035,55.7,2.7,2.33,47.2,support
1113,79.7,5.3,3.0,84.7,on_track
1153,86.5,15.8,3.82,90.7,honors
1057,58.2,4.9,2.07,48.4,support
1070,84.3,6.2,3.04,76.0,on_track
1045,62.1,5.5,1.96,78.8,support
1020,62.7,2.7,2.08,41.1,support
1007,57.6,3.4,1.65,60.0,support
1056,80.5,0.2,2.29,44.1,support
1076,77.6,6.3,3.23,82.5,on_track
1001,66.0,3.0,2.28,69.2,support
1136,98.3,9.5,3.8,98.2,honors
1128,94.7,10.2,3.74,90.7,honors
1069,90.6,7.4,2.75,81.5,on_track
1137,83.4,10.3,3.81,90.0,honors
1043,60.0,2.0,1.74,50.5,support
1111,85.5,7.3,2.44,77.9,on_track
1090,82.9,6.8,3.11,73.1,on_track
1073,84.8,6.2,2.96,75.3,on_track
1024,56.4,2.7,1.91,45.3,support
1143,86.1,11.4,3.68,99.4,honors
1093,83.6,5.9,3.03,81.7,on_track
1104,73.0,10.0,3.11,73.6,on_track
1152,96.4,16.7,3.51,84.8,honors
1068,80.1,7.7,3.42,69.2,on_track
1026,50.7,2.5,1.93,50.6,support
1176,92.1,14.7,3.53,84.0,honors
