InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540267,21240,BLUE POLKADOT CUP,96,06.01.2011 11:12,0.72,12415.0,Australia
567085,23293,SET OF 12 FAIRY CAKE BAKING CASES,16,16.09.2011 12:38,0.83,12434.0,Australia
540267,22519,CHILDS GARDEN BRUSH PINK,36,06.01.2011 11:12,1.85,12415.0,Australia
558537,84378,SET OF 3 HEART COOKIE CUTTERS,48,30.06.2011 12:06,1.25,12424.0,Australia
556917,23236,DOILEY STORAGE TIN,144,15.06.2011 13:37,2.49,12415.0,Australia
540700,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",12,11.01.2011 09:47,0.85,12393.0,Australia
563614,23347,I LOVE LONDON BEAKER,96,18.08.2011 08:51,1.25,12415.0,Australia
576394,20725,LUNCH BAG RED RETROSPOT,100,15.11.2011 10:32,1.45,12415.0,Australia
560491,22147,FELTCRAFT BUTTERFLY HEARTS,1,19.07.2011 10:51,1.45,12415.0,Australia
553546,22918,HERB MARKER PARSLEY,120,17.05.2011 15:42,0.55,12415.0,Australia
540267,22620,4 TRADITIONAL SPINNING TOPS,160,06.01.2011 11:12,1.06,12415.0,Australia
563614,23298,SPOTTY BUNTING,100,18.08.2011 08:51,4.15,12415.0,Australia
547659,23053,RECYCLED ACAPULCO MAT PINK,2,24.03.2011 13:05,8.25,12434.0,Australia
556917,23300,GARDENERS KNEELING PAD CUP OF TEA ,24,15.06.2011 13:37,1.65,12415.0,Australia
563614,23346,SPACEBOY BEAKER,200,18.08.2011 08:51,1.08,12415.0,Australia
559919,23120,PACK OF 6 SMALL FRUIT STRAWS,288,13.07.2011 15:30,0.36,12415.0,Australia
552956,22690,DOORMAT HOME SWEET HOME BLUE ,2,12.05.2011 12:34,7.95,12431.0,Australia
C560540,23242,TREASURE TIN BUFFALO BILL ,-1,19.07.2011 12:26,2.08,12415.0,Australia
547659,48138,DOORMAT UNION FLAG,2,24.03.2011 13:05,7.95,12434.0,Australia
560491,23235,STORAGE TIN VINTAGE LEAF,1,19.07.2011 10:51,2.89,12415.0,Australia
563614,23241,TREASURE TIN GYMKHANA DESIGN,144,18.08.2011 08:51,1.85,12415.0,Australia
556917,23170,REGENCY TEA PLATE ROSES ,96,15.06.2011 13:37,1.45,12415.0,Australia
556917,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,96,15.06.2011 13:37,2.55,12415.0,Australia
C560540,23165,LARGE CERAMIC TOP STORAGE JAR,-1,19.07.2011 12:26,1.65,12415.0,Australia
569650,22386,JUMBO BAG PINK POLKADOT,100,05.10.2011 12:44,1.79,12415.0,Australia
556917,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,15.06.2011 13:37,0.72,12415.0,Australia
545475,22980,PANTRY SCRUBBING BRUSH,144,03.03.2011 10:59,1.45,12415.0,Australia
540280,21422,PORCELAIN ROSE SMALL,80,06.01.2011 12:37,0.85,12386.0,Australia
556917,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,120,15.06.2011 13:37,0.42,12415.0,Australia
545475,21984,PACK OF 12 PINK PAISLEY TISSUES ,432,03.03.2011 10:59,0.25,12415.0,Australia
549313,20726,LUNCH BAG WOODLAND,10,08.04.2011 09:45,1.65,12393.0,Australia
563614,22273,FELTCRAFT DOLL MOLLY,48,18.08.2011 08:51,2.55,12415.0,Australia
559919,23297,SET 40 HEART SHAPE PETIT FOUR CASES,240,13.07.2011 15:30,1.45,12415.0,Australia
560491,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,19.07.2011 10:51,1.45,12415.0,Australia
568145,23024,LARGE BONNE JAM JAR  T-LIGHT HOLDER,6,25.09.2011 11:30,2.89,12388.0,Australia
C560540,21933,PINK VINTAGE PAISLEY PICNIC BAG,-1,19.07.2011 12:26,1.65,12415.0,Australia
559919,22139,RETROSPOT TEA SET CERAMIC 11 PC ,48,13.07.2011 15:30,4.25,12415.0,Australia
565466,23209,LUNCH BAG VINTAGE DOILY ,10,05.09.2011 09:48,1.65,12422.0,Australia
C560540,23306,SET OF 36 DOILIES PANTRY DESIGN,-1,19.07.2011 12:26,1.45,12415.0,Australia
556917,22546,MINI JIGSAW PURDEY,24,15.06.2011 13:37,0.42,12415.0,Australia
556917,22613,PACK OF 20 SPACEBOY NAPKINS,96,15.06.2011 13:37,0.72,12415.0,Australia
543989,22662,LUNCH BAG DOLLY GIRL DESIGN,200,15.02.2011 09:52,1.45,12415.0,Australia
553546,22549,PICTURE DOMINOES,144,17.05.2011 15:42,1.25,12415.0,Australia
545475,22699,ROSES REGENCY TEACUP AND SAUCER ,24,03.03.2011 10:59,2.55,12415.0,Australia
568145,23326,HANGING MINI COLOURED BOTTLES,96,25.09.2011 11:30,0.63,12388.0,Australia
540267,20677,PINK POLKADOT BOWL,72,06.01.2011 11:12,1.06,12415.0,Australia
553546,85132A,CHARLIE + LOLA BISCUITS TINS,24,17.05.2011 15:42,1.95,12415.0,Australia
553546,21899,"KEY FOB , GARAGE DESIGN",576,17.05.2011 15:42,0.53,12415.0,Australia
545475,22615,PACK OF 12 CIRCUS PARADE TISSUES ,432,03.03.2011 10:59,0.25,12415.0,Australia
545475,20677,PINK POLKADOT BOWL,144,03.03.2011 10:59,1.06,12415.0,Australia
574138,22818,CARD CHRISTMAS VILLAGE,24,03.11.2011 11:26,0.42,12415.0,Australia
556917,21989,PACK OF 20 SKULL PAPER NAPKINS,96,15.06.2011 13:37,0.72,12415.0,Australia
540267,84218,BOX/12 CHICK & EGG IN BASKET,60,06.01.2011 11:12,1.69,12415.0,Australia
565145,22751,FELTCRAFT PRINCESS OLIVIA DOLL,240,01.09.2011 13:50,3.39,12415.0,Australia
556917,23239,SET OF 4 KNICK KNACK TINS POPPIES,96,15.06.2011 13:37,3.75,12415.0,Australia
578459,22340,NOEL GARLAND PAINTED ZINC ,24,24.11.2011 12:30,0.39,12388.0,Australia
569722,22726,ALARM CLOCK BAKELIKE GREEN,12,06.10.2011 09:31,3.75,12431.0,Australia
547659,20750,RED RETROSPOT MINI CASES,2,24.03.2011 13:05,7.95,12434.0,Australia
569650,23516,EMBROIDERED RIBBON REEL SOPHIE  ,72,05.10.2011 12:44,3.29,12415.0,Australia
C560540,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,19.07.2011 12:26,4.95,12415.0,Australia
C538723,22094,RED RETROSPOT TISSUE BOX,-5,14.12.2010 11:12,1.25,12434.0,Australia
543989,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,72,15.02.2011 09:52,3.75,12415.0,Australia
549313,22380,TOY TIDY SPACEBOY  ,10,08.04.2011 09:45,2.1,12393.0,Australia
563614,21199,PINK  HEART CONFETTI IN TUBE,24,18.08.2011 08:51,1.65,12415.0,Australia
558536,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,10,30.06.2011 12:06,1.65,12424.0,Australia
552956,23084,RABBIT NIGHT LIGHT,12,12.05.2011 12:34,2.08,12431.0,Australia
547659,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,24.03.2011 13:05,0.85,12434.0,Australia
578459,22669,RED BABY BUNTING ,12,24.11.2011 12:30,2.95,12388.0,Australia
540267,21915,RED  HARMONICA IN BOX ,240,06.01.2011 11:12,1.06,12415.0,Australia
