size_sqft,bedrooms,floors,age,price_1000s
1660,5,2,29,232.8187277844043
2094,2,1,22,288.0879485016326
1930,2,1,70,171.87518905483108
1895,1,1,58,189.40731010421064
2438,4,2,39,378.17520564531515
2969,1,2,65,308.42204000284323
1266,4,1,45,209.90305380250666
2038,2,2,37,189.3251277249584
1130,1,2,72,169.7614382956985
2282,5,2,37,388.1765503328213
2935,3,2,18,440.13741963806814
930,4,1,25,204.750639104195
2485,3,1,52,311.4057311303946
1569,3,2,24,232.16296067466922
3191,1,2,12,435.44078975979807
2315,3,1,11,314.4572101009718
3233,5,1,71,389.9800502312327
2015,3,2,21,204.8347056363787
1755,1,1,37,180.32723688972982
3124,5,2,52,463.9320692243262
1984,2,2,63,189.1101163539853
1259,3,1,26,182.16612373957665
821,1,1,34,115.43068129748472
3100,2,2,42,297.11090771301906
1547,2,2,55,197.45526760350268
1274,4,1,58,223.936274214915
1882,5,2,12,311.5318506184164
3358,3,1,31,506.8140394591796
2847,1,2,31,276.3667293545641
1775,4,1,25,346.74863191007387
2606,5,1,34,347.6903438708138
989,4,1,32,119.0832106694748
1362,5,2,68,157.34432155173323
2699,5,2,73,396.16022721889215
2067,3,1,65,244.26231436401804
2328,5,2,52,264.6563337375568
1446,4,1,23,184.1223010208056
2868,5,1,8,435.3552598101434
3014,3,2,39,290.081537137694
2097,3,2,68,173.03228633626242
3235,4,1,53,476.3227060743634
1400,2,2,21,235.7305522860495
3163,2,2,48,356.8235141384117
2861,5,1,34,388.8934091498181
1041,1,1,50,112.26035609227378
2841,5,2,10,507.83987713801287
3412,4,1,41,466.43902035082107
2163,4,1,28,352.34952699839266
2939,4,2,50,354.581698966738
2190,4,1,57,286.83586428468647
2278,4,1,64,312.44650787148174
3356,3,2,67,382.36379311296116
1575,2,2,36,109.9049207004537
834,4,1,37,196.90163046709853
3053,1,1,71,301.5546528891468
2755,1,2,22,413.65270566465006
2385,1,2,29,303.8739405106388
1821,1,2,58,176.75889662558984
3413,3,2,62,407.7330856041374
1929,1,1,71,186.9400844574595
2300,4,2,50,266.5426893579056
1502,5,2,28,239.9439304514288
3249,1,1,36,427.0796186874666
2379,3,2,51,260.69881005420126
961,3,1,27,133.0305134037488
1001,1,2,70,100.0
2781,5,2,31,419.60044375386775
1795,1,2,6,291.3020098984948
3117,3,1,21,438.3205564776988
1615,2,1,37,232.6525653614289
1255,4,2,13,179.8119657093955
2075,3,1,47,302.670185998093
1816,1,1,52,222.58948041860293
3143,4,1,43,387.15488168290057
1137,1,1,46,100.0
1678,1,1,30,161.53719582872583
1876,2,1,54,193.55189087275147
1591,4,2,29,272.59749270987095
3064,4,2,28,466.194391033573
1563,2,1,17,209.5792849810289
3035,3,2,64,326.08338588914813
1179,1,2,11,163.74492223889865
1292,5,2,61,167.32586036292898
1980,1,2,40,251.8373633589632
2862,1,1,49,308.7124762565156
864,3,2,24,167.84571951123993
3368,1,2,69,336.79100808520974
2167,2,1,12,339.79898844271423
1952,2,1,20,259.39838150845833
2827,4,2,18,363.11621268366486
3495,5,2,19,558.0927055935988
2295,1,2,70,259.0090833018767
1962,1,2,36,145.55819599459142
2322,3,2,67,235.3690595284037
3440,2,2,55,434.99691687114296
1191,5,1,29,165.25358123145907
2498,4,2,62,326.18713318092443
1218,2,2,67,132.44224413879166
3136,4,1,66,359.1541368763233
1178,3,1,26,184.8073181501677
