pair,edge_score,urgency_score,lifted
USDCRC,1.2188,1.5486,0
GBPUSD,1.9479,0.9834,0
USDCOP,1.8736,0.7282,0
USDCAD,0.9193,1.2925,0
USDJPY,1.0361,1.4586,0
USDCRC,0.9099,0.95,0
GBPUSD,1.5133,1.3723,0
USDCHF,1.1692,1.6214,0
AUDUSD,1.6108,0.9965,0
USDCRC,0.184,0.6932,0
GBPUSD,2.0616,1.2738,0
USDCHF,1.147,1.2238,0
EURUSD,1.5742,1.6494,0
GBPUSD,1.1249,0.4577,0
USDJPY,0.9915,0.7692,0
USDCHF,1.4547,0.6809,0
EURGBP,1.6535,0.233,0
USDCHF,1.0886,1.1632,0
GBPUSD,1.116,1.3639,0
EURGBP,1.5771,0.7306,0
USDCAD,0.7213,1.7928,0
GBPUSD,0.3671,1.511,0
EURUSD,1.4172,1.4137,0
EURUSD,0.8312,1.3009,0
EURGBP,0.1438,1.5778,0
USDCAD,0.7523,0.434,0
USDCRC,0.9428,1.407,0
EURGBP,0.5437,1.4014,0
AUDUSD,0.3791,0.2161,0
EURGBP,1.2202,1.2735,0
AUDUSD,2.9623,3.7118,1
USDMXN,3.5298,1.8109,1
USDCOP,2.8585,2.4125,1
EURUSD,3.09,3.0518,1
USDMXN,3.2886,3.4897,1
USDCOP,2.6181,2.9106,1
EURGBP,3.4292,2.3269,1
USDCRC,3.0423,2.8486,1
AUDUSD,3.3709,2.6917,1
GBPUSD,2.813,2.5981,1
USDMXN,3.6974,2.3328,1
AUDUSD,3.4329,2.8936,1
USDCOP,3.0021,2.8539,1
EURUSD,3.4476,2.6535,1
USDCHF,3.7929,2.5892,1
USDCOP,4.0851,2.0575,1
USDCRC,2.2345,2.4569,1
USDMXN,3.5857,3.3032,1
USDCAD,3.3558,2.6047,1
USDCOP,3.0484,1.9802,1
USDCOP,2.5463,3.3672,1
USDMXN,3.7915,2.9651,1
USDCRC,2.406,3.754,1
USDJPY,3.4118,2.7313,1
EURUSD,3.816,2.4693,1
USDMXN,2.2202,1.9762,1
USDCHF,2.9336,3.3619,1
USDJPY,2.3799,3.9848,1
EURUSD,3.2342,2.2895,1
GBPUSD,3.9329,2.3765,1
