credit_score,dti,defaulted
6.541514866063570253e+02,5.221096680959228520e-01,1.000000000000000000e+00
6.803905489220823029e+02,3.211755776579475197e-01,1.000000000000000000e+00
7.815048195265158029e+02,3.450472238791149060e-01,0.000000000000000000e+00
7.262531262407740087e+02,5.883547504412525164e-01,1.000000000000000000e+00
5.997231487978444875e+02,5.766915187027207290e-01,1.000000000000000000e+00
6.897138204705437374e+02,3.527387347964085484e-01,0.000000000000000000e+00
6.557094942456383251e+02,4.087352985636784619e-01,0.000000000000000000e+00
6.981747337788614232e+02,4.599197851835918338e-01,0.000000000000000000e+00
6.015496718697486358e+02,5.250223107118687782e-01,1.000000000000000000e+00
7.032974532282268001e+02,3.255797810627398814e-01,1.000000000000000000e+00
7.029459505305600260e+02,3.548786235318147630e-01,0.000000000000000000e+00
7.766594317287303966e+02,4.747097644509746250e-01,0.000000000000000000e+00
7.074154759059546222e+02,3.696505332834723045e-01,0.000000000000000000e+00
7.180800663933703163e+02,4.229949843017036804e-01,1.000000000000000000e+00
6.078785823269672619e+02,4.070845478547355234e-01,1.000000000000000000e+00
8.139001018598214614e+02,2.151596856879367525e-01,1.000000000000000000e+00
5.846394943122934365e+02,2.455164886999044449e-01,1.000000000000000000e+00
7.505991020702366541e+02,8.000000000000000167e-02,0.000000000000000000e+00
6.718552759369382557e+02,3.113867225361566238e-01,0.000000000000000000e+00
6.415644415139711327e+02,4.872721171163828524e-01,0.000000000000000000e+00
6.539043243989033272e+02,2.179872581953018473e-01,0.000000000000000000e+00
6.530391925637738950e+02,4.757183930760359170e-01,1.000000000000000000e+00
7.109104000736945181e+02,4.499500790271038775e-01,1.000000000000000000e+00
6.839467717597071896e+02,3.339673594696306314e-01,0.000000000000000000e+00
7.715414139668621374e+02,3.391627191859002965e-01,0.000000000000000000e+00
5.893717787105057369e+02,3.491116454945468739e-01,0.000000000000000000e+00
6.898305469433781809e+02,2.452804394843064451e-01,0.000000000000000000e+00
6.409369316423125156e+02,3.089436554905382049e-01,0.000000000000000000e+00
7.326729516101933086e+02,3.348779262762846543e-01,0.000000000000000000e+00
5.735066976798212863e+02,4.073131740203443929e-01,1.000000000000000000e+00
6.710968107445285113e+02,4.270994130179461279e-01,1.000000000000000000e+00
7.015595110034855679e+02,2.582988143364099987e-01,0.000000000000000000e+00
6.083652278802006776e+02,4.308284455191777607e-01,0.000000000000000000e+00
7.441868570572003136e+02,2.544342405451238132e-01,0.000000000000000000e+00
6.998292386015117472e+02,3.214191813724806002e-01,0.000000000000000000e+00
7.453771223888895747e+02,3.806455891237656708e-01,0.000000000000000000e+00
7.427551672270981271e+02,3.375081263255919617e-01,1.000000000000000000e+00
6.361079988493927431e+02,3.260343086514064237e-01,1.000000000000000000e+00
6.461212333160754042e+02,3.696385383672197711e-01,1.000000000000000000e+00
6.788167132825453791e+02,2.791921046699886721e-01,1.000000000000000000e+00
7.311377849279724614e+02,2.682067241428482407e-01,0.000000000000000000e+00
7.368032010036548627e+02,3.175474481429572116e-01,0.000000000000000000e+00
6.509673321110223014e+02,4.457398333635672061e-01,1.000000000000000000e+00
6.566041548109567429e+02,3.288165111604576252e-01,0.000000000000000000e+00
6.461197396658409389e+02,5.494973466169361664e-01,1.000000000000000000e+00
6.578668973963459621e+02,3.635678598925684013e-01,0.000000000000000000e+00
6.769142142339400152e+02,8.000000000000000167e-02,0.000000000000000000e+00
6.827501723770354829e+02,2.916490933566736055e-01,0.000000000000000000e+00
8.031962957673740675e+02,5.231537518111879503e-01,0.000000000000000000e+00
6.621477987117463044e+02,3.406980418482877249e-01,1.000000000000000000e+00
6.741201598133927746e+02,2.918382955993994443e-01,0.000000000000000000e+00
7.152217751001714987e+02,2.438974287102024241e-01,0.000000000000000000e+00
6.375809263936540674e+02,4.856177611063457467e-01,1.000000000000000000e+00
6.697255067982674746e+02,4.503106979684504130e-01,1.000000000000000000e+00
6.907325164638557453e+02,4.139238334175187051e-01,1.000000000000000000e+00
7.325780270859495431e+02,3.870912134375080194e-01,0.000000000000000000e+00
6.176191827689283400e+02,4.984996878314794655e-01,1.000000000000000000e+00
7.654308201507863032e+02,4.303321872637695389e-01,1.000000000000000000e+00
6.706148448754117908e+02,2.047219556452192779e-01,0.000000000000000000e+00
6.993179031606994158e+02,4.245287893909325261e-01,1.000000000000000000e+00
7.365898567163981170e+02,3.586588968628754981e-01,0.000000000000000000e+00
7.263436106949864097e+02,3.278648226921564990e-01,1.000000000000000000e+00
7.482577537396523439e+02,4.239726941081066180e-01,1.000000000000000000e+00
6.995258799037533208e+02,3.431225155664724968e-01,0.000000000000000000e+00
6.889212655644021197e+02,8.000000000000000167e-02,0.000000000000000000e+00
7.074063196603780170e+02,5.113126931986844426e-01,1.000000000000000000e+00
6.352356535397377684e+02,4.541492001546215129e-01,0.000000000000000000e+00
7.567803052941309261e+02,3.265151857045394124e-01,1.000000000000000000e+00
6.473537563247434719e+02,2.990363708066072768e-01,1.000000000000000000e+00
6.206865866064574675e+02,3.649313269591807907e-01,1.000000000000000000e+00
8.031024829516190948e+02,1.987166790565433050e-01,0.000000000000000000e+00
6.824955283267931918e+02,3.737046230004095748e-01,0.000000000000000000e+00
6.251481320218529163e+02,3.146783233143484182e-01,0.000000000000000000e+00
7.918748346062110386e+02,3.011754073401659570e-01,0.000000000000000000e+00
6.718658056566195000e+02,2.384569588566288756e-01,1.000000000000000000e+00
7.484141683282058466e+02,2.653500179280111060e-01,0.000000000000000000e+00
6.443781202158888846e+02,4.616926078453867377e-01,1.000000000000000000e+00
6.763170988309952918e+02,4.868523136111223559e-01,1.000000000000000000e+00
5.971308855588002871e+02,3.953121877980150800e-01,1.000000000000000000e+00
5.850083352640600651e+02,3.349909719643150430e-01,1.000000000000000000e+00
6.362960976565497049e+02,2.434306278503649001e-01,1.000000000000000000e+00
6.857078539807896504e+02,4.189529047055894906e-01,0.000000000000000000e+00
7.338892140602323479e+02,5.172029814054471819e-01,0.000000000000000000e+00
8.200000000000000000e+02,1.624045650290022735e-01,0.000000000000000000e+00
