size_cm,malignant
2.000000000000000111e-01,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00
1.600000000000000089e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
2.399999999999999911e+00,1.000000000000000000e+00
2.899999999999999911e+00,1.000000000000000000e+00
3.299999999999999822e+00,1.000000000000000000e+00
3.799999999999999822e+00,1.000000000000000000e+00
