year,bank,baseBank,charter,charter2,atvType,assets_b,roa,nim,efficiency,npl,funding,book,region,sFlag,tFlag
1990,Apex National,Apex,Community Commercial,,,3.177,1.358,3.034,51.75,0.869,Core,Retail loans,Midwest,,
1991,Apex National,Apex,Community Commercial,,,3.449,1.199,3.205,56.64,0.821,Core,Retail loans,Northeast,,
1991,Apex National,Apex,Community Commercial,,,3.399,1.323,3.158,55.76,0.722,Core,C&I loans,West,,
1991,Apex National,Apex,Community Commercial,,,3.106,1.174,3.137,56.93,0.847,Core,Mortgage,Northeast,,
1992,Apex National,Apex,Community Commercial,,,3.2,0.943,3.417,55.76,0.741,Wholesale,Retail loans,Midwest,,
1992,Apex National,Apex,Community Commercial,,,3.339,0.907,3.389,56.62,0.789,Core,C&I loans,West,,
1993,Apex National,Apex,Community Commercial,,,3.387,0.89,3.26,56.44,0.856,Core,Retail loans,West,,
1994,Apex National,Apex,Community Commercial,,,3.659,1.206,3.322,55.39,0.598,Core,Retail loans,Northeast,,
1995,Apex National,Apex,Community Commercial,,,3.434,1.234,3.163,52.88,0.814,Core,Retail loans,Midwest,,
1996,Apex National,Apex,Community Commercial,,,3.478,1.174,3.164,54.46,0.987,Core,Retail loans,West,,
1997,Apex National,Apex,Community Commercial,,,3.75,1.308,3.339,52.1,0.453,Core,Retail loans,West,,
1998,Apex National,Apex,Community Commercial,,,3.65,1.426,3.428,52.45,1.085,Core,Retail loans,Northeast,,
1998,Apex National,Apex,Community Commercial,,,3.91,1.437,3.539,56.83,1.199,Core,C&I loans,South,,
1999,Apex National,Apex,Community Commercial,,,3.841,1.114,3.167,53.77,0.788,Wholesale,Retail loans,Midwest,,
1999,Apex National,Apex,Community Commercial,,,3.972,1.247,3.166,52.64,0.57,Core,C&I loans,South,,
2000,Apex National,Apex,Community Commercial,,,4.148,1.024,3.415,53.12,0.931,Wholesale,Retail loans,Midwest,,
2001,Apex National,Apex,Community Commercial,,,3.867,1.203,3.624,55.47,0.672,Core,Retail loans,West,,
2001,Apex National,Apex,Community Commercial,,,3.709,1.267,3.538,54.91,0.887,Core,C&I loans,Northeast,,
2002,Apex National,Apex,Community Commercial,,,3.844,1.407,3.207,52.56,0.697,Core,Retail loans,West,,
2003,Apex National,Apex,Community Commercial,,,4.37,0.906,3.16,57.27,1.072,Core,Retail loans,South,,
2004,Apex National,Apex,Community Commercial,,,3.924,1.402,3.41,53.7,0.676,Core,Retail loans,South,,
2005,Apex National,Apex,Community Commercial,,,4.26,0.833,3.191,57.23,1.094,Core,Retail loans,West,,
2006,Apex National,Apex,Community Commercial,,,4.016,0.815,3.102,64.28,0.399,Core,Retail loans,West,,
