No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI,Gross Margin,Food Cost %,SSS %
1,HSY,The Hershey Company,Confectionery,Chocolate,USA,721765.99,11.96,1.29,0.51,1.71,32.15,"3,167,716",4.45,4.46%,3.39%,0.62,1.25,12.40%,53.11,39.57%,18.43%,
2,GIS,General Mills Inc.,Packaged Foods,Cereal & Breakfast,USA,4131832.30,16.62,1.25,1.46,1.87,61.55,"2,705,724",4.64,2.95%,11.90%,0.26,0.63,21.58%,53.91,22.53%,23.78%,
3,FAD,FAD Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,1715598.23,22.71,2.21,0.63,1.80,27.66,"231,241",4.19,4.39%,20.25%,0.50,1.52,38.62%,45.98,31.07%,52.52%,
4,FAE,FAE Co.,Packaged Foods,Sauces & Condiments,USA,1432828.12,17.58,1.99,0.64,0.89,49.28,"95,560",3.70,-0.32%,17.68%,0.28,0.20,46.34%,41.83,30.96%,31.37%,
5,FAF,FAF Brands,Packaged Foods,Canned Goods,USA,1821855.29,51.79,1.16,8.69,0.67,26.07,"93,189",-0.50,14.98%,13.83%,0.34,1.15,32.80%,38.04,24.39%,42.28%,
6,FAG,FAG Foods Inc.,Packaged Foods,Frozen Meals,USA,566447.68,19.45,1.64,3.42,1.04,16.27,"15,882",1.52,1.90%,6.79%,1.63,1.18,39.46%,36.83,32.84%,51.24%,
7,FAH,FAH Foods Inc.,Packaged Foods,Snacks,USA,43154708.09,22.95,,1.71,1.12,46.97,"114,585",3.71,18.92%,-0.03%,0.85,0.80,16.20%,52.20,23.60%,55.65%,
8,FAI,FAI Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,3481614.75,,1.59,0.97,1.87,10.29,"183,279",4.24,11.14%,0.89%,0.93,2.08,74.23%,40.73,38.84%,35.92%,
9,FAJ,FAJ Foods Inc.,Packaged Foods,Sauces & Condiments,USA,238230.80,28.24,2.88,1.90,1.54,3.43,"24,099",2.19,9.32%,11.33%,0.70,1.01,49.30%,84.41,20.39%,47.36%,
10,FAK,FAK Foods Inc.,Packaged Foods,Canned Goods,USA,3325182.33,13.03,1.61,1.77,0.99,40.43,"256,019",3.30,24.53%,-3.05%,1.33,1.46,57.77%,47.29,23.75%,32.18%,
11,FAL,FAL Brands,Packaged Foods,Frozen Meals,USA,16826577.58,31.29,0.63,3.10,0.74,27.74,"76,380",0.98,8.36%,-9.10%,0.52,0.80,72.16%,23.90,37.36%,40.48%,
12,FAM,FAM Foods Inc.,Packaged Foods,Snacks,USA,911510.35,,1.24,,1.28,35.15,"97,643",-0.68,3.50%,1.91%,0.54,0.79,30.60%,49.22,41.75%,32.79%,
13,FAN,FAN Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,2029480.88,16.64,1.84,2.75,2.30,121.14,"19,815",5.06,-5.47%,7.68%,0.34,0.69,38.51%,64.11,24.81%,40.03%,
