No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI
1,AVD,American Vanguard Corp.,Basic Materials,Chemicals,USA,2301002.26,14.05,1.25,0.86,1.57,25.43,"2,097,170",1.12,5.29%,10.08%,0.27,1.22,22.77%,46.01
2,MOS,The Mosaic Company,Basic Materials,Gold,USA,62216.78,11.44,0.83,1.57,1.27,46.74,"1,693,764",1.50,13.29%,15.64%,0.18,0.63,10.35%,57.45
3,CE,Celanese Corporation,Basic Materials,Oil & Gas Drilling,USA,1159472.11,9.70,0.88,0.95,1.50,55.01,"1,815,232",2.86,7.65%,12.84%,0.70,0.56,10.73%,30.89
4,ASH,Ashland Inc.,Basic Materials,Steel,USA,1482333.24,8.70,1.10,1.07,0.90,77.00,"544,850",4.01,7.89%,9.58%,0.58,1.26,11.65%,52.27
5,ACET,Aceto Corp.,Basic Materials,Agricultural Chemicals,USA,1289964.29,11.95,0.99,1.14,1.66,31.49,"1,432,561",2.51,17.96%,8.28%,0.30,1.05,12.64%,14.83
6,DOW,The Dow Chemical Company,Basic Materials,Chemicals,USA,8463953.85,8.37,1.33,0.72,1.04,37.86,"2,268,423",5.31,7.33%,5.35%,0.35,0.82,18.58%,51.90
7,SQM,Chemical & Mining Co. of Chile Inc.,Basic Materials,Gold,Chile,4321862.15,14.78,1.10,1.20,1.15,30.99,"701,148",5.57,11.84%,5.96%,0.76,1.19,22.32%,60.69
8,FF,FutureFuel Corp.,Basic Materials,Oil & Gas Drilling,USA,804419.00,13.36,1.12,0.87,0.87,38.32,"1,428,936",5.87,11.50%,14.95%,0.40,1.11,20.32%,69.04
9,AJ,AJ Corp.,Basic Materials,Steel,USA,2575799.98,28.55,2.80,1.13,1.47,109.42,"83,388",-1.22,-4.15%,11.60%,0.21,0.70,55.63%,90.28
10,AK,AK Corp.,Basic Materials,Agricultural Chemicals,USA,872316.90,,2.40,1.88,3.82,26.31,"79,339",-0.31,-13.21%,5.09%,1.00,1.15,12.75%,76.68
