Ticker,Company,Sector,Industry,Price,PE,PEG,RelValIndex
AVD,American Vanguard Corp.,Basic Materials,Chemicals,25.434086174679507,14.046156045897998,1.2529020927180612,10
MOS,The Mosaic Company,Basic Materials,Gold,46.73801616587294,11.44451123953041,0.8326241479464429,8
CE,Celanese Corporation,Basic Materials,Oil & Gas Drilling,55.010389932067355,9.704785449187838,0.881280375006301,8
ASH,Ashland Inc.,Basic Materials,Steel,77.00065496338932,8.696052696448483,1.101769535236282,8
ACET,Aceto Corp.,Basic Materials,Agricultural Chemicals,31.49357871071006,11.952688345849289,0.9860609469768058,10
DOW,The Dow Chemical Company,Basic Materials,Chemicals,37.86323209383577,8.370945350509201,1.3314873038816424,9
FF,FutureFuel Corp.,Basic Materials,Oil & Gas Drilling,38.3208973060927,13.363470752501936,1.116033609792634,10
BD,BD Corp.,Basic Materials,Steel,50.29426485873006,6.52028465288809,1.0585468800539282,8
BU,BU Corp.,Basic Materials,Chemicals,23.63034343358938,12.545529712744035,2.753300938951917,8
FX,FX Holdings Inc.,Consumer Goods,Electronic Equipment,20.13064531245135,4.446863128795467,1.4374826598866062,10
GM,GM Holdings Inc.,Consumer Goods,Beverages,81.4587029144662,17.88705120408741,1.1632097990605559,8
KR,KR Corp.,Financial,Property & Casualty Insurance,25.117214516111215,14.377172980783964,,8
MM,MM Corp.,Financial,Money Center Banks,47.91081967103611,22.37187257068855,1.0506771501426206,10
RH,RH Holdings Inc.,Financial,Life Insurance,37.617099700422365,11.969231437405476,1.0236498593539385,8
UE,UE Corp.,Healthcare,Drug Manufacturers,26.35512080074577,16.73769875198623,0.5258039637439473,8
VY,VY Corp.,Healthcare,Hospitals,30.34674394300585,11.212153861510627,1.951635070404529,10
XI,XI Holdings Inc.,Healthcare,Hospitals,27.116544518798182,17.60205403473682,0.6820125615298516,8
YZ,YZ Holdings Inc.,Industrial Goods,Industrial Equipment,33.37268626824172,27.60495269655254,2.054743080910147,8
BJN,BJN Corp.,Technology,Computer Hardware,28.095276846676377,,1.7488313391225272,8
BNP,BNP Corp.,Technology,Software,24.18137357297012,21.03503784234514,0.8265124828257657,8
