iso_code,continent,location,date,total_cases,new_cases
AFG,Asia,Afghanistan,09/08/2020,5,0
IND,Asia,India,27/07/2020,990,985
GBR,Europe,United Kingdom,15/04/2020,1090,100
AFG,Asia,Afghanistan,30/06/2020,1133,43
ZAF,Africa,South Africa,01/03/2020,1166,33
BRA,South America,Brazil,15/08/2020,1199,33
AFG,Asia,Afghanistan,02/06/2020,4023,2824
AFG,Asia,Afghanistan,02/08/2020,21101,17078
AFG,Asia,Afghanistan,08/07/2020,21121,20
ZAF,Africa,South Africa,05/07/2020,21164,43
GBR,Europe,United Kingdom,24/04/2020,21193,29
AFG,Asia,Afghanistan,10/09/2020,21295,102
GBR,Europe,United Kingdom,06/06/2020,21360,65
GBR,Europe,United Kingdom,29/08/2020,21468,108
IND,Asia,India,24/07/2020,58049,36581
BRA,South America,Brazil,01/03/2020,58631,582
AFG,Asia,Afghanistan,30/08/2020,58660,29
AFG,Asia,Afghanistan,16/05/2020,58660,0
AFG,Asia,Afghanistan,28/05/2020,58719,59
GBR,Europe,United Kingdom,05/08/2020,59422,703
USA,North America,United States,21/03/2020,59468,46
BRA,South America,Brazil,26/06/2020,59486,18
ZAF,Africa,South Africa,29/07/2020,59931,445
AFG,Asia,Afghanistan,20/05/2020,60899,968
USA,North America,United States,20/07/2020,60919,20
USA,North America,United States,03/05/2020,62108,1189
USA,North America,United States,16/06/2020,62145,37
BRA,South America,Brazil,09/05/2020,62829,684
USA,North America,United States,16/06/2020,62837,8
ZAF,Africa,South Africa,26/02/2020,62867,30
AFG,Asia,Afghanistan,08/08/2020,65253,2386
ZAF,Africa,South Africa,01/06/2020,65981,728
AFG,Asia,Afghanistan,26/06/2020,191527,125546
IND,Asia,India,08/04/2020,191527,0
GBR,Europe,United Kingdom,28/06/2020,192112,585
USA,North America,United States,01/05/2020,194828,2716
ZAF,Africa,South Africa,25/03/2020,200137,5309
GBR,Europe,United Kingdom,08/06/2020,203508,3371
GBR,Europe,United Kingdom,01/04/2020,203724,216
GBR,Europe,United Kingdom,06/07/2020,203735,11
GBR,Europe,United Kingdom,02/03/2020,203735,0
GBR,Europe,United Kingdom,22/03/2020,203782,47
AFG,Asia,Afghanistan,09/03/2020,203782,0
BRA,South America,Brazil,02/03/2020,203805,23
USA,North America,United States,17/04/2020,203890,85
USA,North America,United States,06/07/2020,205549,1659
AFG,Asia,Afghanistan,23/03/2020,205709,160
ZAF,Africa,South Africa,17/06/2020,205762,53
AFG,Asia,Afghanistan,28/03/2020,205939,177
GBR,Europe,United Kingdom,01/03/2020,206029,90
BRA,South America,Brazil,03/04/2020,212116,6087
USA,North America,United States,07/05/2020,212157,41
ZAF,Africa,South Africa,13/07/2020,212669,512
IND,Asia,India,25/04/2020,213118,449
AFG,Asia,Afghanistan,19/05/2020,213261,143
IND,Asia,India,18/06/2020,213319,58
USA,North America,United States,28/04/2020,233884,20565
AFG,Asia,Afghanistan,04/04/2020,233884,0
USA,North America,United States,25/06/2020,233884,0
AFG,Asia,Afghanistan,11/08/2020,234164,280
ZAF,Africa,South Africa,18/06/2020,235199,1035
USA,North America,United States,29/04/2020,235204,5
IND,Asia,India,18/06/2020,235320,116
BRA,South America,Brazil,11/07/2020,235364,44
ZAF,Africa,South Africa,03/06/2020,235376,12
ZAF,Africa,South Africa,13/04/2020,235834,458
AFG,Asia,Afghanistan,04/05/2020,236332,498
IND,Asia,India,04/08/2020,236467,135
USA,North America,United States,13/05/2020,240084,3617
IND,Asia,India,12/05/2020,240095,11
ZAF,Africa,South Africa,14/03/2020,240564,469
AFG,Asia,Afghanistan,28/07/2020,242166,1602
IND,Asia,India,25/06/2020,242174,8
USA,North America,United States,31/03/2020,242174,0
GBR,Europe,United Kingdom,26/02/2020,242855,681
ZAF,Africa,South Africa,26/05/2020,243042,187
BRA,South America,Brazil,28/08/2020,244415,1373
BRA,South America,Brazil,03/06/2020,244876,461
ZAF,Africa,South Africa,27/07/2020,246146,1270
GBR,Europe,United Kingdom,26/03/2020,246356,210
AFG,Asia,Afghanistan,11/04/2020,246557,201
IND,Asia,India,09/04/2020,248538,1981
IND,Asia,India,16/06/2020,249139,601
GBR,Europe,United Kingdom,28/05/2020,249139,0
GBR,Europe,United Kingdom,10/04/2020,255816,6677
USA,North America,United States,03/04/2020,258463,2647
USA,North America,United States,03/07/2020,258463,0
BRA,South America,Brazil,18/06/2020,432272,173809
AFG,Asia,Afghanistan,29/07/2020,432379,107
AFG,Asia,Afghanistan,24/05/2020,432524,145
GBR,Europe,United Kingdom,21/04/2020,432524,0
BRA,South America,Brazil,19/08/2020,432631,107
BRA,South America,Brazil,04/03/2020,432805,174
USA,North America,United States,24/04/2020,432960,155
IND,Asia,India,13/06/2020,433074,114
AFG,Asia,Afghanistan,23/06/2020,433181,107
BRA,South America,Brazil,24/04/2020,433181,0
USA,North America,United States,23/07/2020,441326,8145
USA,North America,United States,29/02/2020,442352,1026
USA,North America,United States,08/05/2020,442474,122
IND,Asia,India,29/08/2020,469339,26865
BRA,South America,Brazil,17/06/2020,477053,7714
GBR,Europe,United Kingdom,27/07/2020,477188,135
GBR,Europe,United Kingdom,24/08/2020,477302,114
USA,North America,United States,25/03/2020,485257,7955
USA,North America,United States,25/06/2020,570899,85642
IND,Asia,India,30/07/2020,573865,2966
USA,North America,United States,30/04/2020,573905,40
ZAF,Africa,South Africa,07/03/2020,573989,84
BRA,South America,Brazil,22/04/2020,574088,99
USA,North America,United States,17/04/2020,574088,0
USA,North America,United States,06/06/2020,574329,241
BRA,South America,Brazil,15/03/2020,581611,7282
AFG,Asia,Afghanistan,06/04/2020,589228,7617
ZAF,Africa,South Africa,05/03/2020,591777,2549
ZAF,Africa,South Africa,11/06/2020,591779,2
GBR,Europe,United Kingdom,30/04/2020,618133,26354
USA,North America,United States,07/08/2020,625498,7365
BRA,South America,Brazil,28/05/2020,625498,0
GBR,Europe,United Kingdom,24/07/2020,625694,196
IND,Asia,India,08/06/2020,663462,37768
AFG,Asia,Afghanistan,14/04/2020,664739,1277
