ID,Year_Birth,Education,Marital_Status,Income
5524,1957,Graduation,Single,58138.0
2174,1954,Graduation,Single,46344.0
4141,1965,Graduation,Together,71613.0
6182,1984,Graduation,Together,26646.0
5324,1981,PhD,Married,58293.0
1001,1947,Master,Divorced,82443.5
1002,1960,Graduation,Together,25269.6
1003,1978,Graduation,Together,63510.2
1004,1997,2n Cycle,Single,59437.2
1005,1958,Graduation,Married,32340.7
1006,1962,Graduation,Together,79337.5
1007,1950,Graduation,Together,60785.6
1008,1950,Master,Married,39845.3
1009,1963,Master,Widow,12811.7
1010,1992,Graduation,Single,54582.9
1011,1975,Graduation,Married,49105.1
1012,1979,Master,Together,29385.7
1013,1963,Master,Together,29127.7
1014,1942,Graduation,Together,67370.2
1015,1961,2n Cycle,Married,10886.1
1016,1992,Graduation,Single,56285.7
1017,1941,Graduation,Together,46251.3
1018,1963,2n Cycle,Together,
1019,1983,Graduation,Single,44113.9
1020,1969,PhD,Together,55865.5
1021,1977,Graduation,Married,35144.5
1022,1941,Graduation,Together,49015.9
1023,1999,2n Cycle,Divorced,59781.7
1024,1960,Graduation,Single,53017.4
1025,1972,Basic,Single,57606.1
1026,1951,Graduation,Together,31441.6
1027,1997,Graduation,Together,38186.5
1028,1961,Graduation,Together,38533.2
1029,1983,Master,Divorced,44470.2
1030,1964,Graduation,Divorced,77171.7
1031,1988,Basic,Absurd,42916.4
1032,1966,Graduation,Married,27128.8
1033,1998,2n Cycle,Married,60832.9
1034,1981,Graduation,Married,76932.9
1035,1967,Basic,Single,24775.8
1036,1999,Master,Together,89456.2
1037,1955,Master,Married,58303.5
1038,1954,Basic,Widow,70677.8
1039,1986,Master,Together,79341.4
1040,1990,PhD,Together,69452.4
1041,1983,Graduation,Married,47789.3
1042,1994,Graduation,Single,74354.0
1043,1991,2n Cycle,Single,55092.0
1044,1996,PhD,Married,71809.7
1045,1942,Master,Single,73997.5
1046,1976,Graduation,Together,28182.1
1047,1990,Graduation,Divorced,65886.0
1048,1946,Graduation,Divorced,46362.2
1049,1960,Master,Together,52763.8
1050,1948,Graduation,Married,52541.9
1051,1978,Graduation,Divorced,51739.4
1052,1957,Graduation,Divorced,80470.5
1053,1943,Graduation,Single,22671.0
1054,1964,PhD,Together,15553.1
1055,1999,Graduation,Married,11334.2
1056,1953,Master,Divorced,71382.9
1057,1989,Graduation,YOLO,34531.3
1058,1997,Graduation,Single,52643.7
1059,1948,Graduation,Divorced,47705.7
1060,1965,Graduation,Together,32272.5
1061,1992,Graduation,Absurd,67029.5
1062,1941,Graduation,Married,47450.7
1063,1959,PhD,Divorced,45245.3
1064,1967,Graduation,Single,54657.4
1065,1986,Master,Married,64415.4
1066,1999,Basic,Single,30820.5
1067,1946,Master,Absurd,67458.4
1068,1983,Graduation,Divorced,78997.1
1069,1947,Graduation,Divorced,21477.6
1070,1986,Graduation,Widow,55566.0
1071,1974,Graduation,Single,43901.6
1072,1953,2n Cycle,Married,63984.6
1073,1956,Graduation,Single,25666.8
1074,1975,Graduation,Married,82578.8
1075,1989,PhD,Married,17842.1
1076,1979,Master,Married,45114.4
1077,1943,PhD,Married,58685.9
1078,1941,Graduation,Single,36273.3
1079,1945,Graduation,Single,33132.0
1080,1993,PhD,Single,54444.7
1081,1981,Graduation,Absurd,51555.2
1082,1943,Graduation,Together,50118.8
1083,1993,Graduation,Absurd,67173.8
1084,1968,Graduation,Married,42110.5
1085,1957,Graduation,Married,56391.9
1086,1965,Graduation,Together,39867.9
1087,1983,PhD,Married,33013.4
1088,1973,Master,Married,44304.8
1089,1949,Basic,Married,40024.7
1090,1975,Graduation,Single,41023.9
1091,1953,Graduation,Married,73306.5
1092,1970,Graduation,Married,44917.9
1093,1987,PhD,Together,36741.9
1094,1954,Master,Single,50561.6
1095,1947,Graduation,Married,52084.6
1096,1953,2n Cycle,Divorced,26262.4
1097,1962,Graduation,Single,44031.9
1098,1999,PhD,Married,43226.3
1099,1996,Master,Divorced,46557.1
1100,1979,Basic,Single,64510.6
1101,1960,Master,Single,52733.4
1102,1955,Basic,Married,74558.7
1103,1984,Graduation,Married,49766.8
1104,1957,Basic,Together,85521.7
1105,1986,Graduation,Divorced,40784.5
1106,1992,Basic,Single,34608.8
1107,1963,PhD,Together,60946.1
1108,1965,Basic,Married,77281.6
1109,1964,Graduation,Single,22423.9
1110,1999,PhD,Together,46060.2
1111,1999,PhD,Married,37784.4
1112,1999,Master,Married,52857.0
1113,1984,Graduation,Single,50200.4
1114,1980,Graduation,Married,76907.6
1115,1968,Graduation,Married,47831.9
