ID,Year_Birth,Education
5524,1957,Graduation
2174,1954,Graduation
4141,1965,Graduation
6182,1984,Graduation
5324,1981,PhD
1001,1947,Master
1002,1960,Graduation
1003,1978,Graduation
1004,1997,2n Cycle
1005,1958,Graduation
1006,1962,Graduation
1007,1950,Graduation
1008,1950,Master
1009,1963,Master
1010,1992,Graduation
1011,1975,Graduation
1012,1979,Master
1013,1963,Master
1014,1942,Graduation
1015,1961,2n Cycle
1016,1992,Graduation
1017,1941,Graduation
1018,1963,2n Cycle
1019,1983,Graduation
1020,1969,PhD
1021,1977,Graduation
1022,1941,Graduation
1023,1999,2n Cycle
1024,1960,Graduation
1025,1972,Basic
1026,1951,Graduation
1027,1997,Graduation
1028,1961,Graduation
1029,1983,Master
1030,1964,Graduation
1031,1988,Basic
1032,1966,Graduation
1033,1998,2n Cycle
1034,1981,Graduation
1035,1967,Basic
1036,1999,Master
1037,1955,Master
1038,1954,Basic
1039,1986,Master
1040,1990,PhD
1041,1983,Graduation
1042,1994,Graduation
1043,1991,2n Cycle
1044,1996,PhD
1045,1942,Master
1046,1976,Graduation
1047,1990,Graduation
1048,1946,Graduation
1049,1960,Master
1050,1948,Graduation
1051,1978,Graduation
1052,1957,Graduation
1053,1943,Graduation
1054,1964,PhD
1055,1999,Graduation
1056,1953,Master
1057,1989,Graduation
1058,1997,Graduation
1059,1948,Graduation
1060,1965,Graduation
1061,1992,Graduation
1062,1941,Graduation
1063,1959,PhD
1064,1967,Graduation
1065,1986,Master
1066,1999,Basic
1067,1946,Master
1068,1983,Graduation
1069,1947,Graduation
1070,1986,Graduation
1071,1974,Graduation
1072,1953,2n Cycle
1073,1956,Graduation
1074,1975,Graduation
1075,1989,PhD
1076,1979,Master
1077,1943,PhD
1078,1941,Graduation
1079,1945,Graduation
1080,1993,PhD
1081,1981,Graduation
1082,1943,Graduation
1083,1993,Graduation
1084,1968,Graduation
1085,1957,Graduation
1086,1965,Graduation
1087,1983,PhD
1088,1973,Master
1089,1949,Basic
1090,1975,Graduation
1091,1953,Graduation
1092,1970,Graduation
1093,1987,PhD
1094,1954,Master
1095,1947,Graduation
1096,1953,2n Cycle
1097,1962,Graduation
1098,1999,PhD
1099,1996,Master
1100,1979,Basic
1101,1960,Master
1102,1955,Basic
1103,1984,Graduation
1104,1957,Basic
1105,1986,Graduation
1106,1992,Basic
1107,1963,PhD
1108,1965,Basic
1109,1964,Graduation
1110,1999,PhD
1111,1999,PhD
1112,1999,Master
1113,1984,Graduation
1114,1980,Graduation
1115,1968,Graduation
1116,1954,Graduation
1117,1984,Basic
1118,1940,Graduation
1119,1964,2n Cycle
1120,1946,Graduation
1121,1948,Graduation
1122,1963,Master
1123,1940,Master
1124,1983,Graduation
1125,1947,PhD
1126,1963,Master
1127,1950,Graduation
1128,1990,2n Cycle
1129,1956,2n Cycle
1130,1947,Master
1131,1974,Graduation
1132,1974,Master
1133,1972,Graduation
1134,1998,Graduation
1135,1944,Graduation
1136,1981,Graduation
1137,1978,Basic
1138,1997,Master
1139,1980,Master
1140,1967,Graduation
1141,1946,Graduation
1142,1948,Graduation
1143,1947,2n Cycle
1144,1951,Graduation
1145,1973,Basic
1146,1972,PhD
1147,1987,Graduation
1148,1994,Master
1149,1962,Graduation
1150,1963,Basic
1151,1976,2n Cycle
1152,1974,Graduation
1153,1983,Graduation
1154,1979,PhD
1155,1961,2n Cycle
1156,1966,Graduation
1157,1974,PhD
1158,1940,PhD
