ID,Marital_Status,Income
5524,Single,58138.0
2174,Single,46344.0
4141,Together,71613.0
6182,Together,26646.0
5324,Married,58293.0
1001,Divorced,82443.5
1002,Together,25269.6
1003,Together,63510.2
1004,Single,59437.2
1005,Married,32340.7
1006,Together,79337.5
1007,Together,60785.6
1008,Married,39845.3
1009,Widow,12811.7
1010,Single,54582.9
1011,Married,49105.1
1012,Together,29385.7
1013,Together,29127.7
1014,Together,67370.2
1015,Married,10886.1
1016,Single,56285.7
1017,Together,46251.3
1018,Together,
1019,Single,44113.9
1020,Together,55865.5
1021,Married,35144.5
1022,Together,49015.9
1023,Divorced,59781.7
1024,Single,53017.4
1025,Single,57606.1
1026,Together,31441.6
1027,Together,38186.5
1028,Together,38533.2
1029,Divorced,44470.2
1030,Divorced,77171.7
1031,Absurd,42916.4
1032,Married,27128.8
1033,Married,60832.9
1034,Married,76932.9
1035,Single,24775.8
1036,Together,89456.2
1037,Married,58303.5
1038,Widow,70677.8
1039,Together,79341.4
1040,Together,69452.4
1041,Married,47789.3
1042,Single,74354.0
1043,Single,55092.0
1044,Married,71809.7
1045,Single,73997.5
1046,Together,28182.1
1047,Divorced,65886.0
1048,Divorced,46362.2
1049,Together,52763.8
1050,Married,52541.9
1051,Divorced,51739.4
1052,Divorced,80470.5
1053,Single,22671.0
1054,Together,15553.1
1055,Married,11334.2
1056,Divorced,71382.9
1057,YOLO,34531.3
1058,Single,52643.7
1059,Divorced,47705.7
1060,Together,32272.5
1061,Absurd,67029.5
1062,Married,47450.7
1063,Divorced,45245.3
1064,Single,54657.4
1065,Married,64415.4
1066,Single,30820.5
1067,Absurd,67458.4
1068,Divorced,78997.1
1069,Divorced,21477.6
1070,Widow,55566.0
1071,Single,43901.6
1072,Married,63984.6
1073,Single,25666.8
1074,Married,82578.8
1075,Married,17842.1
1076,Married,45114.4
1077,Married,58685.9
1078,Single,36273.3
1079,Single,33132.0
1080,Single,54444.7
1081,Absurd,51555.2
1082,Together,50118.8
1083,Absurd,67173.8
1084,Married,42110.5
1085,Married,56391.9
1086,Together,39867.9
1087,Married,33013.4
1088,Married,44304.8
1089,Married,40024.7
1090,Single,41023.9
1091,Married,73306.5
1092,Married,44917.9
1093,Together,36741.9
1094,Single,50561.6
1095,Married,52084.6
1096,Divorced,26262.4
1097,Single,44031.9
1098,Married,43226.3
1099,Divorced,46557.1
1100,Single,64510.6
1101,Single,52733.4
1102,Married,74558.7
1103,Married,49766.8
1104,Together,85521.7
1105,Divorced,40784.5
1106,Single,34608.8
1107,Together,60946.1
1108,Married,77281.6
1109,Single,22423.9
1110,Together,46060.2
1111,Married,37784.4
1112,Married,52857.0
1113,Single,50200.4
1114,Married,76907.6
1115,Married,47831.9
1116,Divorced,77495.7
1117,Single,43698.0
1118,Married,68529.6
1119,Married,54573.3
1120,Together,84597.7
1121,Together,20459.7
1122,Together,26722.8
1123,Together,86632.4
1124,Divorced,35334.7
1125,Married,36603.9
1126,Married,32485.5
1127,Divorced,72968.9
1128,YOLO,24930.8
1129,Divorced,50449.0
1130,Married,44687.6
1131,Single,70730.3
1132,Married,38726.3
1133,Together,58305.5
1134,Married,
1135,Married,95478.8
1136,Divorced,45208.2
1137,Married,50175.3
1138,Divorced,83095.1
1139,Married,38266.5
1140,Married,83347.6
1141,Married,41770.6
1142,Together,63434.0
1143,Single,38546.4
1144,Single,22879.3
1145,Absurd,58291.9
1146,Single,62798.1
1147,Together,23682.3
1148,Together,43858.8
1149,Married,74015.2
1150,Together,62002.4
1151,Married,42095.7
1152,Together,38049.5
1153,Married,88964.9
1154,Together,21061.4
