ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,NumStorePurchases,NumWebVisitsMonth,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases
5524,1957,Graduation,Single,58138.0,0,0,04-09-2012,58,4,7,3,8,10
2174,1954,Graduation,Single,46344.0,1,1,08-03-2014,38,2,5,2,1,1
4141,1965,Graduation,Together,71613.0,0,0,21-08-2013,26,10,4,1,8,2
6182,1984,Graduation,Together,26646.0,1,0,10-02-2014,26,4,6,2,2,0
5324,1981,PhD,Married,58293.0,1,0,19-01-2014,94,6,5,5,5,3
1001,1947,Master,Divorced,82443.5,0,1,12-04-2012,33,2,0,6,13,9
1002,1960,Graduation,Together,25269.6,0,0,29-08-2012,77,1,11,5,0,10
1003,1978,Graduation,Together,63510.2,0,1,26-04-2012,7,13,1,8,4,6
1004,1997,2n Cycle,Single,59437.2,0,0,01-08-2012,54,13,10,6,5,9
1005,1958,Graduation,Married,32340.7,0,0,28-04-2013,90,8,5,2,13,11
1006,1962,Graduation,Together,79337.5,0,1,12-06-2013,9,7,7,4,10,0
1007,1950,Graduation,Together,60785.6,0,1,21-11-2013,56,9,6,8,1,2
1008,1950,Master,Married,39845.3,1,0,11-08-2012,78,1,8,9,7,6
1009,1963,Master,Widow,12811.7,0,0,26-09-2012,85,5,13,1,12,10
1010,1992,Graduation,Single,54582.9,0,1,04-04-2014,44,2,1,0,1,4
1011,1975,Graduation,Married,49105.1,0,0,10-05-2014,49,2,11,7,14,8
1012,1979,Master,Together,29385.7,0,1,13-05-2012,63,4,8,7,13,6
1013,1963,Master,Together,29127.7,1,1,23-04-2012,94,6,3,1,8,2
1014,1942,Graduation,Together,67370.2,0,0,16-03-2013,1,6,10,7,13,0
1015,1961,2n Cycle,Married,10886.1,1,0,05-10-2013,44,10,14,4,12,4
1016,1992,Graduation,Single,56285.7,0,1,12-10-2013,94,9,2,1,1,9
1017,1941,Graduation,Together,46251.3,0,0,30-12-2012,61,0,6,6,2,4
1018,1963,2n Cycle,Together,,1,1,19-08-2012,13,10,4,6,7,6
1019,1983,Graduation,Single,44113.9,1,0,02-04-2013,73,6,12,2,10,0
1020,1969,PhD,Together,55865.5,0,1,09-01-2013,93,6,4,0,5,9
1021,1977,Graduation,Married,35144.5,1,0,26-08-2013,99,5,11,3,0,1
1022,1941,Graduation,Together,49015.9,0,1,17-02-2014,14,5,12,1,14,10
1023,1999,2n Cycle,Divorced,59781.7,1,0,02-09-2013,13,12,1,3,3,5
1024,1960,Graduation,Single,53017.4,1,0,25-07-2012,30,12,5,7,4,7
1025,1972,Basic,Single,57606.1,1,1,03-06-2013,28,1,5,1,13,3
1026,1951,Graduation,Together,31441.6,2,0,12-04-2013,26,2,11,0,10,2
1027,1997,Graduation,Together,38186.5,0,0,31-05-2014,84,2,3,2,2,2
1028,1961,Graduation,Together,38533.2,1,0,18-03-2013,8,12,4,9,0,2
1029,1983,Master,Divorced,44470.2,0,0,05-07-2014,19,2,6,6,2,1
1030,1964,Graduation,Divorced,77171.7,0,2,16-11-2012,98,1,13,5,12,0
1031,1988,Basic,Absurd,42916.4,0,1,02-04-2012,57,8,7,5,8,4
1032,1966,Graduation,Married,27128.8,0,0,11-02-2013,78,5,5,6,1,9
1033,1998,2n Cycle,Married,60832.9,1,1,06-06-2012,87,1,4,7,0,4
1034,1981,Graduation,Married,76932.9,1,1,21-05-2014,48,2,11,2,6,4
1035,1967,Basic,Single,24775.8,1,2,08-04-2012,56,9,2,2,12,3
1036,1999,Master,Together,89456.2,0,0,12-08-2012,15,5,6,9,6,2
1037,1955,Master,Married,58303.5,0,1,01-05-2014,99,3,7,7,4,11
1038,1954,Basic,Widow,70677.8,2,1,16-03-2013,74,6,2,6,1,2
1039,1986,Master,Together,79341.4,0,0,20-12-2013,7,5,4,9,13,1
1040,1990,PhD,Together,69452.4,1,0,07-08-2013,66,5,10,4,0,4
1041,1983,Graduation,Married,47789.3,1,0,17-09-2014,18,11,1,3,12,3
1042,1994,Graduation,Single,74354.0,1,1,04-02-2013,66,2,9,5,4,5
1043,1991,2n Cycle,Single,55092.0,0,0,24-07-2013,35,10,9,8,9,1
1044,1996,PhD,Married,71809.7,1,2,09-03-2014,88,7,11,5,3,1
1045,1942,Master,Single,73997.5,0,0,04-03-2012,59,8,3,7,8,7
1046,1976,Graduation,Together,28182.1,1,1,06-02-2014,35,5,11,0,4,5
1047,1990,Graduation,Divorced,65886.0,0,2,13-07-2013,10,1,3,5,10,2
1048,1946,Graduation,Divorced,46362.2,0,1,05-10-2012,50,0,11,1,9,4
1049,1960,Master,Together,52763.8,0,1,10-12-2013,79,2,12,2,11,2
1050,1948,Graduation,Married,52541.9,1,1,31-10-2013,54,2,7,5,11,10
1051,1978,Graduation,Divorced,51739.4,0,0,02-04-2014,53,7,2,1,1,1
1052,1957,Graduation,Divorced,80470.5,0,1,02-06-2013,16,4,4,3,3,2
1053,1943,Graduation,Single,22671.0,0,0,04-09-2012,61,0,10,5,12,0
1054,1964,PhD,Together,15553.1,2,1,02-01-2013,41,10,4,4,11,6
1055,1999,Graduation,Married,11334.2,1,0,13-01-2014,23,3,1,5,8,5
1056,1953,Master,Divorced,71382.9,1,1,09-09-2013,16,6,8,5,7,4
1057,1989,Graduation,YOLO,34531.3,1,1,28-08-2014,47,4,3,7,2,5
1058,1997,Graduation,Single,52643.7,0,0,07-04-2012,83,9,8,8,7,7
1059,1948,Graduation,Divorced,47705.7,0,0,24-09-2012,85,12,8,4,12,2
1060,1965,Graduation,Together,32272.5,2,2,29-02-2012,69,5,1,5,1,2
1061,1992,Graduation,Absurd,67029.5,0,0,14-05-2013,6,13,8,5,2,11
1062,1941,Graduation,Married,47450.7,0,0,03-11-2012,13,9,8,5,13,4
