CollectionId,CollectionDate,Region,WasteType,CollectionMethod,VehicleType,FuelType,RouteDistanceKm,RouteDurationMin,FuelUsedLiters,HouseholdsServed,BinsCollected,NumberOfBinsPerHousehold,PopulationDensity,AverageHouseholdIncomeUSD,EstimatedWeightKg,WeightCollectedKg,ContaminationRatePct,DiversionRatePct,MissedCollections,CostUSD,CO2EmissionsKg
178237A1-4890-4FEB-B556-5951586DC966,2023-08-25,Central,Recyclable,Curbside,RecyclingTruck,Diesel,216.09,690.0,97.03,394,409,2,9804.6,46955.0,3398.7,3781.9,23.32,71.0,3,900.18,260.05
E9A5B65F-BAFB-4BB4-8203-1BE7355C8F6F,2023-07-17,East,Organic,Curbside,Compactor,CNG,220.0,633.5,99.8,171,151,4,3341.0,52672.0,1515.7,1609.3,12.47,68.47,1,812.53,189.61
6290A062-771D-46D9-A750-E11B3857C0D3,2021-02-26,South,Organic,Curbside,Compactor,Electric,220.0,565.0,0.0,64,61,3,1799.0,38674.0,617.5,629.8,23.19,62.89,1,622.35,0.0
1003C6FF-6589-401D-89FB-11B46D6BF366,2024-12-26,North,Household,Curbside,Compactor,Electric,220.0,600.9,0.0,74,68,1,1919.8,59964.0,983.8,941.6,5.71,31.06,0,705.15,0.0
F2AB86DE-1D1C-47DE-9899-A6D88ADCC1A7,2022-04-13,East,Hazardous,Commercial,FlatbedContainer,Diesel,220.0,423.2,108.38,85,78,2,2944.6,63903.0,316.9,319.5,5.4,5.92,0,655.19,290.45
DF150AEE-450E-491D-A148-73A2493AB7C5,2022-10-22,South,Recyclable,Curbside,RecyclingTruck,CNG,179.63,411.4,79.14,106,96,1,2118.4,36476.0,687.2,674.5,27.74,65.52,3,604.01,150.37
1E2499C3-BD12-42C1-B18B-F74741818FFE,2021-04-26,North,Household,Curbside,Compactor,Electric,220.0,605.2,0.0,41,40,4,1074.7,46203.0,618.6,328.3,0.0,20.41,2,722.69,0.0
A5D70637-7F76-4A7B-A253-71FDB65F1138,2024-06-23,South,Household,DropOff,Compactor,Electric,220.0,486.0,0.0,114,98,1,2436.9,36475.0,1599.2,1587.7,8.02,9.03,2,567.79,0.0
8A2A662D-7564-4F45-B098-44C922B51858,2023-06-13,South,Organic,Curbside,Compactor,Diesel,220.0,418.9,116.81,88,79,3,1889.9,44574.0,878.6,974.2,8.81,80.55,3,656.79,313.05
7D6BAD2B-A138-4CD8-B218-8AF4FD28F3E1,2022-07-25,Central,Organic,Curbside,Compactor,Electric,194.96,533.4,0.0,257,266,2,7363.3,45180.0,1933.7,2079.1,11.6,68.04,1,588.73,0.0
2F91092E-61A7-41C7-BB7F-91D147D555D6,2021-12-13,South,Hazardous,Commercial,VacuumTruck,Diesel,220.0,470.7,111.16,54,49,3,1680.2,27251.0,285.4,280.0,5.35,4.57,1,725.86,297.92
691E34CC-F421-4F61-94C7-A11BE474DBBE,2022-08-30,Central,Recyclable,Curbside,RecyclingTruck,Diesel,100.13,313.4,34.7,407,388,2,13935.0,91028.0,3250.3,3027.5,17.24,83.3,0,426.88,93.01
AE8607DA-42D2-4D9A-BF94-14720C806404,2021-12-01,East,Household,Curbside,Compactor,Diesel,220.0,560.9,79.76,97,93,4,3557.1,39683.0,1296.5,1379.5,0.32,28.68,2,756.43,213.77
179C139C-D8B7-4601-A35F-2DA3E30271EC,2023-08-07,South,Recyclable,Curbside,RecyclingTruck,Diesel,220.0,429.7,94.0,86,84,2,1802.5,71845.0,771.7,782.5,15.2,76.67,0,633.86,251.91
3C5FF0E2-8F2E-45F5-B9D9-AE34D009347C,2023-01-22,West,Household,Curbside,Compactor,Diesel,220.0,445.5,76.01,62,58,2,1761.6,45037.0,805.8,813.6,0.0,16.62,0,607.12,203.7
A2F52723-7EF6-4B2B-9657-3B5BE1330BC5,2023-08-17,South,Hazardous,DropOff,VacuumTruck,Electric,220.0,538.6,0.0,108,108,4,1956.5,48244.0,448.7,473.8,0.0,27.84,1,679.54,0.0
AA93FE06-13EA-4215-8E3A-974FD4EFCDAB,2023-07-31,West,Household,Curbside,Compactor,CNG,220.0,505.5,79.74,43,44,3,1025.3,49304.0,454.4,458.4,2.85,11.59,0,644.43,151.5
DCC8A533-02E4-4BF2-8171-F8B10FEB0372,2022-10-03,East,Organic,Curbside,Compactor,Diesel,220.0,484.2,105.58,104,92,1,3373.3,67713.0,847.3,851.7,18.9,65.05,1,694.47,282.96
A507B3A6-3022-4A8E-9F6C-1AE77007C35C,2024-07-05,Central,Hazardous,DropOff,VacuumTruck,Diesel,210.13,510.5,106.62,168,173,1,6993.7,89656.0,652.1,628.0,2.64,23.22,1,734.74,285.73
0285F123-9BED-43FC-B715-A89D133C3054,2022-03-06,East,Recyclable,Curbside,RecyclingTruck,Electric,220.0,568.0,0.0,100,93,3,2072.3,96885.0,593.2,594.2,11.22,86.6,2,717.46,0.0
BD098A61-758F-4559-BA59-24FD9D06226E,2022-09-13,North,Household,Curbside,Compactor,Diesel,220.0,523.8,82.9,56,48,1,2110.9,37067.0,685.9,698.2,8.63,16.58,0,691.22,222.17
ECE3468D-FF88-488B-9575-6130248089C5,2024-09-14,East,Household,Curbside,Compactor,Diesel,220.0,562.2,103.18,113,113,1,2702.8,68228.0,1566.6,1612.9,7.72,16.26,0,763.51,276.52
