stationid,year,month,avgtemp,latitude,longitude,elevation,station,countryid,country
ST0000,2002,9,15.38,45.11,-149.29,178.1,STATION_0   ,AS,United States
ST0001,2005,5,6.74,-29.97,-100.3,2628.1,STATION_1   ,US,Chile
ST0002,2011,4,18.23,76.35,-143.99,2755.6,STATION_2   ,CI,Russia
ST0003,1990,1,9.53,65.22,-84.59,360.4,STATION_3   ,US,Australia
ST0004,1993,5,,-81.24,-156.19,1003.4,STATION_4,RS,Russia
ST0005,2017,4,-1.04,-44.34,-156.38,526.1,STATION_5,AS,Australia
ST0006,1993,12,12.34,-9.7,128.26,347.7,STATION_6,AS,Russia
ST0007,1997,7,12.63,-71.17,-121.64,2699.6,STATION_7,CI,Australia
ST0008,1999,10,-2.75,-27.27,21.49,170.6,STATION_8,US,Russia
ST0009,2009,12,13.53,43.22,98.44,2941.5,STATION_9,AS,Australia
ST0010,2011,9,999.0,32.49,-15.69,289.4,STATION_10,CI,Chile
ST0011,2008,1,999.0,22.03,-124.79,2590.4,STATION_11,AS,Australia
ST0012,1994,9,15.83,37.9,-108.15,1699.5,STATION_12,CI,Chile
ST0013,2013,6,8.36,-53.11,-24.13,1103.8,STATION_13,AS,Russia
ST0014,1996,10,18.94,-28.49,10.16,1027.0,STATION_14,RS,Australia
ST0015,2014,1,15.72,31.72,-54.2,2272.1,STATION_15,AS,Australia
ST0016,2014,10,7.02,68.26,101.33,943.7,STATION_16,US,Russia
ST0017,2002,7,8.6,7.86,90.37,1972.0,STATION_17,CI,Chile
ST0018,2016,6,16.66,-39.11,153.8,1552.0,STATION_18,CI,Chile
ST0019,1991,4,,-84.56,-169.58,1454.9,STATION_19,AS,United States
ST0020,1996,2,9.4,37.86,142.45,2703.5,STATION_20,US,United States
ST0021,1997,9,22.31,-88.58,-38.68,1663.9,STATION_21,AS,United States
ST0022,2013,1,9.62,-22.92,136.21,2480.6,STATION_22,AS,Australia
ST0023,2004,5,16.07,5.5,68.68,2176.7,STATION_23,AS,Australia
ST0024,2014,12,18.42,75.98,175.45,115.7,STATION_24,RS,Australia
ST0025,2007,12,14.9,-73.89,93.34,2319.3,STATION_25,CI,Russia
ST0026,1995,10,12.18,-16.93,-48.76,650.6,STATION_26,US,United States
ST0027,2015,7,21.56,-85.62,0.38,2709.4,STATION_27,RS,Russia
ST0028,2003,6,19.18,-28.33,-44.5,128.8,STATION_28,RS,United States
ST0029,1998,8,24.58,22.0,-48.63,999.2,STATION_29,AS,United States
ST0030,1999,9,11.94,-39.77,-86.07,299.2,STATION_30,AS,Australia
ST0031,2010,9,20.53,-52.25,-1.45,1426.8,STATION_31,AS,Chile
ST0032,2009,10,17.83,-69.17,65.43,2460.1,STATION_32,CI,United States
ST0033,2006,3,23.38,13.89,-80.16,894.6,STATION_33,AS,
ST0034,2009,9,11.61,35.15,8.78,452.8,STATION_34,RS,Russia
ST0035,1995,7,-13.12,30.95,-137.74,990.8,STATION_35,CI,Australia
ST0036,2005,12,4.25,80.79,-122.46,2441.6,STATION_36,RS,United States
ST0037,2005,7,26.4,-89.51,-163.15,421.2,STATION_37,CI,Australia
ST0038,1990,10,,26.5,169.46,682.1,STATION_38,CI,Russia
ST0039,2008,2,12.94,18.07,-178.61,206.6,STATION_39,CI,Chile
ST0040,1993,7,,15.97,-115.71,2117.1,STATION_40,RS,Australia
ST0041,2014,9,3.96,83.3,40.63,1185.7,STATION_41,CI,Australia
ST0042,2007,9,12.91,-86.96,-150.71,932.5,STATION_42,RS,United States
ST0043,2009,4,13.56,35.37,137.48,2155.9,STATION_43,US,Chile
ST0044,2019,3,9.46,56.46,79.06,1007.9,STATION_44,RS,
ST0045,2009,4,24.1,1.77,167.9,2183.3,STATION_45,RS,United States
ST0046,2009,11,13.65,-29.89,2.75,2445.6,STATION_46,CI,Australia
ST0047,2004,7,8.89,52.35,-71.85,653.0,STATION_47,CI,Australia
ST0048,1997,4,11.02,-72.5,17.82,2921.5,STATION_48,AS,Chile
ST0049,1990,7,12.1,-10.43,155.09,487.1,STATION_49,US,Russia
ST0050,1991,6,,3.59,7.47,872.5,STATION_50,US,Russia
ST0051,1999,8,,34.91,-83.81,539.4,STATION_51,AS,Australia
ST0052,2015,12,11.22,-73.64,135.86,1036.5,STATION_52,RS,Russia
ST0053,1990,1,2.89,-49.0,-46.11,1440.2,STATION_53,RS,
ST0054,2000,12,23.86,-16.15,-179.5,1566.5,STATION_54,CI,Chile
ST0055,2010,9,16.41,22.19,-90.83,2560.8,STATION_55,US,Australia
ST0056,2013,5,7.48,69.65,-65.44,2668.3,STATION_56,CI,Russia
ST0057,1993,11,22.44,21.39,129.16,660.3,STATION_57,AS,Russia
ST0058,2001,7,6.5,-65.98,-14.94,1868.7,STATION_58,US,United States
ST0059,2008,12,7.91,86.5,-19.95,334.5,STATION_59,CI,Russia
ST0060,2013,6,30.37,66.92,-59.0,1376.9,STATION_60,US,United States
ST0061,2018,9,11.32,0.49,137.04,967.0,STATION_61,US,Chile
ST0062,1992,3,6.29,76.02,160.21,949.5,STATION_62,CI,Australia
ST0063,1990,12,22.87,7.45,177.08,1447.8,STATION_63,CI,United States
ST0064,1990,4,5.73,76.2,-44.37,2189.5,STATION_64,US,Russia
ST0065,1994,10,11.51,59.38,167.81,207.5,STATION_65,AS,Russia
ST0066,2011,8,23.07,84.29,105.08,2637.5,STATION_66,RS,Chile
ST0067,1995,6,20.71,75.56,63.25,2204.4,STATION_67,US,United States
ST0068,1996,4,9.18,-83.51,-91.84,529.5,STATION_68,AS,Australia
ST0069,1998,5,21.72,-58.54,-102.08,2817.5,STATION_69,US,Russia
ST0070,2010,6,,-19.96,-120.22,1518.9,STATION_70,CI,United States
ST0071,2007,4,0.72,81.39,152.19,2999.4,STATION_71,AS,Russia
ST0072,2005,4,8.63,-35.99,-74.13,591.8,STATION_72,AS,Australia
ST0073,1994,8,3.8,-61.12,-16.89,1604.7,STATION_73,US,United States
ST0074,1999,10,13.53,69.53,-2.18,870.7,STATION_74,RS,Russia
ST0075,2000,10,3.87,-9.65,100.14,912.5,STATION_75,US,Australia
ST0076,2016,10,15.29,73.42,123.92,1773.2,STATION_76,RS,United States
ST0077,2014,8,8.48,-61.16,-129.93,2765.2,STATION_77,AS,United States
ST0078,1991,4,,29.0,-26.31,2415.8,STATION_78,RS,Chile
ST0079,1991,11,,-10.75,123.43,2171.8,STATION_79,CI,Australia
ST0080,1997,3,15.93,-76.23,114.49,1677.5,STATION_80,RS,United States
ST0081,1999,4,17.93,35.36,-143.13,2766.9,STATION_81,RS,Chile
ST0082,2015,10,14.41,-45.47,-123.7,1477.1,STATION_82,AS,United States
ST0083,1993,11,11.05,-82.87,-70.49,2621.5,STATION_83,RS,Russia
ST0084,1996,12,39.81,-79.21,-152.87,2501.9,STATION_84,AS,Chile
ST0085,2013,8,21.87,-79.01,-27.12,641.5,STATION_85,CI,United States
ST0086,2001,8,5.76,73.39,-141.26,2313.7,STATION_86,CI,Russia
ST0087,2004,6,22.53,43.18,24.56,36.5,STATION_87,US,Russia
ST0088,2008,2,12.74,71.65,-91.24,968.5,STATION_88,US,Russia
ST0089,2017,3,7.19,31.06,34.72,688.7,STATION_89,US,Chile
ST0090,1990,3,15.79,5.21,-137.69,1520.6,STATION_90,CI,Russia
ST0091,2004,9,22.24,-35.2,171.32,2210.6,STATION_91,RS,Australia
ST0092,1993,2,23.15,89.63,155.72,293.0,STATION_92,AS,United States
ST0093,2011,6,14.08,-24.81,-38.95,1544.8,STATION_93,CI,Australia
ST0094,2002,9,28.94,-5.28,-92.82,2815.2,STATION_94,RS,Russia
ST0095,2015,5,12.42,-21.92,-89.86,685.9,STATION_95,US,Russia
ST0096,2000,1,21.64,86.31,-5.98,2031.4,STATION_96,AS,Australia
ST0097,2010,12,13.34,-58.56,-165.6,1778.6,STATION_97,US,Chile
ST0098,2001,3,23.94,-30.96,50.29,30.2,STATION_98,AS,Russia
ST0099,1994,6,23.51,32.46,-33.01,1427.5,STATION_99,RS,Russia
